entry,at,order
"""TNT @ DXrWVNkdav"" folds",2025-05-18T14:07:29.628Z,174757724962800
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-05-18T14:03:24.119Z,174757700411911
"""ほたるいか @ 6weTfFBYpF"" posts a small blind of 10",2025-05-18T14:03:24.119Z,174757700411910
"Your hand is 6♥, 3♦",2025-05-18T14:03:24.119Z,174757700411907
"Player stacks: #1 ""そばやき @ MXMehlaL5V"" (1830) | #2 ""はやと @ afwX5VdcTj"" (3417) | #3 ""さとうき @ XvV199EQBF"" (1924) | #6 ""ひよこ @ Azd0RN65Iq"" (1555) | #7 ""ほたるいか @ 6weTfFBYpF"" (2772) | #8 ""sigma @ yHZrsG6l5j"" (3534) | #9 ""TNT @ DXrWVNkdav"" (3855) | #10 ""Sabosuke @ YcXdKAaJF2"" (1838)",2025-05-18T14:03:24.119Z,174757700411901
"-- starting hand #104 (id: 6wpsxkzh8df9)  (No Limit Texas Hold'em) (dealer: ""ひよこ @ Azd0RN65Iq"") --",2025-05-18T14:03:24.119Z,174757700411900
"-- ending hand #103 --",2025-05-18T14:03:18.086Z,174757699808602
"""はやと @ afwX5VdcTj"" collected 1802 from pot with Straight, A High (combination: A♦, K♦, Q♠, J♠, 10♥)",2025-05-18T14:03:18.086Z,174757699808601
"""はやと @ afwX5VdcTj"" shows a J♠, 10♥.",2025-05-18T14:03:18.086Z,174757699808600
"""さとうき @ XvV199EQBF"" calls 634",2025-05-18T14:03:17.246Z,174757699724600
"""はやと @ afwX5VdcTj"" bets 634",2025-05-18T14:02:05.137Z,174757692513700
"River: K♦, 6♠, A♦, 6♥ [Q♠]",2025-05-18T14:01:49.156Z,174757690915600
"""さとうき @ XvV199EQBF"" calls 192",2025-05-18T14:01:48.309Z,174757690830900
"""はやと @ afwX5VdcTj"" bets 192",2025-05-18T14:01:19.787Z,174757687978700
"Turn: K♦, 6♠, A♦ [6♥]",2025-05-18T14:01:13.243Z,174757687324300
"""さとうき @ XvV199EQBF"" checks",2025-05-18T14:01:12.437Z,174757687243700
"""はやと @ afwX5VdcTj"" checks",2025-05-18T14:01:08.815Z,174757686881500
"Flop:  [K♦, 6♠, A♦]",2025-05-18T14:01:05.088Z,174757686508800
"""ほたるいか @ 6weTfFBYpF"" folds",2025-05-18T14:01:04.261Z,174757686426100
"""ひよこ @ Azd0RN65Iq"" folds",2025-05-18T14:00:49.853Z,174757684985300
"""さとうき @ XvV199EQBF"" calls 60",2025-05-18T14:00:48.833Z,174757684883300
"""はやと @ afwX5VdcTj"" raises to 60",2025-05-18T14:00:37.232Z,174757683723200
"""そばやき @ MXMehlaL5V"" folds",2025-05-18T14:00:33.633Z,174757683363300
"""Sabosuke @ YcXdKAaJF2"" folds",2025-05-18T14:00:32.572Z,174757683257200
"""TNT @ DXrWVNkdav"" folds",2025-05-18T14:00:31.641Z,174757683164100
"""sigma @ yHZrsG6l5j"" folds",2025-05-18T14:00:30.534Z,174757683053400
"""ほたるいか @ 6weTfFBYpF"" posts a big blind of 20",2025-05-18T14:00:26.319Z,174757682631911
"""ひよこ @ Azd0RN65Iq"" posts a small blind of 10",2025-05-18T14:00:26.319Z,174757682631910
"Your hand is 10♠, 3♠",2025-05-18T14:00:26.319Z,174757682631907
"Player stacks: #1 ""そばやき @ MXMehlaL5V"" (1830) | #2 ""はやと @ afwX5VdcTj"" (2501) | #3 ""さとうき @ XvV199EQBF"" (2810) | #6 ""ひよこ @ Azd0RN65Iq"" (1565) | #7 ""ほたるいか @ 6weTfFBYpF"" (2792) | #8 ""sigma @ yHZrsG6l5j"" (3534) | #9 ""TNT @ DXrWVNkdav"" (3855) | #10 ""Sabosuke @ YcXdKAaJF2"" (1838)",2025-05-18T14:00:26.319Z,174757682631901
"-- starting hand #103 (id: jap27ju6hdgw)  (No Limit Texas Hold'em) (dealer: ""さとうき @ XvV199EQBF"") --",2025-05-18T14:00:26.319Z,174757682631900
"""そばやき @ MXMehlaL5V"" shows a K♦, 10♦.",2025-05-18T14:00:25.031Z,174757682503100
"""はやと @ afwX5VdcTj"" shows a Q♦, 6♦.",2025-05-18T14:00:22.999Z,174757682299900
"-- ending hand #102 --",2025-05-18T14:00:22.004Z,174757682200402
"""そばやき @ MXMehlaL5V"" collected 220 from pot",2025-05-18T14:00:22.004Z,174757682200401
"Uncalled bet of 165 returned to ""そばやき @ MXMehlaL5V""",2025-05-18T14:00:22.004Z,174757682200400
"""sigma @ yHZrsG6l5j"" folds",2025-05-18T14:00:21.185Z,174757682118500
"""ひよこ @ Azd0RN65Iq"" folds",2025-05-18T13:58:59.714Z,174757673971400
"""そばやき @ MXMehlaL5V"" bets 165",2025-05-18T13:58:55.418Z,174757673541800
"""sigma @ yHZrsG6l5j"" checks",2025-05-18T13:58:37.869Z,174757671786900
"""ひよこ @ Azd0RN65Iq"" checks",2025-05-18T13:58:35.342Z,174757671534200
"River: 7♥, 3♦, A♦, 8♦ [6♣]",2025-05-18T13:58:32.510Z,174757671251000
"""sigma @ yHZrsG6l5j"" calls 20",2025-05-18T13:58:31.701Z,174757671170100
"""ひよこ @ Azd0RN65Iq"" calls 20",2025-05-18T13:58:22.148Z,174757670214800
"""そばやき @ MXMehlaL5V"" bets 20",2025-05-18T13:58:12.339Z,174757669233900
"""sigma @ yHZrsG6l5j"" checks",2025-05-18T13:58:04.463Z,174757668446300
"""ひよこ @ Azd0RN65Iq"" checks",2025-05-18T13:57:42.554Z,174757666255400
"Turn: 7♥, 3♦, A♦ [8♦]",2025-05-18T13:57:32.734Z,174757665273400
"""そばやき @ MXMehlaL5V"" checks",2025-05-18T13:57:31.887Z,174757665188700
"""sigma @ yHZrsG6l5j"" checks",2025-05-18T13:57:22.557Z,174757664255700
"""ひよこ @ Azd0RN65Iq"" checks",2025-05-18T13:57:11.144Z,174757663114400
"Flop:  [7♥, 3♦, A♦]",2025-05-18T13:57:08.720Z,174757662872000
"""ひよこ @ Azd0RN65Iq"" calls 50",2025-05-18T13:57:07.882Z,174757662788200
"""さとうき @ XvV199EQBF"" folds",2025-05-18T13:57:05.332Z,174757662533200
"""はやと @ afwX5VdcTj"" folds",2025-05-18T13:57:04.280Z,174757662428000
"""そばやき @ MXMehlaL5V"" calls 50",2025-05-18T13:57:03.236Z,174757662323600
"""Sabosuke @ YcXdKAaJF2"" folds",2025-05-18T13:56:59.025Z,174757661902500
"""TNT @ DXrWVNkdav"" folds",2025-05-18T13:56:58.155Z,174757661815500
"""sigma @ yHZrsG6l5j"" raises to 50",2025-05-18T13:56:57.056Z,174757661705600
"""ほたるいか @ 6weTfFBYpF"" folds",2025-05-18T13:56:48.443Z,174757660844300
"""ひよこ @ Azd0RN65Iq"" posts a big blind of 20",2025-05-18T13:56:46.654Z,174757660665411
"""さとうき @ XvV199EQBF"" posts a small blind of 10",2025-05-18T13:56:46.654Z,174757660665410
"Your hand is A♥, 10♠",2025-05-18T13:56:46.654Z,174757660665407
