player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"RyeBarat麦",LdZ5WDRqVB,2025-05-28T12:50:28.450Z,2025-05-28T14:06:39.844Z,2500,4022,0,1522
"teish2",wYA-A6qLje,2025-05-28T12:26:58.028Z,2025-05-28T14:06:35.320Z,2000,292,0,-1708
"megau",gjiEZFeA5n,2025-05-28T12:26:58.025Z,,3220,,5312,2092
"ねくと",ghJwIbOflM,2025-05-28T12:06:11.518Z,2025-05-28T14:06:35.328Z,3000,3661,0,661
"Agu",Figi6mUf2R,2025-05-28T12:06:11.516Z,2025-05-28T12:12:20.703Z,3000,2830,0,-170
"arash!",3XxnU4oJw0,2025-05-28T11:39:46.883Z,2025-05-28T12:16:05.860Z,2000,5660,0,3660
"teish",_VovX_t1K-,2025-05-28T11:35:17.023Z,2025-05-28T12:26:58.022Z,2000,1976,0,-24
"nanoblock",m4kAy6fdo3,2025-05-28T11:13:58.475Z,2025-05-28T14:06:35.324Z,3000,1923,0,-1077
"megau",gjiEZFeA5n,2025-05-28T11:09:46.253Z,2025-05-28T12:02:25.579Z,2500,1630,0,-870
"パンドラ",pL49LPNYjQ,2025-05-28T11:08:21.845Z,,3500,,3311,-189
"pip",_XGiKpJkGh,2025-05-28T11:08:21.843Z,,4535,,1290,-3245
"とーち",573aP-RRLR,2025-05-28T11:06:59.598Z,2025-05-28T11:12:50.557Z,2100,2420,0,320
"gatari",X9OF-Yj_Hy,2025-05-28T11:06:59.604Z,2025-05-28T11:10:59.527Z,2000,1930,0,-70
"さとうき",XvV199EQBF,2025-05-28T11:06:59.609Z,2025-05-28T11:39:46.878Z,2000,1700,0,-300
"らねおか",XaClitYV1x,2025-05-28T11:06:59.607Z,,3959,,3010,-949
"arash!",3XxnU4oJw0,2025-05-28T11:06:59.601Z,2025-05-28T11:33:13.368Z,2858,3205,0,347
