entry,at,order
"The player ""RyeBarat麦 @ LdZ5WDRqVB"" quits the game with a stack of 2722.",2025-05-28T14:06:39.841Z,174844119984100
"The player ""ねくと @ ghJwIbOflM"" quits the game with a stack of 3661.",2025-05-28T14:06:35.315Z,174844119531505
"The player ""nanoblock @ m4kAy6fdo3"" quits the game with a stack of 1923.",2025-05-28T14:06:35.315Z,174844119531504
"The player ""teish2 @ wYA-A6qLje"" quits the game with a stack of 0.",2025-05-28T14:06:35.315Z,174844119531503
"The player ""ねくと @ ghJwIbOflM"" stand up with the stack of 3661.",2025-05-28T14:06:35.315Z,174844119531502
"The player ""nanoblock @ m4kAy6fdo3"" stand up with the stack of 1923.",2025-05-28T14:06:35.315Z,174844119531501
"The player ""パンドラ @ pL49LPNYjQ"" stand up with the stack of 3311.",2025-05-28T14:06:35.315Z,174844119531500
"-- ending hand #174 --",2025-05-28T14:06:29.309Z,174844118930903
"""megau @ gjiEZFeA5n"" collected 3670 from pot with Pair, K's (combination: K♦, K♥, Q♠, J♠, 10♣)",2025-05-28T14:06:29.309Z,174844118930902
"""megau @ gjiEZFeA5n"" shows a Q♠, K♦.",2025-05-28T14:06:29.309Z,174844118930901
"""teish2 @ wYA-A6qLje"" shows a J♦, A♣.",2025-05-28T14:06:29.309Z,174844118930900
"""megau @ gjiEZFeA5n"" calls 1160",2025-05-28T14:06:28.484Z,174844118848400
"""teish2 @ wYA-A6qLje"" bets 1160 and go all in",2025-05-28T14:05:53.058Z,174844115305800
"River: 10♣, 2♦, K♥, J♠ [7♥]",2025-05-28T14:05:31.886Z,174844113188600
"""megau @ gjiEZFeA5n"" calls 405",2025-05-28T14:05:31.021Z,174844113102100
"""teish2 @ wYA-A6qLje"" bets 405",2025-05-28T14:05:11.528Z,174844111152800
"Turn: 10♣, 2♦, K♥ [J♠]",2025-05-28T14:04:23.244Z,174844106324400
"""megau @ gjiEZFeA5n"" calls 220",2025-05-28T14:04:22.441Z,174844106244100
"""teish2 @ wYA-A6qLje"" raises to 220",2025-05-28T14:04:06.334Z,174844104633400
"""megau @ gjiEZFeA5n"" bets 40",2025-05-28T14:03:50.450Z,174844103045000
"""teish2 @ wYA-A6qLje"" checks",2025-05-28T14:03:25.544Z,174844100554400
