player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"gatari",X9OF-Yj_Hy,2025-05-28T13:50:16.901Z,,2000,,2130,130
"Hibari",W8YavHzibV,2025-05-28T13:31:50.760Z,2025-05-28T14:00:53.235Z,3000,2780,0,-220
"とーご",EX56C3XdKO,2025-05-28T13:13:43.710Z,2025-05-28T13:23:07.194Z,2000,1850,0,-150
"konasho",6A8RjkqsNg,2025-05-28T13:12:08.953Z,,2000,,1910,-90
"KeitaAJ",8Zo8apxKnk,2025-05-28T13:08:10.821Z,2025-05-28T13:31:50.756Z,2000,2020,0,20
"arash!",OkLShdB9P8,2025-05-28T13:07:39.987Z,,2300,,2945,645
"KeitaAJ",GczqoW-ApJ,2025-05-28T12:49:19.082Z,2025-05-28T12:58:02.490Z,2000,0,0,-2000
"shu",jtxez097_4,2025-05-28T12:34:18.276Z,,2000,1110,4182,3292
"パンドラ",j3XuiMq8uD,2025-05-28T12:30:35.194Z,,2500,,3242,742
"Tatsu",0BozZVESXl,2025-05-28T12:25:22.346Z,,2000,,2138,138
"sigma",yHZrsG6l5j,2025-05-28T11:59:13.439Z,,2000,,2739,739
"arash!",3XxnU4oJw0,2025-05-28T11:43:46.855Z,2025-05-28T13:03:45.604Z,2500,2400,0,-100
"さけ",2CLiV4BYSI,2025-05-28T11:21:30.531Z,2025-05-28T11:41:32.266Z,2000,1905,0,-95
"ぼくだよ",cLX91bDIBI,2025-05-28T11:14:22.147Z,2025-05-28T12:50:56.179Z,2000,6274,0,4274
"らねおか",XaClitYV1x,2025-05-28T11:13:36.880Z,2025-05-28T11:37:22.535Z,2500,1844,0,-656
"Tastu",0BozZVESXl,2025-05-28T11:13:36.877Z,2025-05-28T12:20:22.459Z,2000,0,0,-2000
"とーち",573aP-RRLR,2025-05-28T11:13:36.871Z,2025-05-28T11:41:32.263Z,2100,2940,0,840
"夏狼",MmKxE2jmJi,2025-05-28T11:13:36.882Z,2025-05-28T13:13:43.706Z,2400,3270,0,870
"gatari",X9OF-Yj_Hy,2025-05-28T11:13:36.875Z,2025-05-28T13:47:52.549Z,3140,0,0,-3140
"sigma",yHZrsG6l5j,2025-05-28T11:13:36.873Z,2025-05-28T11:58:14.685Z,3239,0,0,-3239
