entry,at,order
"""konasho @ 6A8RjkqsNg"" posts a big blind of 20",2025-05-28T14:00:53.229Z,174844085322911
"""gatari @ X9OF-Yj_Hy"" posts a small blind of 10",2025-05-28T14:00:53.229Z,174844085322910
"Your hand is 5♥, 2♣",2025-05-28T14:00:53.229Z,174844085322908
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (1910) | #2 ""sigma @ yHZrsG6l5j"" (2739) | #3 ""パンドラ @ j3XuiMq8uD"" (3242) | #5 ""Tatsu @ 0BozZVESXl"" (2138) | #6 ""shu @ jtxez097_4"" (4182) | #7 ""arash! @ OkLShdB9P8"" (2945) | #8 ""gatari @ X9OF-Yj_Hy"" (2130)",2025-05-28T14:00:53.229Z,174844085322902
"-- starting hand #142 (id: sqtqjhq7uobn)  (No Limit Texas Hold'em) (dealer: ""arash! @ OkLShdB9P8"") --",2025-05-28T14:00:53.229Z,174844085322901
"The player ""Hibari @ W8YavHzibV"" quits the game with a stack of 2780.",2025-05-28T14:00:53.229Z,174844085322900
"-- ending hand #141 --",2025-05-28T14:00:50.288Z,174844085028802
"""arash! @ OkLShdB9P8"" collected 170 from pot",2025-05-28T14:00:50.288Z,174844085028801
"Uncalled bet of 80 returned to ""arash! @ OkLShdB9P8""",2025-05-28T14:00:50.288Z,174844085028800
"""Tatsu @ 0BozZVESXl"" folds",2025-05-28T14:00:49.464Z,174844084946400
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T14:00:46.389Z,174844084638900
"""arash! @ OkLShdB9P8"" bets 80",2025-05-28T14:00:42.035Z,174844084203500
"Turn: 2♣, 7♦, 6♥ [2♦]",2025-05-28T14:00:34.218Z,174844083421800
"""Tatsu @ 0BozZVESXl"" checks",2025-05-28T14:00:33.396Z,174844083339600
"""sigma @ yHZrsG6l5j"" checks",2025-05-28T14:00:31.519Z,174844083151900
"""arash! @ OkLShdB9P8"" checks",2025-05-28T14:00:07.633Z,174844080763300
"Flop:  [2♣, 7♦, 6♥]",2025-05-28T14:00:05.806Z,174844080580600
"""gatari @ X9OF-Yj_Hy"" folds",2025-05-28T14:00:04.983Z,174844080498300
"""arash! @ OkLShdB9P8"" calls 50",2025-05-28T14:00:03.958Z,174844080395800
"""shu @ jtxez097_4"" folds",2025-05-28T13:59:58.861Z,174844079886100
"""Tatsu @ 0BozZVESXl"" calls 50",2025-05-28T13:59:57.814Z,174844079781400
"""パンドラ @ j3XuiMq8uD"" folds",2025-05-28T13:59:55.573Z,174844079557300
"""sigma @ yHZrsG6l5j"" raises to 50",2025-05-28T13:59:54.486Z,174844079448600
"""konasho @ 6A8RjkqsNg"" folds",2025-05-28T13:59:51.595Z,174844079159500
"""Hibari @ W8YavHzibV"" folds",2025-05-28T13:59:50.455Z,174844079045500
"""gatari @ X9OF-Yj_Hy"" posts a big blind of 20",2025-05-28T13:59:49.169Z,174844078916911
"""arash! @ OkLShdB9P8"" posts a small blind of 10",2025-05-28T13:59:49.169Z,174844078916910
"Your hand is 8♦, 8♣",2025-05-28T13:59:49.169Z,174844078916907
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (1910) | #2 ""sigma @ yHZrsG6l5j"" (2789) | #3 ""パンドラ @ j3XuiMq8uD"" (3242) | #5 ""Tatsu @ 0BozZVESXl"" (2188) | #6 ""shu @ jtxez097_4"" (4182) | #7 ""arash! @ OkLShdB9P8"" (2825) | #8 ""gatari @ X9OF-Yj_Hy"" (2150) | #9 ""Hibari @ W8YavHzibV"" (2780)",2025-05-28T13:59:49.169Z,174844078916901
"-- starting hand #141 (id: nqlmcseg9rtt)  (No Limit Texas Hold'em) (dealer: ""shu @ jtxez097_4"") --",2025-05-28T13:59:49.169Z,174844078916900
"-- ending hand #140 --",2025-05-28T13:59:46.231Z,174844078623102
"""konasho @ 6A8RjkqsNg"" collected 50 from pot",2025-05-28T13:59:46.231Z,174844078623101
"Uncalled bet of 30 returned to ""konasho @ 6A8RjkqsNg""",2025-05-28T13:59:46.231Z,174844078623100
"""arash! @ OkLShdB9P8"" folds",2025-05-28T13:59:45.369Z,174844078536900
"""shu @ jtxez097_4"" folds",2025-05-28T13:59:44.349Z,174844078434900
"""Tatsu @ 0BozZVESXl"" folds",2025-05-28T13:59:43.327Z,174844078332700
"""パンドラ @ j3XuiMq8uD"" folds",2025-05-28T13:59:42.200Z,174844078220000
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T13:59:40.727Z,174844078072700
"""konasho @ 6A8RjkqsNg"" raises to 50",2025-05-28T13:59:39.707Z,174844077970700
"""Hibari @ W8YavHzibV"" folds",2025-05-28T13:59:34.580Z,174844077458000
"""gatari @ X9OF-Yj_Hy"" folds",2025-05-28T13:59:33.468Z,174844077346800
"""arash! @ OkLShdB9P8"" posts a big blind of 20",2025-05-28T13:59:32.324Z,174844077232411
"""shu @ jtxez097_4"" posts a small blind of 10",2025-05-28T13:59:32.324Z,174844077232410
"Your hand is 9♠, 5♥",2025-05-28T13:59:32.324Z,174844077232407
"Player stacks: #1 ""konasho @ 6A8RjkqsNg"" (1880) | #2 ""sigma @ yHZrsG6l5j"" (2789) | #3 ""パンドラ @ j3XuiMq8uD"" (3242) | #5 ""Tatsu @ 0BozZVESXl"" (2188) | #6 ""shu @ jtxez097_4"" (4192) | #7 ""arash! @ OkLShdB9P8"" (2845) | #8 ""gatari @ X9OF-Yj_Hy"" (2150) | #9 ""Hibari @ W8YavHzibV"" (2780)",2025-05-28T13:59:32.324Z,174844077232401
"-- starting hand #140 (id: ouuuxuzezvwy)  (No Limit Texas Hold'em) (dealer: ""Tatsu @ 0BozZVESXl"") --",2025-05-28T13:59:32.324Z,174844077232400
"-- ending hand #139 --",2025-05-28T13:59:26.319Z,174844076631903
"""gatari @ X9OF-Yj_Hy"" collected 270 from pot with Two Pair, 8's & 5's (combination: 8♦, 8♣, 5♦, 5♥, A♥)",2025-05-28T13:59:26.319Z,174844076631902
"""gatari @ X9OF-Yj_Hy"" shows a Q♣, A♥.",2025-05-28T13:59:26.319Z,174844076631901
"""arash! @ OkLShdB9P8"" shows a 2♦, 2♣.",2025-05-28T13:59:26.319Z,174844076631900
"""gatari @ X9OF-Yj_Hy"" checks",2025-05-28T13:59:25.501Z,174844076550100
"""arash! @ OkLShdB9P8"" checks",2025-05-28T13:59:23.215Z,174844076321500
"River: 8♦, 5♦, 5♥, 8♣ [10♣]",2025-05-28T13:59:16.140Z,174844075614000
"""gatari @ X9OF-Yj_Hy"" checks",2025-05-28T13:59:15.335Z,174844075533500
"""arash! @ OkLShdB9P8"" checks",2025-05-28T13:59:09.218Z,174844074921800
"Turn: 8♦, 5♦, 5♥ [8♣]",2025-05-28T13:58:57.599Z,174844073759900
"""gatari @ X9OF-Yj_Hy"" checks",2025-05-28T13:58:56.792Z,174844073679200
"""arash! @ OkLShdB9P8"" checks",2025-05-28T13:58:53.056Z,174844073305600
"Flop:  [8♦, 5♦, 5♥]",2025-05-28T13:58:27.062Z,174844070706200
"""arash! @ OkLShdB9P8"" calls 120",2025-05-28T13:58:26.215Z,174844070621500
"""shu @ jtxez097_4"" folds",2025-05-28T13:58:23.792Z,174844070379200
"""Tatsu @ 0BozZVESXl"" folds",2025-05-28T13:58:22.753Z,174844070275300
"""パンドラ @ j3XuiMq8uD"" folds",2025-05-28T13:58:21.693Z,174844070169300
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T13:58:20.591Z,174844070059100
"""konasho @ 6A8RjkqsNg"" folds",2025-05-28T13:58:09.805Z,174844068980500
