entry,at,order
"The player ""pip @ _XGiKpJkGh"" quits the game with a stack of 981.",2025-05-28T12:34:36.206Z,174843567620600
"The player ""さけ @ 2CLiV4BYSI"" quits the game with a stack of 1930.",2025-05-28T12:34:29.775Z,174843566977500
"-- ending hand #63 --",2025-05-28T12:34:26.782Z,174843566678202
"""pip @ _XGiKpJkGh"" collected 20 from pot",2025-05-28T12:34:26.782Z,174843566678201
"Uncalled bet of 10 returned to ""pip @ _XGiKpJkGh""",2025-05-28T12:34:26.782Z,174843566678200
"""さけ @ 2CLiV4BYSI"" folds",2025-05-28T12:34:25.972Z,174843566597200
"""pip @ _XGiKpJkGh"" posts a big blind of 20",2025-05-28T12:34:22.567Z,174843566256705
"""さけ @ 2CLiV4BYSI"" posts a small blind of 10",2025-05-28T12:34:22.567Z,174843566256704
"Player stacks: #8 ""pip @ _XGiKpJkGh"" (971) | #10 ""さけ @ 2CLiV4BYSI"" (1940)",2025-05-28T12:34:22.567Z,174843566256701
"-- starting hand #63 (id: 2zdtuzglvnqe)  (No Limit Texas Hold'em) (dealer: ""さけ @ 2CLiV4BYSI"") --",2025-05-28T12:34:22.567Z,174843566256700
"-- ending hand #62 --",2025-05-28T12:34:16.563Z,174843565656304
"""さけ @ 2CLiV4BYSI"" collected 60 from pot with Three of a Kind, 7's (combination: 7♠, 7♦, 7♥, Q♥, J♣)",2025-05-28T12:34:16.563Z,174843565656303
"""pip @ _XGiKpJkGh"" collected 60 from pot with Three of a Kind, 7's (combination: 7♠, 7♦, 7♥, Q♣, J♦)",2025-05-28T12:34:16.563Z,174843565656302
"""さけ @ 2CLiV4BYSI"" shows a Q♥, J♣.",2025-05-28T12:34:16.563Z,174843565656301
"""pip @ _XGiKpJkGh"" shows a J♦, Q♣.",2025-05-28T12:34:16.563Z,174843565656300
"""pip @ _XGiKpJkGh"" checks",2025-05-28T12:34:15.722Z,174843565572200
"""さけ @ 2CLiV4BYSI"" checks",2025-05-28T12:33:57.735Z,174843563773500
"River: 8♠, 7♠, 3♥, 7♦ [7♥]",2025-05-28T12:33:56.507Z,174843563650700
"""pip @ _XGiKpJkGh"" checks",2025-05-28T12:33:55.696Z,174843563569600
"""さけ @ 2CLiV4BYSI"" checks",2025-05-28T12:33:51.030Z,174843563103000
"Turn: 8♠, 7♠, 3♥ [7♦]",2025-05-28T12:33:47.130Z,174843562713000
"""pip @ _XGiKpJkGh"" checks",2025-05-28T12:33:46.302Z,174843562630200
"""さけ @ 2CLiV4BYSI"" checks",2025-05-28T12:33:41.996Z,174843562199600
"Flop:  [8♠, 7♠, 3♥]",2025-05-28T12:33:39.097Z,174843561909700
"""さけ @ 2CLiV4BYSI"" calls 60",2025-05-28T12:33:38.262Z,174843561826200
"""pip @ _XGiKpJkGh"" raises to 60",2025-05-28T12:33:35.793Z,174843561579300
"""さけ @ 2CLiV4BYSI"" posts a big blind of 20",2025-05-28T12:33:27.682Z,174843560768207
"""pip @ _XGiKpJkGh"" posts a small blind of 10",2025-05-28T12:33:27.682Z,174843560768206
"Player stacks: #8 ""pip @ _XGiKpJkGh"" (971) | #10 ""さけ @ 2CLiV4BYSI"" (1940)",2025-05-28T12:33:27.682Z,174843560768203
"-- starting hand #62 (id: fmblvuvvbvrk)  (No Limit Texas Hold'em) (dealer: ""pip @ _XGiKpJkGh"") --",2025-05-28T12:33:27.682Z,174843560768202
"The player ""ナカツ @ g54ha45CLe"" quits the game with a stack of 1155.",2025-05-28T12:33:27.682Z,174843560768201
"The player ""GIL RAIM @ Oo-rx1G24B"" quits the game with a stack of 3810.",2025-05-28T12:33:27.682Z,174843560768200
"-- ending hand #61 --",2025-05-28T12:33:24.717Z,174843560471702
"""さけ @ 2CLiV4BYSI"" collected 50 from pot",2025-05-28T12:33:24.717Z,174843560471701
"Uncalled bet of 20 returned to ""さけ @ 2CLiV4BYSI""",2025-05-28T12:33:24.717Z,174843560471700
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-05-28T12:33:23.882Z,174843560388200
"""ナカツ @ g54ha45CLe"" folds",2025-05-28T12:33:20.715Z,174843560071500
