player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Agu",Figi6mUf2R,2025-05-28T13:53:15.778Z,,3000,,3296,296
"Ene",7kPHYByVxS,2025-05-28T13:04:22.946Z,,2200,,2167,-33
"arash!",OkLShdB9P8,2025-05-28T13:06:07.856Z,,2300,,2025,-275
"waho",4dWzAR2sSp,2025-05-28T13:01:30.948Z,,3000,,1506,-1494
"waho",F5iP24qWOL,2025-05-28T12:41:27.578Z,2025-05-28T12:56:42.712Z,3000,2940,0,-60
"さとうき",XvV199EQBF,2025-05-28T12:39:56.744Z,,2000,,820,-1180
"さけ",2CLiV4BYSI,2025-05-28T12:39:56.736Z,2025-05-28T13:19:15.220Z,2000,0,0,-2000
"とーち",573aP-RRLR,2025-05-28T12:39:56.742Z,,2100,,2950,850
"GIL RAIM",Oo-rx1G24B,2025-05-28T12:39:56.740Z,,2000,,3595,1595
"sigma",yHZrsG6l5j,2025-05-28T12:39:56.746Z,,2000,2080,2221,2301
