entry,at,order
"""Ene @ 7kPHYByVxS"" folds",2025-05-28T14:01:52.780Z,174844091278000
"""waho @ 4dWzAR2sSp"" folds",2025-05-28T14:01:51.733Z,174844091173300
"""さとうき @ XvV199EQBF"" folds",2025-05-28T14:01:43.553Z,174844090355300
"""arash! @ OkLShdB9P8"" posts a big blind of 20",2025-05-28T14:01:38.618Z,174844089861811
"""GIL RAIM @ Oo-rx1G24B"" posts a small blind of 10",2025-05-28T14:01:38.618Z,174844089861810
"Your hand is 4♥, J♠",2025-05-28T14:01:38.618Z,174844089861805
"Player stacks: #1 ""Agu @ Figi6mUf2R"" (3296) | #3 ""GIL RAIM @ Oo-rx1G24B"" (3595) | #5 ""arash! @ OkLShdB9P8"" (2025) | #6 ""さとうき @ XvV199EQBF"" (820) | #8 ""waho @ 4dWzAR2sSp"" (1506) | #9 ""Ene @ 7kPHYByVxS"" (2167) | #10 ""sigma @ yHZrsG6l5j"" (2221)",2025-05-28T14:01:38.618Z,174844089861802
"-- starting hand #77 (id: ltkoqegbofy2)  (No Limit Texas Hold'em) (dealer: ""Agu @ Figi6mUf2R"") --",2025-05-28T14:01:38.618Z,174844089861801
"The player ""とーち @ 573aP-RRLR"" stand up with the stack of 2950.",2025-05-28T14:01:38.618Z,174844089861800
"-- ending hand #76 --",2025-05-28T14:01:35.712Z,174844089571202
"""GIL RAIM @ Oo-rx1G24B"" collected 438 from pot",2025-05-28T14:01:35.712Z,174844089571201
"Uncalled bet of 219 returned to ""GIL RAIM @ Oo-rx1G24B""",2025-05-28T14:01:35.712Z,174844089571200
"""Ene @ 7kPHYByVxS"" folds",2025-05-28T14:01:34.882Z,174844089488200
"""GIL RAIM @ Oo-rx1G24B"" bets 219",2025-05-28T14:01:33.828Z,174844089382800
"Flop:  [K♠, A♦, 6♠]",2025-05-28T14:01:25.299Z,174844088529900
"""Ene @ 7kPHYByVxS"" calls 214",2025-05-28T14:01:24.460Z,174844088446000
"""GIL RAIM @ Oo-rx1G24B"" raises to 214",2025-05-28T14:01:02.537Z,174844086253700
"""Agu @ Figi6mUf2R"" folds",2025-05-28T14:00:50.149Z,174844085014900
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T14:00:49.145Z,174844084914500
"""Ene @ 7kPHYByVxS"" raises to 57",2025-05-28T14:00:42.566Z,174844084256600
"""waho @ 4dWzAR2sSp"" folds",2025-05-28T14:00:38.395Z,174844083839500
"""さとうき @ XvV199EQBF"" folds",2025-05-28T14:00:35.840Z,174844083584000
"""arash! @ OkLShdB9P8"" folds",2025-05-28T14:00:34.771Z,174844083477100
"""とーち @ 573aP-RRLR"" folds",2025-05-28T14:00:33.686Z,174844083368600
"""GIL RAIM @ Oo-rx1G24B"" posts a big blind of 20",2025-05-28T14:00:30.156Z,174844083015611
"""Agu @ Figi6mUf2R"" posts a small blind of 10",2025-05-28T14:00:30.156Z,174844083015610
"Your hand is 5♦, 10♠",2025-05-28T14:00:30.156Z,174844083015605
"Player stacks: #1 ""Agu @ Figi6mUf2R"" (3306) | #3 ""GIL RAIM @ Oo-rx1G24B"" (3371) | #4 ""とーち @ 573aP-RRLR"" (2950) | #5 ""arash! @ OkLShdB9P8"" (2025) | #6 ""さとうき @ XvV199EQBF"" (820) | #8 ""waho @ 4dWzAR2sSp"" (1506) | #9 ""Ene @ 7kPHYByVxS"" (2381) | #10 ""sigma @ yHZrsG6l5j"" (2221)",2025-05-28T14:00:30.156Z,174844083015601
"-- starting hand #76 (id: o36afg0gziuq)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-05-28T14:00:30.156Z,174844083015600
"-- ending hand #75 --",2025-05-28T14:00:27.248Z,174844082724802
"""Ene @ 7kPHYByVxS"" collected 110 from pot",2025-05-28T14:00:27.248Z,174844082724801
"Uncalled bet of 82 returned to ""Ene @ 7kPHYByVxS""",2025-05-28T14:00:27.248Z,174844082724800
"""さとうき @ XvV199EQBF"" folds",2025-05-28T14:00:26.444Z,174844082644400
"""Agu @ Figi6mUf2R"" folds",2025-05-28T14:00:18.549Z,174844081854900
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T14:00:17.260Z,174844081726000
"""Ene @ 7kPHYByVxS"" raises to 122",2025-05-28T14:00:16.265Z,174844081626500
"""waho @ 4dWzAR2sSp"" folds",2025-05-28T14:00:07.404Z,174844080740400
"""さとうき @ XvV199EQBF"" raises to 40",2025-05-28T14:00:05.811Z,174844080581100
"""arash! @ OkLShdB9P8"" folds",2025-05-28T14:00:01.665Z,174844080166500
"""とーち @ 573aP-RRLR"" folds",2025-05-28T14:00:00.546Z,174844080054600
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-05-28T13:59:59.536Z,174844079953600
"""Agu @ Figi6mUf2R"" posts a big blind of 20",2025-05-28T13:59:29.224Z,174844076922411
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-05-28T13:59:29.224Z,174844076922410
"Your hand is 2♦, 8♦",2025-05-28T13:59:29.224Z,174844076922405
"Player stacks: #1 ""Agu @ Figi6mUf2R"" (3326) | #3 ""GIL RAIM @ Oo-rx1G24B"" (3371) | #4 ""とーち @ 573aP-RRLR"" (2950) | #5 ""arash! @ OkLShdB9P8"" (2025) | #6 ""さとうき @ XvV199EQBF"" (860) | #8 ""waho @ 4dWzAR2sSp"" (1506) | #9 ""Ene @ 7kPHYByVxS"" (2311) | #10 ""sigma @ yHZrsG6l5j"" (2231)",2025-05-28T13:59:29.224Z,174844076922401
"-- starting hand #75 (id: m0qtfxnm5pi6)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-05-28T13:59:29.224Z,174844076922400
"-- ending hand #74 --",2025-05-28T13:59:26.319Z,174844076631902
"""GIL RAIM @ Oo-rx1G24B"" collected 50 from pot",2025-05-28T13:59:26.319Z,174844076631901
"Uncalled bet of 40 returned to ""GIL RAIM @ Oo-rx1G24B""",2025-05-28T13:59:26.319Z,174844076631900
"""sigma @ yHZrsG6l5j"" folds",2025-05-28T13:59:25.510Z,174844076551000
"""Ene @ 7kPHYByVxS"" folds",2025-05-28T13:59:24.472Z,174844076447200
"""waho @ 4dWzAR2sSp"" folds",2025-05-28T13:59:16.480Z,174844075648000
"""さとうき @ XvV199EQBF"" folds",2025-05-28T13:59:14.944Z,174844075494400
"""arash! @ OkLShdB9P8"" folds",2025-05-28T13:59:13.919Z,174844075391900
"""とーち @ 573aP-RRLR"" folds",2025-05-28T13:59:12.852Z,174844075285200
"""GIL RAIM @ Oo-rx1G24B"" raises to 60",2025-05-28T13:59:11.828Z,174844075182800
"""Agu @ Figi6mUf2R"" folds",2025-05-28T13:59:02.620Z,174844074262000
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-05-28T13:59:00.243Z,174844074024311
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-05-28T13:59:00.243Z,174844074024310
"Your hand is 5♠, J♠",2025-05-28T13:59:00.243Z,174844074024305
"Player stacks: #1 ""Agu @ Figi6mUf2R"" (3326) | #3 ""GIL RAIM @ Oo-rx1G24B"" (3341) | #4 ""とーち @ 573aP-RRLR"" (2950) | #5 ""arash! @ OkLShdB9P8"" (2025) | #6 ""さとうき @ XvV199EQBF"" (860) | #8 ""waho @ 4dWzAR2sSp"" (1506) | #9 ""Ene @ 7kPHYByVxS"" (2321) | #10 ""sigma @ yHZrsG6l5j"" (2251)",2025-05-28T13:59:00.243Z,174844074024301
"-- starting hand #74 (id: b1b4x5xpd3vo)  (No Limit Texas Hold'em) (dealer: ""waho @ 4dWzAR2sSp"") --",2025-05-28T13:59:00.243Z,174844074024300
"""Ene @ 7kPHYByVxS"" shows a J♠, 8♠.",2025-05-28T13:58:58.501Z,174844073850100
