entry,at,order
"The player ""ぼくだよ @ cLX91bDIBI"" quits the game with a stack of 2875.",2025-06-11T14:05:00.100Z,174965070010000
"""らねおか @ XaClitYV1x"" shows a 8♣, Q♣.",2025-06-11T14:04:34.813Z,174965067481300
"-- ending hand #110 --",2025-06-11T14:04:32.522Z,174965067252202
"""らねおか @ XaClitYV1x"" collected 100 from pot",2025-06-11T14:04:32.522Z,174965067252201
"Uncalled bet of 33 returned to ""らねおか @ XaClitYV1x""",2025-06-11T14:04:32.522Z,174965067252200
"""夏狼 @ 8psSgSmta4"" folds",2025-06-11T14:04:31.668Z,174965067166800
"""らねおか @ XaClitYV1x"" bets 33",2025-06-11T14:03:58.049Z,174965063804900
"Turn: 5♥, 7♥, A♦ [8♦]",2025-06-11T14:03:48.130Z,174965062813000
"""夏狼 @ 8psSgSmta4"" checks",2025-06-11T14:03:47.313Z,174965062731300
"""らねおか @ XaClitYV1x"" checks",2025-06-11T14:03:30.488Z,174965061048800
"Flop:  [5♥, 7♥, A♦]",2025-06-11T14:03:28.521Z,174965060852100
"""らねおか @ XaClitYV1x"" calls 45",2025-06-11T14:03:27.715Z,174965060771500
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T14:03:26.226Z,174965060622600
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T14:03:25.071Z,174965060507100
"""arash! @ 3XxnU4oJw0"" folds",2025-06-11T14:03:23.870Z,174965060387000
"""夏狼 @ 8psSgSmta4"" raises to 45",2025-06-11T14:03:22.303Z,174965060230300
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-06-11T14:02:49.637Z,174965056963700
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-06-11T14:02:48.819Z,174965056881909
"""ぼくだよ @ cLX91bDIBI"" posts a small blind of 10",2025-06-11T14:02:48.819Z,174965056881908
"Your hand is K♦, 9♦",2025-06-11T14:02:48.819Z,174965056881904
"Player stacks: #2 ""夏狼 @ 8psSgSmta4"" (2461) | #3 ""arash! @ 3XxnU4oJw0"" (2490) | #5 ""sigma @ yHZrsG6l5j"" (3797) | #7 ""ぼくだよ @ cLX91bDIBI"" (2885) | #10 ""らねおか @ XaClitYV1x"" (2095)",2025-06-11T14:02:48.819Z,174965056881902
"-- starting hand #110 (id: xqm1itsr5vsx)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-06-11T14:02:48.819Z,174965056881901
"The player ""Hibari @ WoUs1vEbz8"" quits the game with a stack of 1982.",2025-06-11T14:02:48.819Z,174965056881900
"-- ending hand #109 --",2025-06-11T14:02:45.913Z,174965056591302
"""sigma @ yHZrsG6l5j"" collected 700 from pot",2025-06-11T14:02:45.913Z,174965056591301
"Uncalled bet of 400 returned to ""sigma @ yHZrsG6l5j""",2025-06-11T14:02:45.913Z,174965056591300
"""arash! @ 3XxnU4oJw0"" folds",2025-06-11T14:02:45.064Z,174965056506400
"""sigma @ yHZrsG6l5j"" bets 400",2025-06-11T14:02:27.937Z,174965054793700
"Turn: Q♥, 6♥, 10♥ [10♦]",2025-06-11T14:01:54.069Z,174965051406900
