player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"パンドラ",LARvkSyvdc,2025-06-11T13:32:02.977Z,,2500,,3110,610
"ねくと！",ghJwIbOflM,2025-06-11T13:04:22.172Z,,4722,,1360,-3362
"ねくと",5E5VYl6oOU,2025-06-11T12:18:10.601Z,2025-06-11T13:03:03.411Z,3000,3575,0,575
"megau",gjiEZFeA5n,2025-06-11T11:50:47.277Z,,2500,1600,3260,2360
"sigma",yHZrsG6l5j,2025-06-11T11:41:12.311Z,,4073,,2930,-1143
"ほたるいか",6weTfFBYpF,2025-06-11T11:31:52.345Z,2025-06-11T12:14:30.426Z,2000,3213,0,1213
"ラプラス",UJkG8BNnuE,2025-06-11T11:26:25.283Z,2025-06-11T11:36:59.246Z,2000,1850,0,-150
"まーしょ",VUnZNoYmlO,2025-06-11T11:17:55.415Z,2025-06-11T13:18:14.868Z,2000,2686,0,686
"夏狼",8psSgSmta4,2025-06-11T11:17:11.269Z,2025-06-11T11:19:28.337Z,2500,2500,0,0
"GIL RAIM",Oo-rx1G24B,2025-06-11T11:17:11.266Z,,2500,2841,2670,3011
"MasatoM",Zvgc3jh8lw,2025-06-11T11:13:48.382Z,2025-06-11T11:36:59.242Z,2000,1900,0,-100
"らねおか",XaClitYV1x,2025-06-11T11:07:27.765Z,2025-06-11T11:11:46.920Z,2500,2480,0,-20
"そばやき",s5Oh2PJdsS,2025-06-11T11:07:27.763Z,2025-06-11T11:39:14.870Z,2000,3451,0,1451
"go",kTKNNaxucr,2025-06-11T11:04:11.204Z,2025-06-11T11:36:59.237Z,3000,1263,0,-1737
"RyeBarat麦",LdZ5WDRqVB,2025-06-11T11:02:38.803Z,2025-06-11T11:09:21.392Z,2000,2050,0,50
"MasatoM",Zvgc3jh8lw,2025-06-11T11:01:00.705Z,2025-06-11T11:09:40.272Z,2000,1950,0,-50
"やす",B3RqnwXz9D,2025-06-11T11:01:00.709Z,2025-06-11T13:51:13.923Z,4151,1547,0,-2604
"めすおぢ",inTKIx9iHL,2025-06-11T11:01:00.707Z,2025-06-11T11:20:32.286Z,2000,0,0,-2000
"Shingo",Q0mo0HjOtt,2025-06-11T11:01:00.711Z,2025-06-11T11:09:40.268Z,2500,3075,0,575
"とーち",573aP-RRLR,2025-06-11T11:01:00.702Z,2025-06-11T11:07:27.760Z,2000,2090,0,90
"arash!",3XxnU4oJw0,2025-06-11T11:01:00.699Z,,3900,1390,3055,545
