entry,at,order
"The player ""GIL RAIM @ Oo-rx1G24B"" stand up with the stack of 2670.",2025-06-11T14:01:55.974Z,174965051597400
"-- ending hand #167 --",2025-06-11T14:01:49.463Z,174965050946302
"""ねくと！ @ ghJwIbOflM"" collected 50 from pot",2025-06-11T14:01:49.463Z,174965050946301
"Uncalled bet of 30 returned to ""ねくと！ @ ghJwIbOflM""",2025-06-11T14:01:49.463Z,174965050946300
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-06-11T14:01:48.613Z,174965050861300
"""arash! @ 3XxnU4oJw0"" folds",2025-06-11T14:01:38.845Z,174965049884500
"""ねくと！ @ ghJwIbOflM"" raises to 50",2025-06-11T14:01:37.817Z,174965049781700
"""megau @ gjiEZFeA5n"" folds",2025-06-11T14:01:33.275Z,174965049327500
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T14:01:32.230Z,174965049223000
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-06-11T14:01:31.621Z,174965049162100
"""パンドラ @ LARvkSyvdc"" folds",2025-06-11T14:01:25.977Z,174965048597700
"""GIL RAIM @ Oo-rx1G24B"" posts a big blind of 20",2025-06-11T14:01:24.317Z,174965048431709
"""arash! @ 3XxnU4oJw0"" posts a small blind of 10",2025-06-11T14:01:24.317Z,174965048431708
"Your hand is 7♠, 4♦",2025-06-11T14:01:24.317Z,174965048431702
"Player stacks: #1 ""arash! @ 3XxnU4oJw0"" (3065) | #2 ""GIL RAIM @ Oo-rx1G24B"" (2690) | #3 ""パンドラ @ LARvkSyvdc"" (3110) | #5 ""sigma @ yHZrsG6l5j"" (2930) | #7 ""megau @ gjiEZFeA5n"" (3260) | #9 ""ねくと！ @ ghJwIbOflM"" (1330)",2025-06-11T14:01:24.317Z,174965048431701
"-- starting hand #167 (id: du6qd7zdfzbu)  (No Limit Texas Hold'em) (dealer: ""ねくと！ @ ghJwIbOflM"") --",2025-06-11T14:01:24.317Z,174965048431700
"-- ending hand #166 --",2025-06-11T14:01:21.351Z,174965048135102
"""sigma @ yHZrsG6l5j"" collected 50 from pot",2025-06-11T14:01:21.351Z,174965048135101
"Uncalled bet of 30 returned to ""sigma @ yHZrsG6l5j""",2025-06-11T14:01:21.351Z,174965048135100
"""arash! @ 3XxnU4oJw0"" folds",2025-06-11T14:01:20.514Z,174965048051400
