player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sy",43AKXLrQ21,2025-06-11T13:06:08.256Z,,3000,,2225,-775
"konasho",6A8RjkqsNg,2025-06-11T12:35:21.763Z,,2000,,3725,1725
"夏狼",MmKxE2jmJi,2025-06-11T12:12:45.306Z,,5065,,1855,-3210
"と-ち",573aP-RRLR,2025-06-11T11:40:51.160Z,2025-06-11T14:02:28.811Z,2500,4382,0,1882
"Ramune",QBTw2JRIw5,2025-06-11T11:31:13.956Z,2025-06-11T14:01:22.320Z,2891,5145,0,2254
"Ramune",QBTw2JRIw5,2025-06-11T11:27:02.428Z,2025-06-11T11:30:19.610Z,2000,0,0,-2000
"MasatoM",Zvgc3jh8lw,2025-06-11T11:11:44.694Z,2025-06-11T11:12:50.862Z,2000,2000,0,0
"Shingo",X6ROcg9MTK,2025-06-11T11:12:50.866Z,2025-06-11T14:03:25.959Z,3685,2939,0,-746
"ぼくだよ",cLX91bDIBI,2025-06-11T11:11:44.692Z,2025-06-11T11:37:07.884Z,2500,4887,0,2387
"たろす",_EAr7O2lyX,2025-06-11T11:11:44.689Z,2025-06-11T12:33:38.982Z,3000,2486,0,-514
"RyeBarat麦",LdZ5WDRqVB,2025-06-11T11:10:23.879Z,2025-06-11T11:48:10.723Z,3615,2475,0,-1140
"とーち",573aP-RRLR,2025-06-11T11:10:23.883Z,2025-06-11T11:37:07.881Z,2500,2430,0,-70
"Ene",7kPHYByVxS,2025-06-11T11:10:23.881Z,2025-06-11T11:37:07.879Z,3019,4188,0,1169
"らねおか",XaClitYV1x,2025-06-11T11:10:23.877Z,,4475,,3513,-962
