entry,at,order
"The player ""Shingo @ X6ROcg9MTK"" quits the game with a stack of 2715.",2025-06-11T14:03:25.956Z,174965060595600
"The player ""と-ち @ 573aP-RRLR"" quits the game with a stack of 2790.",2025-06-11T14:02:28.808Z,174965054880800
"The player ""Ramune @ QBTw2JRIw5"" quits the game with a stack of 3002.",2025-06-11T14:01:22.317Z,174965048231701
"The player ""と-ち @ 573aP-RRLR"" stand up with the stack of 2790.",2025-06-11T14:01:22.317Z,174965048231700
"""sy @ 43AKXLrQ21"" shows a A♣, K♣.",2025-06-11T14:01:19.036Z,174965047903600
"""konasho @ 6A8RjkqsNg"" shows a K♥, J♠.",2025-06-11T14:01:18.929Z,174965047892900
"-- ending hand #212 --",2025-06-11T14:01:17.973Z,174965047797302
"""sy @ 43AKXLrQ21"" collected 110 from pot",2025-06-11T14:01:17.973Z,174965047797301
"Uncalled bet of 170 returned to ""sy @ 43AKXLrQ21""",2025-06-11T14:01:17.973Z,174965047797300
"""konasho @ 6A8RjkqsNg"" folds",2025-06-11T14:01:17.152Z,174965047715200
"""sy @ 43AKXLrQ21"" raises to 220",2025-06-11T14:01:10.090Z,174965047009000
"The admin ""らねおか @ XaClitYV1x"" enqueued the game stop on next hand.",2025-06-11T14:01:05.676Z,174965046567600
"""Shingo @ X6ROcg9MTK"" folds",2025-06-11T14:01:02.491Z,174965046249100
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-11T14:01:01.204Z,174965046120400
"""konasho @ 6A8RjkqsNg"" raises to 50",2025-06-11T14:00:40.529Z,174965044052900
"""らねおか @ XaClitYV1x"" folds",2025-06-11T14:00:35.593Z,174965043559300
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T14:00:33.805Z,174965043380500
"""と-ち @ 573aP-RRLR"" folds",2025-06-11T14:00:32.745Z,174965043274500
"""sy @ 43AKXLrQ21"" posts a big blind of 20",2025-06-11T14:00:25.611Z,174965042561110
"""Shingo @ X6ROcg9MTK"" posts a small blind of 10",2025-06-11T14:00:25.611Z,174965042561109
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3513) | #2 ""konasho @ 6A8RjkqsNg"" (3775) | #4 ""夏狼 @ MmKxE2jmJi"" (1855) | #5 ""Shingo @ X6ROcg9MTK"" (2725) | #6 ""sy @ 43AKXLrQ21"" (2165) | #7 ""と-ち @ 573aP-RRLR"" (2790) | #10 ""Ramune @ QBTw2JRIw5"" (3002)",2025-06-11T14:00:25.611Z,174965042561101
"-- starting hand #212 (id: djgkie1tu50o)  (No Limit Texas Hold'em) (dealer: ""夏狼 @ MmKxE2jmJi"") --",2025-06-11T14:00:25.611Z,174965042561100
"""sy @ 43AKXLrQ21"" shows a 3♥, 3♣.",2025-06-11T14:00:24.365Z,174965042436500
"-- ending hand #211 --",2025-06-11T14:00:21.979Z,174965042197902
"""らねおか @ XaClitYV1x"" collected 110 from pot",2025-06-11T14:00:21.979Z,174965042197901
"Uncalled bet of 90 returned to ""らねおか @ XaClitYV1x""",2025-06-11T14:00:21.979Z,174965042197900
"""sy @ 43AKXLrQ21"" folds",2025-06-11T14:00:21.174Z,174965042117400
"""Shingo @ X6ROcg9MTK"" folds",2025-06-11T14:00:20.009Z,174965042000900
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-11T14:00:18.920Z,174965041892000
"""konasho @ 6A8RjkqsNg"" folds",2025-06-11T14:00:16.488Z,174965041648800
"""らねおか @ XaClitYV1x"" raises to 130",2025-06-11T14:00:15.297Z,174965041529700
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T14:00:06.290Z,174965040629000
"""と-ち @ 573aP-RRLR"" folds",2025-06-11T14:00:05.235Z,174965040523500
"""sy @ 43AKXLrQ21"" raises to 40",2025-06-11T14:00:04.029Z,174965040402900
"""Shingo @ X6ROcg9MTK"" posts a big blind of 20",2025-06-11T13:59:59.739Z,174965039973910
"""夏狼 @ MmKxE2jmJi"" posts a small blind of 10",2025-06-11T13:59:59.739Z,174965039973909
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3443) | #2 ""konasho @ 6A8RjkqsNg"" (3775) | #4 ""夏狼 @ MmKxE2jmJi"" (1865) | #5 ""Shingo @ X6ROcg9MTK"" (2745) | #6 ""sy @ 43AKXLrQ21"" (2205) | #7 ""と-ち @ 573aP-RRLR"" (2790) | #10 ""Ramune @ QBTw2JRIw5"" (3002)",2025-06-11T13:59:59.739Z,174965039973901
"-- starting hand #211 (id: gqzfz9hun7oi)  (No Limit Texas Hold'em) (dealer: ""konasho @ 6A8RjkqsNg"") --",2025-06-11T13:59:59.739Z,174965039973900
"-- ending hand #210 --",2025-06-11T13:59:56.818Z,174965039681802
"""らねおか @ XaClitYV1x"" collected 110 from pot",2025-06-11T13:59:56.818Z,174965039681801
"Uncalled bet of 55 returned to ""らねおか @ XaClitYV1x""",2025-06-11T13:59:56.818Z,174965039681800
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-11T13:59:55.954Z,174965039595400
"""らねおか @ XaClitYV1x"" bets 55",2025-06-11T13:59:44.771Z,174965038477100
"""夏狼 @ MmKxE2jmJi"" checks",2025-06-11T13:59:35.913Z,174965037591300
"Flop:  [5♦, 4♥, Q♣]",2025-06-11T13:59:22.597Z,174965036259700
"""夏狼 @ MmKxE2jmJi"" calls 50",2025-06-11T13:59:21.697Z,174965036169700
"""konasho @ 6A8RjkqsNg"" folds",2025-06-11T13:59:19.866Z,174965035986600
"""らねおか @ XaClitYV1x"" raises to 50",2025-06-11T13:59:16.177Z,174965035617700
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T13:59:08.279Z,174965034827900
"""と-ち @ 573aP-RRLR"" folds",2025-06-11T13:58:54.228Z,174965033422800
"""sy @ 43AKXLrQ21"" folds",2025-06-11T13:58:53.203Z,174965033320300
"""Shingo @ X6ROcg9MTK"" folds",2025-06-11T13:58:52.140Z,174965033214000
"""夏狼 @ MmKxE2jmJi"" posts a big blind of 20",2025-06-11T13:58:50.439Z,174965033043910
"""konasho @ 6A8RjkqsNg"" posts a small blind of 10",2025-06-11T13:58:50.439Z,174965033043909
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3383) | #2 ""konasho @ 6A8RjkqsNg"" (3785) | #4 ""夏狼 @ MmKxE2jmJi"" (1915) | #5 ""Shingo @ X6ROcg9MTK"" (2745) | #6 ""sy @ 43AKXLrQ21"" (2205) | #7 ""と-ち @ 573aP-RRLR"" (2790) | #10 ""Ramune @ QBTw2JRIw5"" (3002)",2025-06-11T13:58:50.439Z,174965033043901
"-- starting hand #210 (id: sy08utsclvg2)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-11T13:58:50.439Z,174965033043900
"-- ending hand #209 --",2025-06-11T13:58:47.533Z,174965032753302
"""と-ち @ 573aP-RRLR"" collected 50 from pot",2025-06-11T13:58:47.533Z,174965032753301
"Uncalled bet of 20 returned to ""と-ち @ 573aP-RRLR""",2025-06-11T13:58:47.533Z,174965032753300
"""konasho @ 6A8RjkqsNg"" folds",2025-06-11T13:58:46.705Z,174965032670500
"""らねおか @ XaClitYV1x"" folds",2025-06-11T13:58:45.565Z,174965032556500
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T13:58:36.815Z,174965031681500
"""と-ち @ 573aP-RRLR"" raises to 40",2025-06-11T13:58:35.737Z,174965031573700
"""sy @ 43AKXLrQ21"" folds",2025-06-11T13:58:33.271Z,174965031327100
"""Shingo @ X6ROcg9MTK"" folds",2025-06-11T13:58:32.191Z,174965031219100
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-11T13:58:27.485Z,174965030748500
"""konasho @ 6A8RjkqsNg"" posts a big blind of 20",2025-06-11T13:58:25.393Z,174965030539310
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-06-11T13:58:25.393Z,174965030539309
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3393) | #2 ""konasho @ 6A8RjkqsNg"" (3805) | #4 ""夏狼 @ MmKxE2jmJi"" (1915) | #5 ""Shingo @ X6ROcg9MTK"" (2745) | #6 ""sy @ 43AKXLrQ21"" (2205) | #7 ""と-ち @ 573aP-RRLR"" (2760) | #10 ""Ramune @ QBTw2JRIw5"" (3002)",2025-06-11T13:58:25.393Z,174965030539301
"-- starting hand #209 (id: 9azp7sisg77a)  (No Limit Texas Hold'em) (dealer: ""Ramune @ QBTw2JRIw5"") --",2025-06-11T13:58:25.393Z,174965030539300
"""konasho @ 6A8RjkqsNg"" shows a K♦, A♠.",2025-06-11T13:58:22.387Z,174965030238700
"""sy @ 43AKXLrQ21"" shows a Q♣, K♠.",2025-06-11T13:58:21.867Z,174965030186700
"-- ending hand #208 --",2025-06-11T13:58:21.053Z,174965030105302
"""konasho @ 6A8RjkqsNg"" collected 330 from pot",2025-06-11T13:58:21.053Z,174965030105301
"Uncalled bet of 250 returned to ""konasho @ 6A8RjkqsNg""",2025-06-11T13:58:21.053Z,174965030105300
"""sy @ 43AKXLrQ21"" folds",2025-06-11T13:58:20.232Z,174965030023200
"""konasho @ 6A8RjkqsNg"" raises to 400",2025-06-11T13:58:18.569Z,174965029856900
"""らねおか @ XaClitYV1x"" folds",2025-06-11T13:58:10.011Z,174965029001100
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T13:58:09.005Z,174965028900500
"""と-ち @ 573aP-RRLR"" folds",2025-06-11T13:58:07.991Z,174965028799100
"""sy @ 43AKXLrQ21"" raises to 150",2025-06-11T13:58:06.973Z,174965028697300
"""Shingo @ X6ROcg9MTK"" folds",2025-06-11T13:57:57.284Z,174965027728400
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-11T13:57:56.158Z,174965027615800
"""konasho @ 6A8RjkqsNg"" raises to 50",2025-06-11T13:57:51.828Z,174965027182800
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-06-11T13:57:46.752Z,174965026675211
"""Ramune @ QBTw2JRIw5"" posts a small blind of 10",2025-06-11T13:57:46.752Z,174965026675210
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3413) | #2 ""konasho @ 6A8RjkqsNg"" (3625) | #4 ""夏狼 @ MmKxE2jmJi"" (1915) | #5 ""Shingo @ X6ROcg9MTK"" (2745) | #6 ""sy @ 43AKXLrQ21"" (2355) | #7 ""と-ち @ 573aP-RRLR"" (2760) | #10 ""Ramune @ QBTw2JRIw5"" (3012)",2025-06-11T13:57:46.752Z,174965026675202
"-- starting hand #208 (id: 0qgkeugu2l5b)  (No Limit Texas Hold'em) (dealer: ""と-ち @ 573aP-RRLR"") --",2025-06-11T13:57:46.752Z,174965026675201
"The player ""らねおか @ XaClitYV1x"" joined the game with a stack of 3413.",2025-06-11T13:57:46.752Z,174965026675200
"-- ending hand #207 --",2025-06-11T13:57:43.837Z,174965026383702
"""夏狼 @ MmKxE2jmJi"" collected 130 from pot",2025-06-11T13:57:43.837Z,174965026383701
"Uncalled bet of 100 returned to ""夏狼 @ MmKxE2jmJi""",2025-06-11T13:57:43.837Z,174965026383700
"""konasho @ 6A8RjkqsNg"" folds",2025-06-11T13:57:42.983Z,174965026298300
"""Ramune @ QBTw2JRIw5"" folds",2025-06-11T13:57:41.871Z,174965026187100
"""と-ち @ 573aP-RRLR"" folds",2025-06-11T13:57:40.834Z,174965026083400
"The player ""らねおか @ XaClitYV1x"" sit back with the stack of 3413.",2025-06-11T13:57:40.675Z,174965026067500
