player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ラプラス",UJkG8BNnuE,2025-06-11T13:42:01.848Z,,2000,,3140,1140
"Hibari",WoUs1vEbz8,2025-06-11T12:39:06.023Z,,3000,,3400,400
"パンドラ",YWl-be_cZ6,2025-06-11T12:17:56.536Z,,2500,2430,2670,2600
"ぼくだよ",cLX91bDIBI,2025-06-11T11:56:34.775Z,,2500,,2415,-85
"MasatoM",Zvgc3jh8lw,2025-06-11T11:39:14.123Z,2025-06-11T12:24:11.874Z,2000,1000,0,-1000
"go",kTKNNaxucr,2025-06-11T11:37:53.183Z,2025-06-11T11:56:34.771Z,3000,5590,0,2590
"Ene",7kPHYByVxS,2025-06-11T11:37:53.184Z,,2200,,223,-1977
"とーち",573aP-RRLR,2025-06-11T11:37:53.186Z,2025-06-11T11:40:35.058Z,2500,2510,0,10
"ぼくだよ",cLX91bDIBI,2025-06-11T11:37:53.181Z,2025-06-11T11:56:04.548Z,2500,0,0,-2500
"ラプラス",UJkG8BNnuE,2025-06-11T11:37:53.179Z,2025-06-11T13:39:51.484Z,2000,0,0,-2000
"sigma",yHZrsG6l5j,2025-06-11T11:37:53.176Z,,2000,,2822,822
