entry,at,order
"The admin ""sigma @ yHZrsG6l5j"" enqueued the game stop on next hand.",2025-06-11T14:02:13.382Z,174965053338200
"""Hibari @ WoUs1vEbz8"" folds",2025-06-11T14:01:36.653Z,174965049665300
"""パンドラ @ YWl-be_cZ6"" posts a big blind of 20",2025-06-11T14:01:32.663Z,174965049266309
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-06-11T14:01:32.663Z,174965049266308
"Your hand is 10♦, 8♦",2025-06-11T14:01:32.663Z,174965049266303
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3400) | #2 ""sigma @ yHZrsG6l5j"" (2822) | #3 ""ラプラス @ UJkG8BNnuE"" (3140) | #4 ""ぼくだよ @ cLX91bDIBI"" (2415) | #6 ""Ene @ 7kPHYByVxS"" (223) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T14:01:32.663Z,174965049266301
"-- starting hand #170 (id: xyof11r0gzvl)  (No Limit Texas Hold'em) (dealer: ""ぼくだよ @ cLX91bDIBI"") --",2025-06-11T14:01:32.663Z,174965049266300
"-- ending hand #169 --",2025-06-11T14:01:29.722Z,174965048972202
"""sigma @ yHZrsG6l5j"" collected 330 from pot",2025-06-11T14:01:29.722Z,174965048972201
"Uncalled bet of 110 returned to ""sigma @ yHZrsG6l5j""",2025-06-11T14:01:29.722Z,174965048972200
"""Hibari @ WoUs1vEbz8"" folds",2025-06-11T14:01:28.894Z,174965048889400
"""sigma @ yHZrsG6l5j"" bets 110",2025-06-11T14:01:24.939Z,174965048493900
"""Hibari @ WoUs1vEbz8"" checks",2025-06-11T14:01:05.353Z,174965046535300
"Flop:  [6♥, A♠, 6♠]",2025-06-11T14:01:01.811Z,174965046181100
"""Hibari @ WoUs1vEbz8"" calls 150",2025-06-11T14:01:00.958Z,174965046095800
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T14:00:54.007Z,174965045400700
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T14:00:52.822Z,174965045282200
"""ラプラス @ UJkG8BNnuE"" folds",2025-06-11T14:00:51.741Z,174965045174100
"""sigma @ yHZrsG6l5j"" raises to 150",2025-06-11T14:00:50.717Z,174965045071700
"""Hibari @ WoUs1vEbz8"" raises to 40",2025-06-11T14:00:41.796Z,174965044179600
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T14:00:38.903Z,174965043890300
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-06-11T14:00:36.393Z,174965043639309
"""ぼくだよ @ cLX91bDIBI"" posts a small blind of 10",2025-06-11T14:00:36.393Z,174965043639308
"Your hand is J♦, J♠",2025-06-11T14:00:36.393Z,174965043639303
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3550) | #2 ""sigma @ yHZrsG6l5j"" (2642) | #3 ""ラプラス @ UJkG8BNnuE"" (3140) | #4 ""ぼくだよ @ cLX91bDIBI"" (2425) | #6 ""Ene @ 7kPHYByVxS"" (243) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T14:00:36.393Z,174965043639301
"-- starting hand #169 (id: j63tsxcab7vh)  (No Limit Texas Hold'em) (dealer: ""ラプラス @ UJkG8BNnuE"") --",2025-06-11T14:00:36.393Z,174965043639300
"-- ending hand #168 --",2025-06-11T14:00:33.464Z,174965043346402
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-06-11T14:00:33.464Z,174965043346401
"Uncalled bet of 25 returned to ""Hibari @ WoUs1vEbz8""",2025-06-11T14:00:33.464Z,174965043346400
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T14:00:32.628Z,174965043262800
"""ラプラス @ UJkG8BNnuE"" folds",2025-06-11T14:00:31.547Z,174965043154700
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T14:00:30.505Z,174965043050500
"""Hibari @ WoUs1vEbz8"" raises to 45",2025-06-11T14:00:27.639Z,174965042763900
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T14:00:23.618Z,174965042361800
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T14:00:15.828Z,174965041582800
"""ぼくだよ @ cLX91bDIBI"" posts a big blind of 20",2025-06-11T14:00:13.711Z,174965041371109
"""ラプラス @ UJkG8BNnuE"" posts a small blind of 10",2025-06-11T14:00:13.711Z,174965041371108
"Your hand is 9♥, 4♦",2025-06-11T14:00:13.711Z,174965041371103
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3520) | #2 ""sigma @ yHZrsG6l5j"" (2642) | #3 ""ラプラス @ UJkG8BNnuE"" (3150) | #4 ""ぼくだよ @ cLX91bDIBI"" (2445) | #6 ""Ene @ 7kPHYByVxS"" (243) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T14:00:13.711Z,174965041371101
"-- starting hand #168 (id: x6z24rpp0qqz)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-06-11T14:00:13.711Z,174965041371100
"-- ending hand #167 --",2025-06-11T14:00:10.795Z,174965041079502
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-06-11T14:00:10.795Z,174965041079501
"Uncalled bet of 25 returned to ""Hibari @ WoUs1vEbz8""",2025-06-11T14:00:10.795Z,174965041079500
"""ラプラス @ UJkG8BNnuE"" folds",2025-06-11T14:00:09.990Z,174965040999000
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T14:00:07.899Z,174965040789900
"""Hibari @ WoUs1vEbz8"" raises to 45",2025-06-11T14:00:04.262Z,174965040426200
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T14:00:00.318Z,174965040031800
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T13:59:59.193Z,174965039919300
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T13:59:57.728Z,174965039772800
"""ラプラス @ UJkG8BNnuE"" posts a big blind of 20",2025-06-11T13:59:56.137Z,174965039613709
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-06-11T13:59:56.137Z,174965039613708
"Your hand is A♣, 2♠",2025-06-11T13:59:56.137Z,174965039613703
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3490) | #2 ""sigma @ yHZrsG6l5j"" (2652) | #3 ""ラプラス @ UJkG8BNnuE"" (3170) | #4 ""ぼくだよ @ cLX91bDIBI"" (2445) | #6 ""Ene @ 7kPHYByVxS"" (243) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T13:59:56.137Z,174965039613701
"-- starting hand #167 (id: 8hvaz6cdgsqw)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-06-11T13:59:56.137Z,174965039613700
"-- ending hand #166 --",2025-06-11T13:59:53.215Z,174965039321502
"""Hibari @ WoUs1vEbz8"" collected 200 from pot",2025-06-11T13:59:53.215Z,174965039321501
"Uncalled bet of 60 returned to ""Hibari @ WoUs1vEbz8""",2025-06-11T13:59:53.215Z,174965039321500
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T13:59:52.373Z,174965039237300
"""Hibari @ WoUs1vEbz8"" bets 60",2025-06-11T13:58:38.464Z,174965031846400
"River: 9♣, 10♦, 7♦, K♦ [6♠]",2025-06-11T13:57:26.853Z,174965024685300
"""ぼくだよ @ cLX91bDIBI"" checks",2025-06-11T13:57:26.032Z,174965024603200
"""Hibari @ WoUs1vEbz8"" checks",2025-06-11T13:56:25.342Z,174965018534200
"Turn: 9♣, 10♦, 7♦ [K♦]",2025-06-11T13:56:05.333Z,174965016533300
"""ぼくだよ @ cLX91bDIBI"" calls 40",2025-06-11T13:56:04.512Z,174965016451200
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T13:55:50.903Z,174965015090300
"""Hibari @ WoUs1vEbz8"" bets 40",2025-06-11T13:55:42.680Z,174965014268000
"Flop:  [9♣, 10♦, 7♦]",2025-06-11T13:55:32.941Z,174965013294100
"""sigma @ yHZrsG6l5j"" calls 40",2025-06-11T13:55:32.112Z,174965013211200
"""Hibari @ WoUs1vEbz8"" calls 40",2025-06-11T13:55:22.412Z,174965012241200
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T13:55:16.516Z,174965011651600
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T13:55:15.345Z,174965011534500
"""ぼくだよ @ cLX91bDIBI"" raises to 40",2025-06-11T13:55:14.247Z,174965011424700
"""ラプラス @ UJkG8BNnuE"" folds",2025-06-11T13:55:11.737Z,174965011173700
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-06-11T13:55:09.522Z,174965010952209
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-06-11T13:55:09.522Z,174965010952208
"Your hand is 5♠, 5♣",2025-06-11T13:55:09.522Z,174965010952203
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3370) | #2 ""sigma @ yHZrsG6l5j"" (2692) | #3 ""ラプラス @ UJkG8BNnuE"" (3170) | #4 ""ぼくだよ @ cLX91bDIBI"" (2525) | #6 ""Ene @ 7kPHYByVxS"" (243) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T13:55:09.522Z,174965010952201
"-- starting hand #166 (id: squ4sjqho2q4)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ YWl-be_cZ6"") --",2025-06-11T13:55:09.522Z,174965010952200
"""ラプラス @ UJkG8BNnuE"" shows a K♥, J♦.",2025-06-11T13:55:07.490Z,174965010749000
"-- ending hand #165 --",2025-06-11T13:55:05.919Z,174965010591902
"""ラプラス @ UJkG8BNnuE"" collected 50 from pot",2025-06-11T13:55:05.919Z,174965010591901
"Uncalled bet of 30 returned to ""ラプラス @ UJkG8BNnuE""",2025-06-11T13:55:05.919Z,174965010591900
"""Hibari @ WoUs1vEbz8"" folds",2025-06-11T13:55:05.069Z,174965010506900
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T13:55:00.347Z,174965010034700
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T13:54:56.688Z,174965009668800
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T13:54:55.548Z,174965009554800
"""ラプラス @ UJkG8BNnuE"" raises to 50",2025-06-11T13:54:53.860Z,174965009386000
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T13:54:49.255Z,174965008925500
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-06-11T13:54:32.302Z,174965007230209
"""パンドラ @ YWl-be_cZ6"" posts a small blind of 10",2025-06-11T13:54:32.302Z,174965007230208
"Your hand is 3♥, 4♥",2025-06-11T13:54:32.302Z,174965007230203
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3390) | #2 ""sigma @ yHZrsG6l5j"" (2692) | #3 ""ラプラス @ UJkG8BNnuE"" (3140) | #4 ""ぼくだよ @ cLX91bDIBI"" (2525) | #6 ""Ene @ 7kPHYByVxS"" (243) | #9 ""パンドラ @ YWl-be_cZ6"" (2680)",2025-06-11T13:54:32.302Z,174965007230201
"-- starting hand #165 (id: 8vyei1jn8kz7)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-06-11T13:54:32.302Z,174965007230200
"-- ending hand #164 --",2025-06-11T13:54:29.379Z,174965006937902
"""パンドラ @ YWl-be_cZ6"" collected 20 from pot",2025-06-11T13:54:29.379Z,174965006937901
"Uncalled bet of 10 returned to ""パンドラ @ YWl-be_cZ6""",2025-06-11T13:54:29.379Z,174965006937900
"""Ene @ 7kPHYByVxS"" folds",2025-06-11T13:54:28.572Z,174965006857200
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T13:54:26.309Z,174965006630900
"""ラプラス @ UJkG8BNnuE"" folds",2025-06-11T13:54:25.215Z,174965006521500
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T13:54:23.531Z,174965006353100
"""Hibari @ WoUs1vEbz8"" folds",2025-06-11T13:54:20.249Z,174965006024900
"""パンドラ @ YWl-be_cZ6"" posts a big blind of 20",2025-06-11T13:54:16.211Z,174965005621109
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-06-11T13:54:16.211Z,174965005621108
"Your hand is 7♥, 3♠",2025-06-11T13:54:16.211Z,174965005621103
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3390) | #2 ""sigma @ yHZrsG6l5j"" (2692) | #3 ""ラプラス @ UJkG8BNnuE"" (3140) | #4 ""ぼくだよ @ cLX91bDIBI"" (2525) | #6 ""Ene @ 7kPHYByVxS"" (253) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T13:54:16.211Z,174965005621101
"-- starting hand #164 (id: bc62rvjjlhc4)  (No Limit Texas Hold'em) (dealer: ""ぼくだよ @ cLX91bDIBI"") --",2025-06-11T13:54:16.211Z,174965005621100
"-- ending hand #163 --",2025-06-11T13:54:10.205Z,174965005020503
"""ラプラス @ UJkG8BNnuE"" collected 3140 from pot with Flush, Jc High (combination: J♣, 10♣, 9♣, 6♣, 5♣)",2025-06-11T13:54:10.205Z,174965005020502
"""ラプラス @ UJkG8BNnuE"" shows a 5♣, 6♣.",2025-06-11T13:54:10.205Z,174965005020501
"""Ene @ 7kPHYByVxS"" shows a Q♦, K♦.",2025-06-11T13:54:10.205Z,174965005020500
"""ラプラス @ UJkG8BNnuE"" calls 1235 and go all in",2025-06-11T13:54:09.381Z,174965004938100
"""Ene @ 7kPHYByVxS"" raises to 1235",2025-06-11T13:52:58.655Z,174964997865500
"""ラプラス @ UJkG8BNnuE"" bets 335",2025-06-11T13:52:54.644Z,174964997464400
"""Ene @ 7kPHYByVxS"" checks",2025-06-11T13:52:24.520Z,174964994452000
"River: J♣, 10♣, 7♥, 3♠ [9♣]",2025-06-11T13:52:03.492Z,174964992349200
"""Ene @ 7kPHYByVxS"" calls 200",2025-06-11T13:52:02.674Z,174964992267400
"""ラプラス @ UJkG8BNnuE"" bets 200",2025-06-11T13:51:09.875Z,174964986987500
"""Ene @ 7kPHYByVxS"" checks",2025-06-11T13:50:35.392Z,174964983539200
"Turn: J♣, 10♣, 7♥ [3♠]",2025-06-11T13:50:33.510Z,174964983351000
"""Ene @ 7kPHYByVxS"" calls 80",2025-06-11T13:50:32.667Z,174964983266700
"""ラプラス @ UJkG8BNnuE"" bets 80",2025-06-11T13:50:28.824Z,174964982882400
"""Ene @ 7kPHYByVxS"" checks",2025-06-11T13:50:14.414Z,174964981441400
"Flop:  [J♣, 10♣, 7♥]",2025-06-11T13:50:10.385Z,174964981038500
"""Ene @ 7kPHYByVxS"" calls 50",2025-06-11T13:50:09.537Z,174964980953700
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-11T13:50:07.233Z,174964980723300
"""ラプラス @ UJkG8BNnuE"" raises to 50",2025-06-11T13:50:06.186Z,174964980618600
"""sigma @ yHZrsG6l5j"" folds",2025-06-11T13:50:00.794Z,174964980079400
"""Hibari @ WoUs1vEbz8"" folds",2025-06-11T13:49:55.774Z,174964979577400
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-11T13:49:54.755Z,174964979475500
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-06-11T13:49:48.768Z,174964978876809
"""ぼくだよ @ cLX91bDIBI"" posts a small blind of 10",2025-06-11T13:49:48.768Z,174964978876808
"Your hand is Q♣, 6♠",2025-06-11T13:49:48.768Z,174964978876803
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (3390) | #2 ""sigma @ yHZrsG6l5j"" (2692) | #3 ""ラプラス @ UJkG8BNnuE"" (1565) | #4 ""ぼくだよ @ cLX91bDIBI"" (2535) | #6 ""Ene @ 7kPHYByVxS"" (1818) | #9 ""パンドラ @ YWl-be_cZ6"" (2670)",2025-06-11T13:49:48.768Z,174964978876801
