entry,at,order
"The player ""パンドラ @ pL49LPNYjQ"" quits the game with a stack of 2533.",2025-06-16T14:08:11.208Z,175008289120800
"-- ending hand #72 --",2025-06-16T14:07:42.551Z,175008286255102
"""ぼくだよ @ cLX91bDIBI"" collected 90 from pot",2025-06-16T14:07:42.551Z,175008286255101
"Uncalled bet of 30 returned to ""ぼくだよ @ cLX91bDIBI""",2025-06-16T14:07:42.551Z,175008286255100
"""waho @ NfjopgdY_L"" folds",2025-06-16T14:07:41.708Z,175008286170800
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-06-16T14:07:31.560Z,175008285156000
"""ぼくだよ @ cLX91bDIBI"" bets 30",2025-06-16T14:07:26.080Z,175008284608000
"River: 6♥, 8♠, 6♣, 3♣ [4♦]",2025-06-16T14:07:04.838Z,175008282483800
"""waho @ NfjopgdY_L"" checks",2025-06-16T14:07:03.962Z,175008282396200
"""ぼくだよ @ cLX91bDIBI"" checks",2025-06-16T14:06:42.561Z,175008280256100
"Turn: 6♥, 8♠, 6♣ [3♣]",2025-06-16T14:06:33.198Z,175008279319800
"""waho @ NfjopgdY_L"" checks",2025-06-16T14:06:32.366Z,175008279236600
"""ぼくだよ @ cLX91bDIBI"" checks",2025-06-16T14:06:22.324Z,175008278232400
"Flop:  [6♥, 8♠, 6♣]",2025-06-16T14:06:18.829Z,175008277882900
"""ぼくだよ @ cLX91bDIBI"" calls 40",2025-06-16T14:06:18.022Z,175008277802200
"""パンドラ @ pL49LPNYjQ"" folds",2025-06-16T14:06:14.797Z,175008277479700
"""Hiiro @ Nb7FKJQWoe"" folds",2025-06-16T14:06:13.775Z,175008277377500
"""arash! @ OHWoWLqWap"" folds",2025-06-16T14:06:12.761Z,175008277276100
"""waho @ NfjopgdY_L"" raises to 40",2025-06-16T14:06:11.768Z,175008277176800
"""ねくと @ ghJwIbOflM"" folds",2025-06-16T14:05:59.440Z,175008275944000
"""megau @ gjiEZFeA5n"" folds",2025-06-16T14:05:58.392Z,175008275839200
