entry,at,order
"The player ""GIL RAIM @ Oo-rx1G24B"" quits the game with a stack of 2056.",2025-06-16T14:08:21.570Z,175008290157000
"The player ""take @ MOu3OETQYg"" stand up with the stack of 2350.",2025-06-16T14:08:17.585Z,175008289758500
"The player ""GIL RAIM @ Oo-rx1G24B"" sit back with the stack of 2056.",2025-06-16T14:08:16.671Z,175008289667100
"The player ""夏狼 @ 8psSgSmta4"" quits the game with a stack of 2630.",2025-06-16T14:08:11.292Z,175008289129201
"The player ""GIL RAIM @ Oo-rx1G24B"" stand up with the stack of 2056.",2025-06-16T14:08:11.292Z,175008289129200
"-- ending hand #144 --",2025-06-16T14:08:08.294Z,175008288829402
"""take @ MOu3OETQYg"" collected 0 from pot",2025-06-16T14:08:08.294Z,175008288829401
"Uncalled bet of 20 returned to ""take @ MOu3OETQYg""",2025-06-16T14:08:08.294Z,175008288829400
"""arash! @ OHWoWLqWap"" folds",2025-06-16T14:08:07.483Z,175008288748300
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-06-16T14:08:06.459Z,175008288645900
"""夏狼 @ 8psSgSmta4"" folds",2025-06-16T14:08:03.162Z,175008288316200
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-06-16T14:07:57.502Z,175008287750200
"""take @ MOu3OETQYg"" posts a big blind of 20",2025-06-16T14:07:56.660Z,175008287666012
"Dead Small Blind",2025-06-16T14:07:56.660Z,175008287666011
"Your hand is 7♥, 2♥",2025-06-16T14:07:56.660Z,175008287666010
"Player stacks: #3 ""take @ MOu3OETQYg"" (2350) | #6 ""夏狼 @ 8psSgSmta4"" (2630) | #7 ""GIL RAIM @ Oo-rx1G24B"" (2056) | #8 ""arash! @ OHWoWLqWap"" (1920)",2025-06-16T14:07:56.660Z,175008287666006
"-- starting hand #144 (id: heyyh2pae4bn)  (No Limit Texas Hold'em) (dead button) --",2025-06-16T14:07:56.660Z,175008287666005
"The player ""すぱんきぃ @ hOuy3mTnpb"" quits the game with a stack of 2560.",2025-06-16T14:07:56.660Z,175008287666004
"The player ""カイン @ fcHKjLeyz-"" quits the game with a stack of 1284.",2025-06-16T14:07:56.660Z,175008287666003
"The player ""tsumu-po @ hTak04qzcc"" quits the game with a stack of 2222.",2025-06-16T14:07:56.660Z,175008287666002
"The player ""やましー @ jnTTcStDrh"" stand up with the stack of 2210.",2025-06-16T14:07:56.660Z,175008287666001
"The player ""すぱんきぃ @ hOuy3mTnpb"" stand up with the stack of 2560.",2025-06-16T14:07:56.660Z,175008287666000
"""GIL RAIM @ Oo-rx1G24B"" shows a K♠, 8♣.",2025-06-16T14:07:54.164Z,175008287416400
"""arash! @ OHWoWLqWap"" shows a A♥, K♣.",2025-06-16T14:07:53.311Z,175008287331100
"-- ending hand #143 --",2025-06-16T14:07:52.308Z,175008287230802
"""arash! @ OHWoWLqWap"" collected 50 from pot",2025-06-16T14:07:52.308Z,175008287230801
"Uncalled bet of 40 returned to ""arash! @ OHWoWLqWap""",2025-06-16T14:07:52.308Z,175008287230800
"""カイン @ fcHKjLeyz-"" folds",2025-06-16T14:07:51.490Z,175008287149000
"""やましー @ jnTTcStDrh"" folds",2025-06-16T14:07:50.665Z,175008287066500
"""arash! @ OHWoWLqWap"" raises to 60",2025-06-16T14:07:49.824Z,175008286982400
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-06-16T14:07:45.619Z,175008286561900
"""夏狼 @ 8psSgSmta4"" folds",2025-06-16T14:07:39.322Z,175008285932200
"""すぱんきぃ @ hOuy3mTnpb"" folds",2025-06-16T14:07:33.998Z,175008285399800
"""take @ MOu3OETQYg"" folds",2025-06-16T14:07:33.190Z,175008285319000
"""tsumu-po @ hTak04qzcc"" folds",2025-06-16T14:06:20.586Z,175008278058600
"""カイン @ fcHKjLeyz-"" posts a big blind of 20",2025-06-16T14:06:16.608Z,175008277660812
"""やましー @ jnTTcStDrh"" posts a small blind of 10",2025-06-16T14:06:16.608Z,175008277660811
"Your hand is A♥, K♣",2025-06-16T14:06:16.608Z,175008277660809
"Player stacks: #1 ""カイン @ fcHKjLeyz-"" (1304) | #2 ""tsumu-po @ hTak04qzcc"" (2222) | #3 ""take @ MOu3OETQYg"" (2350) | #4 ""すぱんきぃ @ hOuy3mTnpb"" (2560) | #6 ""夏狼 @ 8psSgSmta4"" (2630) | #7 ""GIL RAIM @ Oo-rx1G24B"" (2056) | #8 ""arash! @ OHWoWLqWap"" (1890) | #10 ""やましー @ jnTTcStDrh"" (2220)",2025-06-16T14:06:16.608Z,175008277660802
"-- starting hand #143 (id: 6stadb35iylp)  (No Limit Texas Hold'em) (dealer: ""arash! @ OHWoWLqWap"") --",2025-06-16T14:06:16.608Z,175008277660801
"The player ""ねくと @ ghJwIbOflM"" stand up with the stack of 3345.",2025-06-16T14:06:16.608Z,175008277660800
"-- ending hand #142 --",2025-06-16T14:06:13.701Z,175008277370102
"""夏狼 @ 8psSgSmta4"" collected 130 from pot",2025-06-16T14:06:13.701Z,175008277370101
"Uncalled bet of 100 returned to ""夏狼 @ 8psSgSmta4""",2025-06-16T14:06:13.701Z,175008277370100
"""すぱんきぃ @ hOuy3mTnpb"" folds",2025-06-16T14:06:12.842Z,175008277284200
"""やましー @ jnTTcStDrh"" folds",2025-06-16T14:06:10.828Z,175008277082800
"""arash! @ OHWoWLqWap"" folds",2025-06-16T14:06:08.238Z,175008276823800
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-06-16T14:06:02.857Z,175008276285700
"""夏狼 @ 8psSgSmta4"" raises to 150",2025-06-16T14:06:00.145Z,175008276014500
"""ねくと @ ghJwIbOflM"" folds",2025-06-16T14:05:38.518Z,175008273851800
"""すぱんきぃ @ hOuy3mTnpb"" raises to 50",2025-06-16T14:05:36.052Z,175008273605200
"""take @ MOu3OETQYg"" folds",2025-06-16T14:05:28.860Z,175008272886000
"""tsumu-po @ hTak04qzcc"" folds",2025-06-16T14:05:14.343Z,175008271434300
"""カイン @ fcHKjLeyz-"" folds",2025-06-16T14:05:13.136Z,175008271313600
"""やましー @ jnTTcStDrh"" posts a big blind of 20",2025-06-16T14:04:43.740Z,175008268374012
"""arash! @ OHWoWLqWap"" posts a small blind of 10",2025-06-16T14:04:43.740Z,175008268374011
"Your hand is 3♥, 3♦",2025-06-16T14:04:43.740Z,175008268374009
