player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ゆいき",1N8WVbaold,2025-06-16T12:39:53.123Z,2025-06-16T14:07:22.361Z,2250,3028,0,778
"Sabosuke",uPvjXdnEpB,2025-06-16T12:25:31.304Z,2025-06-16T14:07:51.600Z,2500,2915,0,415
"ゆいき",1N8WVbaold,2025-06-16T12:05:08.553Z,2025-06-16T12:39:10.384Z,2520,0,0,-2520
"らねおか",XaClitYV1x,2025-06-16T11:47:07.155Z,,2500,,3061,561
"waho",NfjopgdY_L,2025-06-16T11:34:08.875Z,2025-06-16T14:07:22.356Z,3000,2537,0,-463
"Hibari",WoUs1vEbz8,2025-06-16T11:20:44.541Z,,2500,1079,3157,1736
"るも",7n59-giX1P,2025-06-16T11:20:44.539Z,2025-06-16T12:21:56.113Z,2620,1950,0,-670
"hibiki_72o",JY_jKUgodq,2025-06-16T11:10:48.127Z,2025-06-16T11:27:16.089Z,4345,2543,0,-1802
"tt",gJZixgxva8,2025-06-16T11:06:10.579Z,2025-06-16T12:21:56.109Z,2000,2115,0,115
"夏狼",MmKxE2jmJi,2025-06-16T11:05:32.338Z,,3503,,1930,-1573
"konasho",6A8RjkqsNg,2025-06-16T11:05:32.344Z,,2000,2460,2218,2678
"とーち",573aP-RRLR,2025-06-16T11:05:32.342Z,2025-06-16T11:27:16.086Z,2500,2510,0,10
"ノガード",dlzwhIfu_I,2025-06-16T11:05:32.340Z,,2500,,3235,735
