entry,at,order
"The player ""Sabosuke @ uPvjXdnEpB"" quits the game with a stack of 2915.",2025-06-16T14:07:51.597Z,175008287159700
"The player ""ゆいき @ 1N8WVbaold"" quits the game with a stack of 3028.",2025-06-16T14:07:22.351Z,175008284235101
"The player ""waho @ NfjopgdY_L"" quits the game with a stack of 1271.",2025-06-16T14:07:22.351Z,175008284235100
"""夏狼 @ MmKxE2jmJi"" shows a 8♥, 2♣.",2025-06-16T14:07:19.152Z,175008283915200
"""konasho @ 6A8RjkqsNg"" shows a A♠, 3♠.",2025-06-16T14:07:18.453Z,175008283845300
"""らねおか @ XaClitYV1x"" shows a 5♦, 6♥.",2025-06-16T14:07:17.927Z,175008283792700
"""Sabosuke @ uPvjXdnEpB"" shows a 10♠, 10♣.",2025-06-16T14:07:17.867Z,175008283786700
"-- ending hand #189 --",2025-06-16T14:07:16.643Z,175008283664302
"""Sabosuke @ uPvjXdnEpB"" collected 130 from pot",2025-06-16T14:07:16.643Z,175008283664301
"Uncalled bet of 100 returned to ""Sabosuke @ uPvjXdnEpB""",2025-06-16T14:07:16.643Z,175008283664300
"""konasho @ 6A8RjkqsNg"" folds",2025-06-16T14:07:15.773Z,175008283577300
"""らねおか @ XaClitYV1x"" folds",2025-06-16T14:07:10.643Z,175008283064300
"""waho @ NfjopgdY_L"" folds",2025-06-16T14:07:09.546Z,175008282954600
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:07:06.459Z,175008282645900
"""Sabosuke @ uPvjXdnEpB"" raises to 150",2025-06-16T14:07:02.967Z,175008282296700
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-06-16T14:07:01.965Z,175008282196500
"""ノガード @ dlzwhIfu_I"" folds",2025-06-16T14:06:57.037Z,175008281703700
"""ゆいき @ 1N8WVbaold"" folds",2025-06-16T14:06:50.861Z,175008281086100
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-16T14:06:44.787Z,175008280478700
"""konasho @ 6A8RjkqsNg"" raises to 50",2025-06-16T14:06:43.693Z,175008280369300
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-06-16T14:06:37.112Z,175008279711211
"""waho @ NfjopgdY_L"" posts a small blind of 10",2025-06-16T14:06:37.112Z,175008279711210
"Player stacks: #1 ""夏狼 @ MmKxE2jmJi"" (1930) | #3 ""ゆいき @ 1N8WVbaold"" (3028) | #4 ""ノガード @ dlzwhIfu_I"" (3235) | #5 ""Sabosuke @ uPvjXdnEpB"" (2835) | #6 ""Hibari @ WoUs1vEbz8"" (3157) | #8 ""waho @ NfjopgdY_L"" (1281) | #9 ""らねおか @ XaClitYV1x"" (3081) | #10 ""konasho @ 6A8RjkqsNg"" (2268)",2025-06-16T14:06:37.112Z,175008279711201
"-- starting hand #189 (id: civhopckppzq)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-06-16T14:06:37.112Z,175008279711200
"-- ending hand #188 --",2025-06-16T14:06:34.198Z,175008279419802
"""ゆいき @ 1N8WVbaold"" collected 2290 from pot",2025-06-16T14:06:34.198Z,175008279419801
"Uncalled bet of 738 returned to ""ゆいき @ 1N8WVbaold""",2025-06-16T14:06:34.198Z,175008279419800
"""waho @ NfjopgdY_L"" folds",2025-06-16T14:06:33.336Z,175008279333600
"""ゆいき @ 1N8WVbaold"" raises to 1298 and go all in",2025-06-16T14:06:29.548Z,175008278954800
"""waho @ NfjopgdY_L"" bets 560",2025-06-16T14:06:06.084Z,175008276608400
"River: 3♣, Q♥, K♣, 6♣ [4♦]",2025-06-16T14:05:32.706Z,175008273270600
"""ゆいき @ 1N8WVbaold"" calls 180",2025-06-16T14:05:31.897Z,175008273189700
"""waho @ NfjopgdY_L"" bets 180",2025-06-16T14:05:11.756Z,175008271175600
"Turn: 3♣, Q♥, K♣ [6♣]",2025-06-16T14:04:22.988Z,175008266298800
"""ゆいき @ 1N8WVbaold"" calls 180",2025-06-16T14:04:22.177Z,175008266217700
"""waho @ NfjopgdY_L"" bets 180",2025-06-16T14:04:08.865Z,175008264886500
"Flop:  [3♣, Q♥, K♣]",2025-06-16T14:03:52.991Z,175008263299100
"""ゆいき @ 1N8WVbaold"" calls 220",2025-06-16T14:03:52.160Z,175008263216000
"""waho @ NfjopgdY_L"" raises to 220",2025-06-16T14:03:44.032Z,175008262403200
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:03:28.458Z,175008260845800
"""Sabosuke @ uPvjXdnEpB"" folds",2025-06-16T14:03:27.417Z,175008260741700
"""ノガード @ dlzwhIfu_I"" folds",2025-06-16T14:03:22.840Z,175008260284000
"""ゆいき @ 1N8WVbaold"" raises to 40",2025-06-16T14:03:21.767Z,175008260176700
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-16T14:03:18.943Z,175008259894300
"""konasho @ 6A8RjkqsNg"" folds",2025-06-16T14:03:10.345Z,175008259034500
"""らねおか @ XaClitYV1x"" folds",2025-06-16T14:03:09.206Z,175008258920600
"""waho @ NfjopgdY_L"" posts a big blind of 20",2025-06-16T14:03:08.268Z,175008258826811
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-06-16T14:03:08.268Z,175008258826810
"Player stacks: #1 ""夏狼 @ MmKxE2jmJi"" (1930) | #3 ""ゆいき @ 1N8WVbaold"" (1878) | #4 ""ノガード @ dlzwhIfu_I"" (3235) | #5 ""Sabosuke @ uPvjXdnEpB"" (2835) | #6 ""Hibari @ WoUs1vEbz8"" (3167) | #8 ""waho @ NfjopgdY_L"" (2421) | #9 ""らねおか @ XaClitYV1x"" (3081) | #10 ""konasho @ 6A8RjkqsNg"" (2268)",2025-06-16T14:03:08.268Z,175008258826801
"-- starting hand #188 (id: wgty5lom0tqh)  (No Limit Texas Hold'em) (dealer: ""Sabosuke @ uPvjXdnEpB"") --",2025-06-16T14:03:08.268Z,175008258826800
"-- ending hand #187 --",2025-06-16T14:03:05.351Z,175008258535102
"""らねおか @ XaClitYV1x"" collected 50 from pot",2025-06-16T14:03:05.351Z,175008258535101
"Uncalled bet of 20 returned to ""らねおか @ XaClitYV1x""",2025-06-16T14:03:05.351Z,175008258535100
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:03:04.532Z,175008258453200
"""Sabosuke @ uPvjXdnEpB"" folds",2025-06-16T14:02:57.547Z,175008257754700
"""ノガード @ dlzwhIfu_I"" folds",2025-06-16T14:02:56.620Z,175008257662000
"""ゆいき @ 1N8WVbaold"" folds",2025-06-16T14:02:55.503Z,175008257550300
"""夏狼 @ MmKxE2jmJi"" folds",2025-06-16T14:02:53.622Z,175008257362200
"""konasho @ 6A8RjkqsNg"" folds",2025-06-16T14:02:49.866Z,175008256986600
"""らねおか @ XaClitYV1x"" raises to 40",2025-06-16T14:02:48.023Z,175008256802300
"""waho @ NfjopgdY_L"" folds",2025-06-16T14:02:45.822Z,175008256582200
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-06-16T14:02:43.548Z,175008256354811
"""Sabosuke @ uPvjXdnEpB"" posts a small blind of 10",2025-06-16T14:02:43.548Z,175008256354810
"Player stacks: #1 ""夏狼 @ MmKxE2jmJi"" (1930) | #3 ""ゆいき @ 1N8WVbaold"" (1878) | #4 ""ノガード @ dlzwhIfu_I"" (3235) | #5 ""Sabosuke @ uPvjXdnEpB"" (2845) | #6 ""Hibari @ WoUs1vEbz8"" (3187) | #8 ""waho @ NfjopgdY_L"" (2421) | #9 ""らねおか @ XaClitYV1x"" (3051) | #10 ""konasho @ 6A8RjkqsNg"" (2268)",2025-06-16T14:02:43.548Z,175008256354801
"-- starting hand #187 (id: dvmsf6wwwabb)  (No Limit Texas Hold'em) (dealer: ""ノガード @ dlzwhIfu_I"") --",2025-06-16T14:02:43.548Z,175008256354800
"-- ending hand #186 --",2025-06-16T14:02:40.607Z,175008256060702
