player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"RyeBarat麦",LdZ5WDRqVB,2025-06-16T12:55:37.780Z,2025-06-16T13:37:11.918Z,2000,0,0,-2000
"粗茶",GtqOGZOqIV,2025-06-16T12:39:02.922Z,,2000,,1668,-332
"sigma",yHZrsG6l5j,2025-06-16T12:36:28.220Z,,2000,,2745,745
"RyeBarat麦",LdZ5WDRqVB,2025-06-16T12:29:56.605Z,2025-06-16T12:53:56.979Z,2000,0,0,-2000
"パンドラ",YWl-be_cZ6,2025-06-16T12:21:47.507Z,,2500,,4891,2391
"らねおか",XaClitYV1x,2025-06-16T11:48:05.427Z,,2500,,2485,-15
"ぼくだよ",pf18oAM5IZ,2025-06-16T11:45:43.826Z,2025-06-16T12:03:35.072Z,2500,2450,0,-50
"Hibari",WoUs1vEbz8,2025-06-16T11:33:25.982Z,,3000,1504,2615,1119
"Agu",nDIiiLXazP,2025-06-16T11:31:58.499Z,,2500,,4758,2258
"hibiki_72o",JY_jKUgodq,2025-06-16T11:29:10.976Z,2025-06-16T12:21:47.503Z,3000,2936,0,-64
"とーち",573aP-RRLR,2025-06-16T11:29:10.979Z,2025-06-16T12:23:10.103Z,2500,2520,0,20
"摩天楼",Ar7lcNw1kY,2025-06-16T11:29:10.973Z,,2000,,1851,-149
"Hiiro",Nb7FKJQWoe,2025-06-16T11:29:10.968Z,,3700,,3000,-700
"arash!",OHWoWLqWap,2025-06-16T11:29:10.971Z,2025-06-16T12:40:57.588Z,3660,2437,0,-1223
