entry,at,order
"The admin ""sigma @ yHZrsG6l5j"" enqueued the game stop on next hand.",2025-06-16T14:07:53.885Z,175008287388500
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2025-06-16T14:07:41.660Z,175008286166010
"Dead Small Blind",2025-06-16T14:07:41.660Z,175008286166009
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3000) | #6 ""粗茶 @ GtqOGZOqIV"" (1668) | #7 ""Agu @ nDIiiLXazP"" (4758) | #8 ""パンドラ @ YWl-be_cZ6"" (4891) | #9 ""sigma @ yHZrsG6l5j"" (2745) | #10 ""Hibari @ WoUs1vEbz8"" (2615)",2025-06-16T14:07:41.660Z,175008286166002
"-- starting hand #189 (id: eushydsyi0eo)  (No Limit Texas Hold'em) (dealer: ""Hiiro @ Nb7FKJQWoe"") --",2025-06-16T14:07:41.660Z,175008286166001
"The player ""摩天楼 @ Ar7lcNw1kY"" stand up with the stack of 1851.",2025-06-16T14:07:41.660Z,175008286166000
"-- ending hand #188 --",2025-06-16T14:07:38.750Z,175008285875002
"""Hiiro @ Nb7FKJQWoe"" collected 40 from pot",2025-06-16T14:07:38.750Z,175008285875001
"Uncalled bet of 40 returned to ""Hiiro @ Nb7FKJQWoe""",2025-06-16T14:07:38.750Z,175008285875000
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:07:37.905Z,175008285790500
"""Hiiro @ Nb7FKJQWoe"" raises to 60",2025-06-16T14:07:36.858Z,175008285685800
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:07:33.269Z,175008285326900
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:07:29.991Z,175008284999100
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:07:28.947Z,175008284894700
"""Agu @ nDIiiLXazP"" folds",2025-06-16T14:07:27.892Z,175008284789200
"""粗茶 @ GtqOGZOqIV"" folds",2025-06-16T14:07:26.870Z,175008284687000
"""摩天楼 @ Ar7lcNw1kY"" posts a big blind of 20",2025-06-16T14:07:23.054Z,175008284305410
"""Hiiro @ Nb7FKJQWoe"" posts a small blind of 10",2025-06-16T14:07:23.054Z,175008284305409
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (2980) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1668) | #7 ""Agu @ nDIiiLXazP"" (4758) | #8 ""パンドラ @ YWl-be_cZ6"" (4891) | #9 ""sigma @ yHZrsG6l5j"" (2745) | #10 ""Hibari @ WoUs1vEbz8"" (2615)",2025-06-16T14:07:23.054Z,175008284305401
"-- starting hand #188 (id: sphageqtbve2)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-06-16T14:07:23.054Z,175008284305400
"-- ending hand #187 --",2025-06-16T14:07:17.045Z,175008283704503
"""Agu @ nDIiiLXazP"" collected 400 from pot with Pair, 4's (combination: 4♣, 4♥, A♦, 10♠, 9♣)",2025-06-16T14:07:17.045Z,175008283704502
"""Agu @ nDIiiLXazP"" shows a A♦, 10♠.",2025-06-16T14:07:17.045Z,175008283704501
"""Hiiro @ Nb7FKJQWoe"" shows a K♥, 2♥.",2025-06-16T14:07:17.045Z,175008283704500
"""Agu @ nDIiiLXazP"" calls 100",2025-06-16T14:07:16.190Z,175008283619000
"""Hiiro @ Nb7FKJQWoe"" bets 100",2025-06-16T14:07:13.340Z,175008283334000
"River: 8♥, 4♣, 9♣, 4♥ [3♦]",2025-06-16T14:06:40.798Z,175008280079800
"""Agu @ nDIiiLXazP"" calls 50",2025-06-16T14:06:39.935Z,175008279993500
"""Hiiro @ Nb7FKJQWoe"" bets 50",2025-06-16T14:06:35.854Z,175008279585400
"Turn: 8♥, 4♣, 9♣ [4♥]",2025-06-16T14:06:23.592Z,175008278359200
"""Agu @ nDIiiLXazP"" checks",2025-06-16T14:06:22.781Z,175008278278100
"""Hiiro @ Nb7FKJQWoe"" checks",2025-06-16T14:06:21.592Z,175008278159200
"Flop:  [8♥, 4♣, 9♣]",2025-06-16T14:06:15.378Z,175008277537800
"""Hiiro @ Nb7FKJQWoe"" calls 45",2025-06-16T14:06:14.516Z,175008277451600
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:06:04.116Z,175008276411600
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:05:49.056Z,175008274905600
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:05:47.995Z,175008274799500
"""Agu @ nDIiiLXazP"" raises to 45",2025-06-16T14:05:34.867Z,175008273486700
"""粗茶 @ GtqOGZOqIV"" folds",2025-06-16T14:05:32.456Z,175008273245600
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:05:31.429Z,175008273142900
"""Hiiro @ Nb7FKJQWoe"" posts a big blind of 20",2025-06-16T14:05:29.845Z,175008272984510
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-06-16T14:05:29.845Z,175008272984509
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3175) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1668) | #7 ""Agu @ nDIiiLXazP"" (4553) | #8 ""パンドラ @ YWl-be_cZ6"" (4891) | #9 ""sigma @ yHZrsG6l5j"" (2745) | #10 ""Hibari @ WoUs1vEbz8"" (2625)",2025-06-16T14:05:29.845Z,175008272984501
"-- starting hand #187 (id: ur4f2zklbzl1)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-06-16T14:05:29.845Z,175008272984500
"-- ending hand #186 --",2025-06-16T14:05:26.842Z,175008272684202
"""粗茶 @ GtqOGZOqIV"" collected 90 from pot",2025-06-16T14:05:26.842Z,175008272684201
"Uncalled bet of 55 returned to ""粗茶 @ GtqOGZOqIV""",2025-06-16T14:05:26.842Z,175008272684200
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:05:25.940Z,175008272594000
"""粗茶 @ GtqOGZOqIV"" bets 55",2025-06-16T14:05:19.409Z,175008271940900
"""Hibari @ WoUs1vEbz8"" checks",2025-06-16T14:05:08.778Z,175008270877800
"River: 9♣, A♠, 7♣, 3♦ [J♦]",2025-06-16T14:04:47.743Z,175008268774300
"""粗茶 @ GtqOGZOqIV"" checks",2025-06-16T14:04:46.913Z,175008268691300
"""Hibari @ WoUs1vEbz8"" checks",2025-06-16T14:04:33.079Z,175008267307900
"Turn: 9♣, A♠, 7♣ [3♦]",2025-06-16T14:04:01.408Z,175008264140800
"""粗茶 @ GtqOGZOqIV"" checks",2025-06-16T14:04:00.600Z,175008264060000
"""Hibari @ WoUs1vEbz8"" checks",2025-06-16T14:03:48.158Z,175008262815800
"Flop:  [9♣, A♠, 7♣]",2025-06-16T14:03:41.902Z,175008262190200
"""Hibari @ WoUs1vEbz8"" calls 40",2025-06-16T14:03:41.090Z,175008262109000
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:03:35.567Z,175008261556700
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:03:31.614Z,175008261161400
"""Agu @ nDIiiLXazP"" folds",2025-06-16T14:03:30.547Z,175008261054700
"""粗茶 @ GtqOGZOqIV"" raises to 40",2025-06-16T14:03:23.350Z,175008260335000
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:03:21.078Z,175008260107800
"""Hiiro @ Nb7FKJQWoe"" folds",2025-06-16T14:03:20.018Z,175008260001800
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-06-16T14:03:15.358Z,175008259535810
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-06-16T14:03:15.358Z,175008259535809
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3175) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1618) | #7 ""Agu @ nDIiiLXazP"" (4553) | #8 ""パンドラ @ YWl-be_cZ6"" (4891) | #9 ""sigma @ yHZrsG6l5j"" (2755) | #10 ""Hibari @ WoUs1vEbz8"" (2665)",2025-06-16T14:03:15.358Z,175008259535801
"-- starting hand #186 (id: nuxztvqvkqtq)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ YWl-be_cZ6"") --",2025-06-16T14:03:15.358Z,175008259535800
"-- ending hand #185 --",2025-06-16T14:03:12.444Z,175008259244402
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-06-16T14:03:12.444Z,175008259244401
"Uncalled bet of 20 returned to ""Hibari @ WoUs1vEbz8""",2025-06-16T14:03:12.444Z,175008259244400
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:03:11.578Z,175008259157800
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:03:08.825Z,175008258882500
"""Agu @ nDIiiLXazP"" folds",2025-06-16T14:03:07.760Z,175008258776000
"""粗茶 @ GtqOGZOqIV"" folds",2025-06-16T14:03:06.736Z,175008258673600
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:03:05.719Z,175008258571900
"""Hiiro @ Nb7FKJQWoe"" folds",2025-06-16T14:03:04.641Z,175008258464100
"""Hibari @ WoUs1vEbz8"" raises to 40",2025-06-16T14:03:02.932Z,175008258293200
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-06-16T14:02:55.958Z,175008257595810
"""パンドラ @ YWl-be_cZ6"" posts a small blind of 10",2025-06-16T14:02:55.958Z,175008257595809
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3175) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1618) | #7 ""Agu @ nDIiiLXazP"" (4553) | #8 ""パンドラ @ YWl-be_cZ6"" (4901) | #9 ""sigma @ yHZrsG6l5j"" (2775) | #10 ""Hibari @ WoUs1vEbz8"" (2635)",2025-06-16T14:02:55.958Z,175008257595801
"-- starting hand #185 (id: y8g17errgcy7)  (No Limit Texas Hold'em) (dealer: ""Agu @ nDIiiLXazP"") --",2025-06-16T14:02:55.958Z,175008257595800
"-- ending hand #184 --",2025-06-16T14:02:53.014Z,175008257301402
"""粗茶 @ GtqOGZOqIV"" collected 130 from pot",2025-06-16T14:02:53.014Z,175008257301401
"Uncalled bet of 110 returned to ""粗茶 @ GtqOGZOqIV""",2025-06-16T14:02:53.014Z,175008257301400
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:02:52.159Z,175008257215900
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:02:40.446Z,175008256044600
"""Agu @ nDIiiLXazP"" folds",2025-06-16T14:02:38.219Z,175008255821900
"""粗茶 @ GtqOGZOqIV"" raises to 160",2025-06-16T14:02:37.176Z,175008255717600
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:02:32.070Z,175008255207000
"""Hiiro @ Nb7FKJQWoe"" folds",2025-06-16T14:02:30.988Z,175008255098800
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:02:29.971Z,175008254997100
"""sigma @ yHZrsG6l5j"" raises to 50",2025-06-16T14:02:22.249Z,175008254224900
"""パンドラ @ YWl-be_cZ6"" posts a big blind of 20",2025-06-16T14:02:19.480Z,175008253948010
"""Agu @ nDIiiLXazP"" posts a small blind of 10",2025-06-16T14:02:19.480Z,175008253948009
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3175) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1538) | #7 ""Agu @ nDIiiLXazP"" (4563) | #8 ""パンドラ @ YWl-be_cZ6"" (4921) | #9 ""sigma @ yHZrsG6l5j"" (2825) | #10 ""Hibari @ WoUs1vEbz8"" (2635)",2025-06-16T14:02:19.480Z,175008253948001
"-- starting hand #184 (id: 1uvuiupitsl7)  (No Limit Texas Hold'em) (dealer: ""粗茶 @ GtqOGZOqIV"") --",2025-06-16T14:02:19.480Z,175008253948000
"-- ending hand #183 --",2025-06-16T14:02:13.474Z,175008253347402
"""Agu @ nDIiiLXazP"" collected 110 from pot with Two Pair, 9's & 8's (combination: 9♥, 9♦, 8♥, 8♠, Q♠)",2025-06-16T14:02:13.474Z,175008253347401
"""Agu @ nDIiiLXazP"" shows a 8♥, 6♥.",2025-06-16T14:02:13.474Z,175008253347400
"""Hiiro @ Nb7FKJQWoe"" checks",2025-06-16T14:02:12.658Z,175008253265800
"""Agu @ nDIiiLXazP"" checks",2025-06-16T14:02:05.535Z,175008252553500
"River: 10♦, 8♠, 9♥, 9♦ [Q♠]",2025-06-16T14:02:02.823Z,175008252282300
"""Hiiro @ Nb7FKJQWoe"" checks",2025-06-16T14:02:01.995Z,175008252199500
"""Agu @ nDIiiLXazP"" checks",2025-06-16T14:01:52.595Z,175008251259500
"Turn: 10♦, 8♠, 9♥ [9♦]",2025-06-16T14:01:50.318Z,175008251031800
"""Hiiro @ Nb7FKJQWoe"" checks",2025-06-16T14:01:49.468Z,175008250946800
"""Agu @ nDIiiLXazP"" checks",2025-06-16T14:01:44.494Z,175008250449400
"Flop:  [10♦, 8♠, 9♥]",2025-06-16T14:01:35.313Z,175008249531300
"""Agu @ nDIiiLXazP"" calls 50",2025-06-16T14:01:34.483Z,175008249448300
"""粗茶 @ GtqOGZOqIV"" folds",2025-06-16T14:01:30.048Z,175008249004800
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:01:28.955Z,175008248895500
"""Hiiro @ Nb7FKJQWoe"" raises to 50",2025-06-16T14:01:27.764Z,175008248776400
"""Hibari @ WoUs1vEbz8"" folds",2025-06-16T14:01:20.436Z,175008248043600
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:01:19.387Z,175008247938700
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T14:01:17.786Z,175008247778600
"""Agu @ nDIiiLXazP"" posts a big blind of 20",2025-06-16T14:01:16.619Z,175008247661910
"""粗茶 @ GtqOGZOqIV"" posts a small blind of 10",2025-06-16T14:01:16.619Z,175008247661909
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3225) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1871) | #6 ""粗茶 @ GtqOGZOqIV"" (1548) | #7 ""Agu @ nDIiiLXazP"" (4503) | #8 ""パンドラ @ YWl-be_cZ6"" (4921) | #9 ""sigma @ yHZrsG6l5j"" (2825) | #10 ""Hibari @ WoUs1vEbz8"" (2635)",2025-06-16T14:01:16.619Z,175008247661901
"-- starting hand #183 (id: qbaaocoxbzhx)  (No Limit Texas Hold'em) (dealer: ""摩天楼 @ Ar7lcNw1kY"") --",2025-06-16T14:01:16.619Z,175008247661900
"-- ending hand #182 --",2025-06-16T14:01:13.706Z,175008247370602
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-06-16T14:01:13.706Z,175008247370601
"Uncalled bet of 25 returned to ""Hibari @ WoUs1vEbz8""",2025-06-16T14:01:13.706Z,175008247370600
"""粗茶 @ GtqOGZOqIV"" folds",2025-06-16T14:01:12.872Z,175008247287200
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-16T14:01:11.750Z,175008247175000
"""Hiiro @ Nb7FKJQWoe"" folds",2025-06-16T14:01:10.191Z,175008247019100
"""Hibari @ WoUs1vEbz8"" raises to 45",2025-06-16T14:01:09.178Z,175008246917800
"""sigma @ yHZrsG6l5j"" folds",2025-06-16T14:00:18.368Z,175008241836800
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-16T13:59:57.595Z,175008239759500
"""Agu @ nDIiiLXazP"" folds",2025-06-16T13:59:56.529Z,175008239652900
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2025-06-16T13:59:54.827Z,175008239482710
"""摩天楼 @ Ar7lcNw1kY"" posts a small blind of 10",2025-06-16T13:59:54.827Z,175008239482709
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3225) | #4 ""摩天楼 @ Ar7lcNw1kY"" (1881) | #6 ""粗茶 @ GtqOGZOqIV"" (1568) | #7 ""Agu @ nDIiiLXazP"" (4503) | #8 ""パンドラ @ YWl-be_cZ6"" (4921) | #9 ""sigma @ yHZrsG6l5j"" (2825) | #10 ""Hibari @ WoUs1vEbz8"" (2605)",2025-06-16T13:59:54.827Z,175008239482701
"-- starting hand #182 (id: zqewzc11wplu)  (No Limit Texas Hold'em) (dealer: ""Hiiro @ Nb7FKJQWoe"") --",2025-06-16T13:59:54.827Z,175008239482700
"-- ending hand #181 --",2025-06-16T13:59:48.824Z,175008238882403
"""パンドラ @ YWl-be_cZ6"" collected 1300 from pot with Pair, Q's (combination: Q♥, Q♦, K♥, 7♦, 6♣)",2025-06-16T13:59:48.824Z,175008238882402
"""パンドラ @ YWl-be_cZ6"" shows a Q♥, Q♦.",2025-06-16T13:59:48.824Z,175008238882401
"""Agu @ nDIiiLXazP"" shows a 8♥, 9♥.",2025-06-16T13:59:48.824Z,175008238882400
