entry,at,order
"The player ""とーち @ 573aP-RRLR"" quits the game with a stack of 2300.",2025-06-16T14:07:10.912Z,175008283091200
"The player ""るも @ 7n59-giX1P"" quits the game with a stack of 2770.",2025-06-16T14:07:06.440Z,175008282644001
"The player ""ぼくだよ @ cLX91bDIBI"" quits the game with a stack of 2960.",2025-06-16T14:07:06.440Z,175008282644000
"-- ending hand #133 --",2025-06-16T14:07:03.485Z,175008282348502
"""Shingo @ THqB8MWLad"" collected 110 from pot",2025-06-16T14:07:03.485Z,175008282348501
"Uncalled bet of 75 returned to ""Shingo @ THqB8MWLad""",2025-06-16T14:07:03.485Z,175008282348500
"""とーち @ 573aP-RRLR"" folds",2025-06-16T14:07:02.663Z,175008282266300
"""Shingo @ THqB8MWLad"" bets 75",2025-06-16T14:06:53.114Z,175008281311400
"The admin ""らねおか @ XaClitYV1x"" enqueued the game stop on next hand.",2025-06-16T14:06:39.190Z,175008279919000
"""とーち @ 573aP-RRLR"" checks",2025-06-16T14:06:38.811Z,175008279881100
"Flop:  [K♥, 2♠, 10♥]",2025-06-16T14:06:30.451Z,175008279045100
"""とーち @ 573aP-RRLR"" calls 50",2025-06-16T14:06:29.649Z,175008278964900
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-16T14:06:23.977Z,175008278397700
"""るも @ 7n59-giX1P"" folds",2025-06-16T14:06:22.856Z,175008278285600
"""Shingo @ THqB8MWLad"" raises to 50",2025-06-16T14:06:21.779Z,175008278177900
"""らねおか @ XaClitYV1x"" folds",2025-06-16T14:06:16.897Z,175008277689700
"""とーち @ 573aP-RRLR"" posts a big blind of 20",2025-06-16T14:06:15.778Z,175008277577808
"""ぼくだよ @ cLX91bDIBI"" posts a small blind of 10",2025-06-16T14:06:15.778Z,175008277577807
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2375) | #2 ""Shingo @ THqB8MWLad"" (2776) | #3 ""るも @ 7n59-giX1P"" (2770) | #6 ""ぼくだよ @ cLX91bDIBI"" (2970) | #7 ""とーち @ 573aP-RRLR"" (2350)",2025-06-16T14:06:15.778Z,175008277577801
"-- starting hand #133 (id: v0rcx8cfnzlm)  (No Limit Texas Hold'em) (dealer: ""るも @ 7n59-giX1P"") --",2025-06-16T14:06:15.778Z,175008277577800
"-- ending hand #132 --",2025-06-16T14:06:12.844Z,175008277284402
"""るも @ 7n59-giX1P"" collected 40 from pot",2025-06-16T14:06:12.844Z,175008277284401
"Uncalled bet of 60 returned to ""るも @ 7n59-giX1P""",2025-06-16T14:06:12.844Z,175008277284400
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-16T14:06:12.030Z,175008277203000
"""るも @ 7n59-giX1P"" raises to 80",2025-06-16T14:06:10.940Z,175008277094000
"""Shingo @ THqB8MWLad"" folds",2025-06-16T14:06:03.789Z,175008276378900
"""らねおか @ XaClitYV1x"" folds",2025-06-16T14:06:02.731Z,175008276273100
"""とーち @ 573aP-RRLR"" folds",2025-06-16T14:06:00.225Z,175008276022500
"""ぼくだよ @ cLX91bDIBI"" posts a big blind of 20",2025-06-16T14:05:57.524Z,175008275752408
"""るも @ 7n59-giX1P"" posts a small blind of 10",2025-06-16T14:05:57.524Z,175008275752407
