player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"niida",vacC8okcYQ,2025-06-23T13:53:26.632Z,,2000,,1970,-30
"Shingo",THqB8MWLad,2025-06-23T12:54:12.697Z,2025-06-23T14:05:02.217Z,2500,1845,0,-655
"Ene",7kPHYByVxS,2025-06-23T12:37:28.446Z,2025-06-23T14:04:49.088Z,3585,2066,0,-1519
"パンドラ",YWl-be_cZ6,2025-06-23T12:20:07.196Z,,2500,,3066,566
"sigma",yHZrsG6l5j,2025-06-23T12:07:31.815Z,2025-06-23T12:16:51.991Z,2000,2160,0,160
"waho",NfjopgdY_L,2025-06-23T11:52:22.126Z,,5606,,2333,-3273
"Hibari",WoUs1vEbz8,2025-06-23T11:42:50.823Z,2025-06-23T12:57:30.927Z,2500,2336,0,-164
"るも",7n59-giX1P,2025-06-23T11:21:19.558Z,2025-06-23T11:26:24.228Z,2000,1970,0,-30
"かりんとう",_lF2fGHNKs,2025-06-23T11:15:21.753Z,2025-06-23T12:16:51.987Z,2000,2155,0,155
"ぼくだよ",cLX91bDIBI,2025-06-23T11:05:08.979Z,,2500,,2957,457
"夏狼",MmKxE2jmJi,2025-06-23T11:03:36.589Z,,4473,3325,2593,1445
"konasho",6A8RjkqsNg,2025-06-23T11:02:38.256Z,,3145,,2883,-262
"摩天楼",Ar7lcNw1kY,2025-06-23T11:02:38.263Z,2025-06-23T12:15:05.543Z,2000,2371,0,371
"とーち",OCY4-ehNwS,2025-06-23T11:02:38.265Z,2025-06-23T11:28:06.358Z,2500,3664,0,1164
"ノガード",dlzwhIfu_I,2025-06-23T11:02:38.258Z,2025-06-23T11:26:24.226Z,2500,2867,0,367
"arash!",3XxnU4oJw0,2025-06-23T11:02:38.260Z,,2500,,3748,1248
