player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ラプラス",koNAhDji4V,2025-06-23T14:00:04.168Z,,2000,,1980,-20
"sy",43AKXLrQ21,2025-06-23T13:49:45.381Z,,2500,,4722,2222
"ひよこ",Azd0RN65Iq,2025-06-23T13:49:45.379Z,2025-06-23T14:03:15.207Z,2500,2540,0,40
"GIL RAIM",Oo-rx1G24B,2025-06-23T13:22:54.538Z,2025-06-23T13:43:37.427Z,2670,0,0,-2670
"Sabosuke",uPvjXdnEpB,2025-06-23T12:50:45.178Z,,2500,,2869,369
"ひよこ",Azd0RN65Iq,2025-06-23T12:31:46.676Z,2025-06-23T13:48:11.107Z,2500,0,0,-2500
"hibiki_72o",JY_jKUgodq,2025-06-23T12:29:33.324Z,2025-06-23T13:19:50.790Z,3000,5116,0,2116
"gatari",z02XIYy5_A,2025-06-23T12:07:01.372Z,,2849,,4390,1541
"らねおか",XaClitYV1x,2025-06-23T11:58:24.074Z,2025-06-23T12:14:47.859Z,2500,2420,0,-80
"Hibari",WoUs1vEbz8,2025-06-23T11:45:38.929Z,2025-06-23T12:20:35.068Z,2500,2400,0,-100
"ラプラス",koNAhDji4V,2025-06-23T11:38:16.374Z,2025-06-23T13:56:55.377Z,2330,0,0,-2330
"hayahaya",cZlE6c84hA,2025-06-23T11:33:19.522Z,2025-06-23T12:14:47.853Z,2000,2060,0,60
"とーち",OCY4-ehNwS,2025-06-23T11:29:44.598Z,2025-06-23T12:14:47.848Z,2500,2075,0,-425
"arash!",3XxnU4oJw0,2025-06-23T11:26:06.071Z,,2500,,3535,1035
"るも",7n59-giX1P,2025-06-23T11:26:06.067Z,,2655,,2125,-530
"shiozuka1121",Zp6HGuC8yK,2025-06-23T11:26:06.069Z,2025-06-23T14:04:10.489Z,2500,2399,0,-101
"ノガード",dlzwhIfu_I,2025-06-23T11:26:06.064Z,,3237,2070,2540,1373
