entry,at,order
"The player ""shiozuka1121 @ Zp6HGuC8yK"" quits the game with a stack of 2399.",2025-06-23T14:04:10.485Z,175068745048500
"The player ""ひよこ @ Azd0RN65Iq"" quits the game with a stack of 2540.",2025-06-23T14:03:15.201Z,175068739520100
"""ノガード @ dlzwhIfu_I"" shows a A♥, Q♥.",2025-06-23T14:02:51.981Z,175068737198100
"""るも @ 7n59-giX1P"" shows a K♥, Q♦.",2025-06-23T14:02:50.921Z,175068737092100
"-- ending hand #150 --",2025-06-23T14:02:49.723Z,175068736972302
"""ノガード @ dlzwhIfu_I"" collected 100 from pot",2025-06-23T14:02:49.723Z,175068736972301
"Uncalled bet of 120 returned to ""ノガード @ dlzwhIfu_I""",2025-06-23T14:02:49.723Z,175068736972300
"""るも @ 7n59-giX1P"" folds",2025-06-23T14:02:48.895Z,175068736889500
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-06-23T14:02:44.450Z,175068736445000
"""ラプラス @ koNAhDji4V"" folds",2025-06-23T14:02:42.439Z,175068736243900
"""ノガード @ dlzwhIfu_I"" raises to 160",2025-06-23T14:02:41.414Z,175068736141400
"""Sabosuke @ uPvjXdnEpB"" folds",2025-06-23T14:02:31.604Z,175068735160400
"""sy @ 43AKXLrQ21"" folds",2025-06-23T14:02:30.648Z,175068735064800
"""ひよこ @ Azd0RN65Iq"" folds",2025-06-23T14:02:20.702Z,175068734070200
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-06-23T14:02:19.613Z,175068733961300
"""るも @ 7n59-giX1P"" raises to 40",2025-06-23T14:02:16.040Z,175068733604000
"""gatari @ z02XIYy5_A"" folds",2025-06-23T14:02:11.428Z,175068733142800
"""ラプラス @ koNAhDji4V"" posts a big blind of 20",2025-06-23T14:02:09.828Z,175068732982811
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-06-23T14:02:09.828Z,175068732982810
"Player stacks: #1 ""Sabosuke @ uPvjXdnEpB"" (2869) | #2 ""ノガード @ dlzwhIfu_I"" (2480) | #3 ""ラプラス @ koNAhDji4V"" (2000) | #4 ""gatari @ z02XIYy5_A"" (4390) | #5 ""るも @ 7n59-giX1P"" (2165) | #6 ""shiozuka1121 @ Zp6HGuC8yK"" (2399) | #9 ""ひよこ @ Azd0RN65Iq"" (2540) | #10 ""sy @ 43AKXLrQ21"" (4722)",2025-06-23T14:02:09.828Z,175068732982801
"-- starting hand #150 (id: vxafrkms9vp5)  (No Limit Texas Hold'em) (dealer: ""Sabosuke @ uPvjXdnEpB"") --",2025-06-23T14:02:09.828Z,175068732982800
"-- ending hand #149 --",2025-06-23T14:02:06.921Z,175068732692102
"""Sabosuke @ uPvjXdnEpB"" collected 140 from pot",2025-06-23T14:02:06.921Z,175068732692101
"Uncalled bet of 180 returned to ""Sabosuke @ uPvjXdnEpB""",2025-06-23T14:02:06.921Z,175068732692100
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-06-23T14:02:06.084Z,175068732608400
"""ノガード @ dlzwhIfu_I"" folds",2025-06-23T14:01:51.661Z,175068731166100
"""Sabosuke @ uPvjXdnEpB"" raises to 240",2025-06-23T14:01:50.616Z,175068731061600
"""sy @ 43AKXLrQ21"" folds",2025-06-23T14:01:42.877Z,175068730287700
"""ひよこ @ Azd0RN65Iq"" folds",2025-06-23T14:01:41.789Z,175068730178900
"""shiozuka1121 @ Zp6HGuC8yK"" raises to 60",2025-06-23T14:01:40.714Z,175068730071400
"""るも @ 7n59-giX1P"" folds",2025-06-23T14:01:34.673Z,175068729467300
"""gatari @ z02XIYy5_A"" folds",2025-06-23T14:01:07.002Z,175068726700200
"""ラプラス @ koNAhDji4V"" folds",2025-06-23T14:01:05.770Z,175068726577000
"""ノガード @ dlzwhIfu_I"" posts a big blind of 20",2025-06-23T14:01:04.486Z,175068726448611
"""Sabosuke @ uPvjXdnEpB"" posts a small blind of 10",2025-06-23T14:01:04.486Z,175068726448610
"Player stacks: #1 ""Sabosuke @ uPvjXdnEpB"" (2789) | #2 ""ノガード @ dlzwhIfu_I"" (2500) | #3 ""ラプラス @ koNAhDji4V"" (2000) | #4 ""gatari @ z02XIYy5_A"" (4390) | #5 ""るも @ 7n59-giX1P"" (2165) | #6 ""shiozuka1121 @ Zp6HGuC8yK"" (2459) | #9 ""ひよこ @ Azd0RN65Iq"" (2540) | #10 ""sy @ 43AKXLrQ21"" (4722)",2025-06-23T14:01:04.486Z,175068726448601
"-- starting hand #149 (id: 7fpunetrui0d)  (No Limit Texas Hold'em) (dealer: ""sy @ 43AKXLrQ21"") --",2025-06-23T14:01:04.486Z,175068726448600
"-- ending hand #148 --",2025-06-23T14:01:01.583Z,175068726158302
"""Sabosuke @ uPvjXdnEpB"" collected 20 from pot",2025-06-23T14:01:01.583Z,175068726158301
"Uncalled bet of 10 returned to ""Sabosuke @ uPvjXdnEpB""",2025-06-23T14:01:01.583Z,175068726158300
"""sy @ 43AKXLrQ21"" folds",2025-06-23T14:01:00.696Z,175068726069600
"""ひよこ @ Azd0RN65Iq"" folds",2025-06-23T14:00:59.579Z,175068725957900
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-06-23T14:00:58.470Z,175068725847000
"""るも @ 7n59-giX1P"" folds",2025-06-23T14:00:57.450Z,175068725745000
"""gatari @ z02XIYy5_A"" folds",2025-06-23T14:00:56.326Z,175068725632600
"""ラプラス @ koNAhDji4V"" folds",2025-06-23T14:00:49.495Z,175068724949500
"""ノガード @ dlzwhIfu_I"" folds",2025-06-23T14:00:48.478Z,175068724847800
"""Sabosuke @ uPvjXdnEpB"" posts a big blind of 20",2025-06-23T14:00:45.818Z,175068724581811
"""sy @ 43AKXLrQ21"" posts a small blind of 10",2025-06-23T14:00:45.818Z,175068724581810
