entry,at,order
"The admin ""sigma @ yHZrsG6l5j"" enqueued the game stop on next hand.",2025-06-23T14:04:17.930Z,175068745793000
"""とーち @ OCY4-ehNwS"" folds",2025-06-23T14:04:17.187Z,175068745718700
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-06-23T14:04:13.536Z,175068745353610
"""Tatsu @ 6bgsUOKu84"" posts a small blind of 10",2025-06-23T14:04:13.536Z,175068745353609
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2054) | #2 ""とーち @ OCY4-ehNwS"" (3431) | #6 ""らねおか @ XaClitYV1x"" (2576) | #7 ""Tatsu @ 6bgsUOKu84"" (795)",2025-06-23T14:04:13.536Z,175068745353604
"-- starting hand #93 (id: 7gb3qxkarksy)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-23T14:04:13.536Z,175068745353603
"The player ""摩天楼 @ Ar7lcNw1kY"" quits the game with a stack of 2078.",2025-06-23T14:04:13.536Z,175068745353602
"The player ""Hibari @ WoUs1vEbz8"" quits the game with a stack of 3400.",2025-06-23T14:04:13.536Z,175068745353601
"The player ""摩天楼 @ Ar7lcNw1kY"" stand up with the stack of 2078.",2025-06-23T14:04:13.536Z,175068745353600
"-- ending hand #92 --",2025-06-23T14:04:07.532Z,175068744753203
"""とーち @ OCY4-ehNwS"" collected 90 from pot with Pair, 5's (combination: 5♠, 5♦, A♣, J♥, 7♦)",2025-06-23T14:04:07.532Z,175068744753202
"""とーち @ OCY4-ehNwS"" shows a A♣, J♥.",2025-06-23T14:04:07.532Z,175068744753201
"""Tatsu @ 6bgsUOKu84"" shows a A♠, 9♥.",2025-06-23T14:04:07.532Z,175068744753200
"""とーち @ OCY4-ehNwS"" checks",2025-06-23T14:04:06.703Z,175068744670300
"""Tatsu @ 6bgsUOKu84"" checks",2025-06-23T14:04:03.926Z,175068744392600
"River: 5♠, 6♥, 7♦, 4♥ [5♦]",2025-06-23T14:04:02.079Z,175068744207900
"""とーち @ OCY4-ehNwS"" checks",2025-06-23T14:04:01.237Z,175068744123700
"""Tatsu @ 6bgsUOKu84"" checks",2025-06-23T14:03:54.253Z,175068743425300
"Turn: 5♠, 6♥, 7♦ [4♥]",2025-06-23T14:03:50.736Z,175068743073600
"""とーち @ OCY4-ehNwS"" checks",2025-06-23T14:03:49.905Z,175068742990500
"""Tatsu @ 6bgsUOKu84"" checks",2025-06-23T14:03:47.349Z,175068742734900
"Flop:  [5♠, 6♥, 7♦]",2025-06-23T14:03:44.887Z,175068742488700
"""Tatsu @ 6bgsUOKu84"" calls 40",2025-06-23T14:03:44.047Z,175068742404700
"""らねおか @ XaClitYV1x"" folds",2025-06-23T14:03:42.030Z,175068742203000
"""Hibari @ WoUs1vEbz8"" folds",2025-06-23T14:03:37.132Z,175068741713200
"""とーち @ OCY4-ehNwS"" raises to 40",2025-06-23T14:03:36.107Z,175068741610700
"""sigma @ yHZrsG6l5j"" folds",2025-06-23T14:03:33.272Z,175068741327200
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-23T14:03:30.373Z,175068741037300
"""Tatsu @ 6bgsUOKu84"" posts a big blind of 20",2025-06-23T14:03:28.780Z,175068740878009
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-06-23T14:03:28.780Z,175068740878008
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2054) | #2 ""とーち @ OCY4-ehNwS"" (3381) | #3 ""Hibari @ WoUs1vEbz8"" (3400) | #6 ""らねおか @ XaClitYV1x"" (2586) | #7 ""Tatsu @ 6bgsUOKu84"" (835) | #10 ""摩天楼 @ Ar7lcNw1kY"" (2078)",2025-06-23T14:03:28.780Z,175068740878001
"-- starting hand #92 (id: 4n3lliw0drbv)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-06-23T14:03:28.780Z,175068740878000
"-- ending hand #91 --",2025-06-23T14:03:25.876Z,175068740587602
"""らねおか @ XaClitYV1x"" collected 182 from pot",2025-06-23T14:03:25.876Z,175068740587601
"Uncalled bet of 93 returned to ""らねおか @ XaClitYV1x""",2025-06-23T14:03:25.876Z,175068740587600
"""sigma @ yHZrsG6l5j"" folds",2025-06-23T14:03:24.984Z,175068740498400
"""らねおか @ XaClitYV1x"" raises to 129",2025-06-23T14:03:20.216Z,175068740021600
"""sigma @ yHZrsG6l5j"" bets 36",2025-06-23T14:03:01.288Z,175068738128800
"""らねおか @ XaClitYV1x"" checks",2025-06-23T14:02:49.637Z,175068736963700
"Flop:  [2♠, 7♣, K♣]",2025-06-23T14:02:43.241Z,175068736324100
"""らねおか @ XaClitYV1x"" calls 50",2025-06-23T14:02:42.437Z,175068736243700
"""Hibari @ WoUs1vEbz8"" folds",2025-06-23T14:02:38.223Z,175068735822300
"""とーち @ OCY4-ehNwS"" folds",2025-06-23T14:02:37.160Z,175068735716000
"""sigma @ yHZrsG6l5j"" raises to 50",2025-06-23T14:02:34.768Z,175068735476800
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-23T14:02:30.651Z,175068735065100
"""Tatsu @ 6bgsUOKu84"" folds",2025-06-23T14:02:29.596Z,175068734959600
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-06-23T14:02:26.839Z,175068734683909
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-06-23T14:02:26.839Z,175068734683908
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2140) | #2 ""とーち @ OCY4-ehNwS"" (3381) | #3 ""Hibari @ WoUs1vEbz8"" (3410) | #6 ""らねおか @ XaClitYV1x"" (2490) | #7 ""Tatsu @ 6bgsUOKu84"" (835) | #10 ""摩天楼 @ Ar7lcNw1kY"" (2078)",2025-06-23T14:02:26.839Z,175068734683901
"-- starting hand #91 (id: gkitdhawz2m6)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-06-23T14:02:26.839Z,175068734683900
"-- ending hand #90 --",2025-06-23T14:02:23.931Z,175068734393102
"""とーち @ OCY4-ehNwS"" collected 120 from pot",2025-06-23T14:02:23.931Z,175068734393101
"Uncalled bet of 90 returned to ""とーち @ OCY4-ehNwS""",2025-06-23T14:02:23.931Z,175068734393100
"""Hibari @ WoUs1vEbz8"" folds",2025-06-23T14:02:23.123Z,175068734312300
"""とーち @ OCY4-ehNwS"" bets 90",2025-06-23T14:02:20.384Z,175068734038400
"Flop:  [K♠, J♠, 9♣]",2025-06-23T14:02:00.256Z,175068732025600
"""Hibari @ WoUs1vEbz8"" calls 60",2025-06-23T14:01:59.407Z,175068731940700
"""とーち @ OCY4-ehNwS"" raises to 60",2025-06-23T14:01:55.010Z,175068731501000
"""sigma @ yHZrsG6l5j"" folds",2025-06-23T14:01:45.895Z,175068730589500
"""摩天楼 @ Ar7lcNw1kY"" folds",2025-06-23T14:01:44.868Z,175068730486800
"""Tatsu @ 6bgsUOKu84"" folds",2025-06-23T14:01:43.790Z,175068730379000
"""らねおか @ XaClitYV1x"" folds",2025-06-23T14:01:42.646Z,175068730264600
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-06-23T14:01:38.634Z,175068729863409
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-06-23T14:01:38.634Z,175068729863408
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2140) | #2 ""とーち @ OCY4-ehNwS"" (3321) | #3 ""Hibari @ WoUs1vEbz8"" (3470) | #6 ""らねおか @ XaClitYV1x"" (2490) | #7 ""Tatsu @ 6bgsUOKu84"" (835) | #10 ""摩天楼 @ Ar7lcNw1kY"" (2078)",2025-06-23T14:01:38.634Z,175068729863401
"-- starting hand #90 (id: zwood5vkphsh)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-06-23T14:01:38.634Z,175068729863400
"-- ending hand #89 --",2025-06-23T14:01:35.700Z,175068729570002
