entry,at,order
"The player ""ぼくだよ @ cLX91bDIBI"" quits the game with a stack of 1975.",2025-06-23T14:03:37.197Z,175068741719700
"-- ending hand #50 --",2025-06-23T14:03:24.576Z,175068740457602
"""Hibari @ WoUs1vEbz8"" collected 50 from pot",2025-06-23T14:03:24.576Z,175068740457601
"Uncalled bet of 25 returned to ""Hibari @ WoUs1vEbz8""",2025-06-23T14:03:24.576Z,175068740457600
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-23T14:03:23.765Z,175068740376500
"""arash! @ 3XxnU4oJw0"" folds",2025-06-23T14:03:22.709Z,175068740270900
"""Hibari @ WoUs1vEbz8"" raises to 45",2025-06-23T14:03:21.705Z,175068740170500
"""sigma @ yHZrsG6l5j"" folds",2025-06-23T14:03:17.457Z,175068739745700
"""らねおか @ XaClitYV1x"" folds",2025-06-23T14:03:13.319Z,175068739331900
"The admin ""arash! @ 3XxnU4oJw0"" enqueued the game stop on next hand.",2025-06-23T14:03:12.973Z,175068739297300
"""ぼくだよ @ cLX91bDIBI"" posts a big blind of 20",2025-06-23T14:03:11.663Z,175068739166308
"""arash! @ 3XxnU4oJw0"" posts a small blind of 10",2025-06-23T14:03:11.663Z,175068739166307
"Your hand is 3♣, K♦",2025-06-23T14:03:11.663Z,175068739166303
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (2750) | #4 ""arash! @ 3XxnU4oJw0"" (2760) | #5 ""ぼくだよ @ cLX91bDIBI"" (1995) | #6 ""らねおか @ XaClitYV1x"" (2405) | #9 ""sigma @ yHZrsG6l5j"" (2850)",2025-06-23T14:03:11.663Z,175068739166301
"-- starting hand #50 (id: fiijddtrzhz7)  (No Limit Texas Hold'em) (dealer: ""Hibari @ WoUs1vEbz8"") --",2025-06-23T14:03:11.663Z,175068739166300
"-- ending hand #49 --",2025-06-23T14:03:08.704Z,175068738870402
"""sigma @ yHZrsG6l5j"" collected 50 from pot",2025-06-23T14:03:08.704Z,175068738870401
"Uncalled bet of 30 returned to ""sigma @ yHZrsG6l5j""",2025-06-23T14:03:08.704Z,175068738870400
"""arash! @ 3XxnU4oJw0"" folds",2025-06-23T14:03:07.882Z,175068738788200
"""Hibari @ WoUs1vEbz8"" folds",2025-06-23T14:03:06.840Z,175068738684000
"""sigma @ yHZrsG6l5j"" raises to 50",2025-06-23T14:03:03.860Z,175068738386000
"""らねおか @ XaClitYV1x"" folds",2025-06-23T14:02:40.427Z,175068736042700
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-23T14:02:39.429Z,175068735942900
"""arash! @ 3XxnU4oJw0"" posts a big blind of 20",2025-06-23T14:02:37.738Z,175068735773808
"""Hibari @ WoUs1vEbz8"" posts a small blind of 10",2025-06-23T14:02:37.738Z,175068735773807
"Your hand is 9♠, 5♥",2025-06-23T14:02:37.738Z,175068735773803
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (2760) | #4 ""arash! @ 3XxnU4oJw0"" (2780) | #5 ""ぼくだよ @ cLX91bDIBI"" (1995) | #6 ""らねおか @ XaClitYV1x"" (2405) | #9 ""sigma @ yHZrsG6l5j"" (2820)",2025-06-23T14:02:37.738Z,175068735773801
"-- starting hand #49 (id: lsjjezrdgbh6)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-06-23T14:02:37.738Z,175068735773800
"-- ending hand #48 --",2025-06-23T14:02:34.821Z,175068735482102
"""sigma @ yHZrsG6l5j"" collected 865 from pot",2025-06-23T14:02:34.821Z,175068735482101
"Uncalled bet of 220 returned to ""sigma @ yHZrsG6l5j""",2025-06-23T14:02:34.821Z,175068735482100
"""らねおか @ XaClitYV1x"" folds",2025-06-23T14:02:33.951Z,175068735395100
"""sigma @ yHZrsG6l5j"" bets 220",2025-06-23T14:02:26.320Z,175068734632000
"Flop:  [Q♥, Q♣, A♠]",2025-06-23T14:01:45.239Z,175068730523900
"""らねおか @ XaClitYV1x"" calls 400",2025-06-23T14:01:44.393Z,175068730439300
"IMPORTANT: The player ""Guest @ MgvHs_7U-O"" now is in spectator mode (seeing all hole cards when unseated).",2025-06-23T14:01:39.388Z,175068729938800
"""ぼくだよ @ cLX91bDIBI"" folds",2025-06-23T14:01:37.506Z,175068729750600
"""Hibari @ WoUs1vEbz8"" folds",2025-06-23T14:01:36.386Z,175068729638600
"""sigma @ yHZrsG6l5j"" raises to 400",2025-06-23T14:01:31.745Z,175068729174500
"""らねおか @ XaClitYV1x"" raises to 150",2025-06-23T14:01:10.277Z,175068727027700
"""ぼくだよ @ cLX91bDIBI"" raises to 45",2025-06-23T14:01:06.410Z,175068726641000
"""arash! @ 3XxnU4oJw0"" folds",2025-06-23T14:01:03.350Z,175068726335000
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-06-23T14:00:59.627Z,175068725962708
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-06-23T14:00:59.627Z,175068725962707
"Your hand is 5♦, 4♣",2025-06-23T14:00:59.627Z,175068725962703
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (2780) | #4 ""arash! @ 3XxnU4oJw0"" (2780) | #5 ""ぼくだよ @ cLX91bDIBI"" (2040) | #6 ""らねおか @ XaClitYV1x"" (2805) | #9 ""sigma @ yHZrsG6l5j"" (2355)",2025-06-23T14:00:59.627Z,175068725962701
"-- starting hand #48 (id: vzqegs3bqdud)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-23T14:00:59.627Z,175068725962700
