player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"あこ",9FY377ItlI,2025-06-29T12:23:03.355Z,,2500,,2530,30
"sasakure",iOgb92C-Hi,2025-06-29T11:55:58.562Z,2025-06-29T12:48:30.550Z,2000,1940,0,-60
"こうちゃん!",MHgBOdbuKW,2025-06-29T11:51:35.489Z,,2680,,1990,-690
"Ene",7kPHYByVxS,2025-06-29T11:16:25.073Z,2025-06-29T12:20:04.971Z,3000,2673,0,-327
"らねおか",XaClitYV1x,2025-06-29T11:11:56.970Z,2025-06-29T12:39:03.739Z,2500,5470,0,2970
"megau",gjiEZFeA5n,2025-06-29T11:03:28.847Z,,2500,,3146,646
"GIL RAIM",Oo-rx1G24B,2025-06-29T11:02:02.700Z,2025-06-29T11:11:56.963Z,2500,0,0,-2500
"ばどえあー",Ji_JkhdQ8C,2025-06-29T11:01:23.605Z,2025-06-29T12:09:49.521Z,2000,1470,0,-530
"とーち",OCY4-ehNwS,2025-06-29T11:01:23.609Z,2025-06-29T12:20:04.966Z,2500,2745,0,245
"こうちゃん",4oZPV-yofs,2025-06-29T11:01:23.607Z,2025-06-29T11:51:35.486Z,4778,4540,0,-238
"ノガード",dlzwhIfu_I,2025-06-29T11:01:23.603Z,2025-06-29T11:11:56.967Z,2500,2400,0,-100
"パンドラ",pL49LPNYjQ,2025-06-29T11:01:23.601Z,,3000,,3657,657
"arash!",OHWoWLqWap,2025-06-29T11:01:23.599Z,,3000,,2897,-103
