entry,at,order
"The player ""icchi_tot @ mBLd8f4iH8"" requested a seat.",2025-06-30T11:54:41.995Z,175128448199500
"The player ""sasakure @ iOgb92C-Hi"" passed the room ownership to ""arash! @ OHWoWLqWap"".",2025-06-29T12:53:36.226Z,175120161622601
"The player ""konasho @ 6A8RjkqsNg"" requested a seat.",2025-06-29T12:53:36.226Z,175120161622600
"The player ""sasakure @ iOgb92C-Hi"" quits the game with a stack of 1940.",2025-06-29T12:48:30.546Z,175120131054600
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 3080.",2025-06-29T12:39:03.734Z,175120074373406
"The player ""あこ @ 9FY377ItlI"" stand up with the stack of 2530.",2025-06-29T12:39:03.734Z,175120074373405
"The player ""こうちゃん! @ MHgBOdbuKW"" stand up with the stack of 1990.",2025-06-29T12:39:03.734Z,175120074373404
"The player ""らねおか @ XaClitYV1x"" stand up with the stack of 3080.",2025-06-29T12:39:03.734Z,175120074373403
"The player ""megau @ gjiEZFeA5n"" stand up with the stack of 3146.",2025-06-29T12:39:03.734Z,175120074373402
"The player ""パンドラ @ pL49LPNYjQ"" stand up with the stack of 3657.",2025-06-29T12:39:03.734Z,175120074373401
"The player ""arash! @ OHWoWLqWap"" stand up with the stack of 2897.",2025-06-29T12:39:03.734Z,175120074373400
"-- ending hand #116 --",2025-06-29T12:39:00.815Z,175120074081502
"""megau @ gjiEZFeA5n"" collected 20 from pot",2025-06-29T12:39:00.815Z,175120074081501
"Uncalled bet of 10 returned to ""megau @ gjiEZFeA5n""",2025-06-29T12:39:00.815Z,175120074081500
"""あこ @ 9FY377ItlI"" folds",2025-06-29T12:38:59.971Z,175120073997100
"""こうちゃん! @ MHgBOdbuKW"" folds",2025-06-29T12:38:59.166Z,175120073916600
"""sasakure @ iOgb92C-Hi"" folds",2025-06-29T12:38:58.314Z,175120073831400
"""パンドラ @ pL49LPNYjQ"" folds",2025-06-29T12:37:12.464Z,175120063246400
"""らねおか @ XaClitYV1x"" folds",2025-06-29T12:37:11.656Z,175120063165600
"""arash! @ OHWoWLqWap"" folds",2025-06-29T12:37:10.832Z,175120063083200
"""megau @ gjiEZFeA5n"" posts a big blind of 20",2025-06-29T12:34:40.809Z,175120048080910
"""あこ @ 9FY377ItlI"" posts a small blind of 10",2025-06-29T12:34:40.809Z,175120048080909
"Player stacks: #1 ""megau @ gjiEZFeA5n"" (3136) | #2 ""arash! @ OHWoWLqWap"" (2897) | #3 ""らねおか @ XaClitYV1x"" (3080) | #4 ""パンドラ @ pL49LPNYjQ"" (3657) | #5 ""sasakure @ iOgb92C-Hi"" (1940) | #8 ""こうちゃん! @ MHgBOdbuKW"" (1990) | #9 ""あこ @ 9FY377ItlI"" (2540)",2025-06-29T12:34:40.809Z,175120048080901
"-- starting hand #116 (id: szur0dk6izbt)  (No Limit Texas Hold'em) (dealer: ""こうちゃん! @ MHgBOdbuKW"") --",2025-06-29T12:34:40.809Z,175120048080900
"-- ending hand #115 --",2025-06-29T12:34:37.895Z,175120047789502
"""megau @ gjiEZFeA5n"" collected 330 from pot",2025-06-29T12:34:37.895Z,175120047789501
"Uncalled bet of 100 returned to ""megau @ gjiEZFeA5n""",2025-06-29T12:34:37.895Z,175120047789500
"""らねおか @ XaClitYV1x"" folds",2025-06-29T12:34:37.070Z,175120047707000
"""megau @ gjiEZFeA5n"" bets 100",2025-06-29T12:34:34.685Z,175120047468500
"Flop:  [7♣, 5♥, 9♣]",2025-06-29T12:33:59.388Z,175120043938800
"""megau @ gjiEZFeA5n"" calls 150",2025-06-29T12:33:58.533Z,175120043853300
"""あこ @ 9FY377ItlI"" folds",2025-06-29T12:33:48.177Z,175120042817700
"""こうちゃん! @ MHgBOdbuKW"" folds",2025-06-29T12:33:37.326Z,175120041732600
"""sasakure @ iOgb92C-Hi"" folds",2025-06-29T12:33:36.299Z,175120041629900
"""パンドラ @ pL49LPNYjQ"" folds",2025-06-29T12:31:50.486Z,175120031048600
"""らねおか @ XaClitYV1x"" raises to 150",2025-06-29T12:31:49.346Z,175120030934600
"""arash! @ OHWoWLqWap"" folds",2025-06-29T12:31:39.986Z,175120029998600
"""megau @ gjiEZFeA5n"" raises to 40",2025-06-29T12:31:38.910Z,175120029891000
"""あこ @ 9FY377ItlI"" posts a big blind of 20",2025-06-29T12:31:34.587Z,175120029458711
"""こうちゃん! @ MHgBOdbuKW"" posts a small blind of 10",2025-06-29T12:31:34.587Z,175120029458710
"Player stacks: #1 ""megau @ gjiEZFeA5n"" (2956) | #2 ""arash! @ OHWoWLqWap"" (2897) | #3 ""らねおか @ XaClitYV1x"" (3230) | #4 ""パンドラ @ pL49LPNYjQ"" (3657) | #5 ""sasakure @ iOgb92C-Hi"" (1940) | #8 ""こうちゃん! @ MHgBOdbuKW"" (2000) | #9 ""あこ @ 9FY377ItlI"" (2560)",2025-06-29T12:31:34.587Z,175120029458702
"-- starting hand #115 (id: u5prbxknpmqd)  (No Limit Texas Hold'em) (dealer: ""sasakure @ iOgb92C-Hi"") --",2025-06-29T12:31:34.587Z,175120029458701
