entry,at,order
"The player ""あこ @ 9FY377ItlI"" quits the game with a stack of 3570.",2025-06-29T13:33:56.064Z,175120403606400
"-- ending hand #77 --",2025-06-29T13:33:14.364Z,175120399436403
"""あこ @ 9FY377ItlI"" collected 900 from pot with Two Pair, A's & 8's (combination: A♥, A♠, 8♣, 8♠, J♠)",2025-06-29T13:33:14.364Z,175120399436402
"""あこ @ 9FY377ItlI"" shows a A♥, 8♣.",2025-06-29T13:33:14.364Z,175120399436401
"""megau @ gjiEZFeA5n"" shows a J♥, K♠.",2025-06-29T13:33:14.364Z,175120399436400
"""あこ @ 9FY377ItlI"" calls 225",2025-06-29T13:33:13.554Z,175120399355400
"""megau @ gjiEZFeA5n"" bets 225",2025-06-29T13:33:07.754Z,175120398775400
"""あこ @ 9FY377ItlI"" checks",2025-06-29T13:32:45.797Z,175120396579700
"River: 10♥, 8♠, J♠, 6♣ [A♠]",2025-06-29T13:32:43.691Z,175120396369100
"""あこ @ 9FY377ItlI"" calls 135",2025-06-29T13:32:42.866Z,175120396286600
"""megau @ gjiEZFeA5n"" bets 135",2025-06-29T13:32:41.117Z,175120396111700
"""あこ @ 9FY377ItlI"" checks",2025-06-29T13:32:30.587Z,175120395058700
"Turn: 10♥, 8♠, J♠ [6♣]",2025-06-29T13:32:29.444Z,175120394944400
"""あこ @ 9FY377ItlI"" calls 45",2025-06-29T13:32:28.641Z,175120394864100
"""megau @ gjiEZFeA5n"" bets 45",2025-06-29T13:32:27.281Z,175120394728100
"""あこ @ 9FY377ItlI"" checks",2025-06-29T13:32:17.422Z,175120393742200
"Flop:  [10♥, 8♠, J♠]",2025-06-29T13:32:15.827Z,175120393582700
"""あこ @ 9FY377ItlI"" calls 40",2025-06-29T13:32:14.994Z,175120393499400
"""konasho @ 6A8RjkqsNg"" folds",2025-06-29T13:32:13.429Z,175120393342900
"""パンドラ @ pL49LPNYjQ"" folds",2025-06-29T13:32:12.279Z,175120393227900
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:32:11.178Z,175120393117800
"""arash! @ OHWoWLqWap"" folds",2025-06-29T13:32:10.133Z,175120393013300
"""megau @ gjiEZFeA5n"" raises to 40",2025-06-29T13:32:09.116Z,175120392911600
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-06-29T13:32:02.968Z,175120392296800
"""あこ @ 9FY377ItlI"" posts a big blind of 20",2025-06-29T13:31:39.571Z,175120389957109
"""konasho @ 6A8RjkqsNg"" posts a small blind of 10",2025-06-29T13:31:39.571Z,175120389957108
"Player stacks: #1 ""arash! @ OHWoWLqWap"" (2465) | #2 ""らねおか @ XaClitYV1x"" (2970) | #3 ""パンドラ @ pL49LPNYjQ"" (3905) | #4 ""konasho @ 6A8RjkqsNg"" (750) | #9 ""あこ @ 9FY377ItlI"" (3115) | #10 ""megau @ gjiEZFeA5n"" (2745)",2025-06-29T13:31:39.571Z,175120389957101
"-- starting hand #77 (id: uqloytgt9icm)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ pL49LPNYjQ"") --",2025-06-29T13:31:39.571Z,175120389957100
"-- ending hand #76 --",2025-06-29T13:31:33.526Z,175120389352603
"""パンドラ @ pL49LPNYjQ"" collected 1980 from pot with Two Pair, A's & 8's (combination: A♥, A♦, 8♣, 8♦, J♣)",2025-06-29T13:31:33.526Z,175120389352602
"""パンドラ @ pL49LPNYjQ"" shows a A♥, 8♣.",2025-06-29T13:31:33.526Z,175120389352601
"""konasho @ 6A8RjkqsNg"" shows a 9♠, 7♠.",2025-06-29T13:31:33.526Z,175120389352600
"""パンドラ @ pL49LPNYjQ"" calls 750",2025-06-29T13:31:32.671Z,175120389267100
"""konasho @ 6A8RjkqsNg"" raises to 750",2025-06-29T13:31:19.368Z,175120387936800
"""パンドラ @ pL49LPNYjQ"" bets 240",2025-06-29T13:31:07.017Z,175120386701700
"River: 8♦, 4♦, 6♠, J♣ [A♦]",2025-06-29T13:30:48.933Z,175120384893300
"""konasho @ 6A8RjkqsNg"" calls 120",2025-06-29T13:30:48.089Z,175120384808900
"""パンドラ @ pL49LPNYjQ"" bets 120",2025-06-29T13:30:39.550Z,175120383955000
"Turn: 8♦, 4♦, 6♠ [J♣]",2025-06-29T13:30:25.992Z,175120382599200
"""konasho @ 6A8RjkqsNg"" calls 60",2025-06-29T13:30:25.138Z,175120382513800
"""パンドラ @ pL49LPNYjQ"" bets 60",2025-06-29T13:30:10.454Z,175120381045400
"Flop:  [8♦, 4♦, 6♠]",2025-06-29T13:29:59.836Z,175120379983600
"""konasho @ 6A8RjkqsNg"" calls 60",2025-06-29T13:29:59.008Z,175120379900800
"""パンドラ @ pL49LPNYjQ"" raises to 60",2025-06-29T13:29:54.406Z,175120379440600
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:29:50.888Z,175120379088800
"""arash! @ OHWoWLqWap"" folds",2025-06-29T13:29:49.835Z,175120378983500
"""megau @ gjiEZFeA5n"" folds",2025-06-29T13:29:48.762Z,175120378876200
"""あこ @ 9FY377ItlI"" folds",2025-06-29T13:29:39.734Z,175120377973400
"""konasho @ 6A8RjkqsNg"" posts a big blind of 20",2025-06-29T13:29:36.865Z,175120377686509
"""パンドラ @ pL49LPNYjQ"" posts a small blind of 10",2025-06-29T13:29:36.865Z,175120377686508
"Player stacks: #1 ""arash! @ OHWoWLqWap"" (2465) | #2 ""らねおか @ XaClitYV1x"" (2970) | #3 ""パンドラ @ pL49LPNYjQ"" (2915) | #4 ""konasho @ 6A8RjkqsNg"" (1740) | #9 ""あこ @ 9FY377ItlI"" (3115) | #10 ""megau @ gjiEZFeA5n"" (2745)",2025-06-29T13:29:36.865Z,175120377686501
"-- starting hand #76 (id: ddh6kva1wct0)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-29T13:29:36.865Z,175120377686500
"-- ending hand #75 --",2025-06-29T13:29:33.901Z,175120377390102
"""パンドラ @ pL49LPNYjQ"" collected 20 from pot",2025-06-29T13:29:33.901Z,175120377390101
"Uncalled bet of 10 returned to ""パンドラ @ pL49LPNYjQ""",2025-06-29T13:29:33.901Z,175120377390100
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:29:33.068Z,175120377306800
"""arash! @ OHWoWLqWap"" folds",2025-06-29T13:29:31.808Z,175120377180800
"""megau @ gjiEZFeA5n"" folds",2025-06-29T13:29:30.757Z,175120377075700
"""あこ @ 9FY377ItlI"" folds",2025-06-29T13:29:29.696Z,175120376969600
