entry,at,order
"The player ""カイン @ fcHKjLeyz-"" quits the game with a stack of 1900.",2025-06-29T13:36:52.731Z,175120421273100
"The player ""パンドラ @ YWl-be_cZ6"" stand up with the stack of 3075.",2025-06-29T13:35:53.728Z,175120415372800
"-- ending hand #201 --",2025-06-29T13:35:50.773Z,175120415077302
"""IAMB @ gjmiQ4-uAW"" collected 204 from pot",2025-06-29T13:35:50.773Z,175120415077301
"Uncalled bet of 102 returned to ""IAMB @ gjmiQ4-uAW""",2025-06-29T13:35:50.773Z,175120415077300
"""たろす @ _EAr7O2lyX"" folds",2025-06-29T13:35:49.962Z,175120414996200
"""IAMB @ gjmiQ4-uAW"" raises to 153",2025-06-29T13:35:42.900Z,175120414290000
"""たろす @ _EAr7O2lyX"" bets 51",2025-06-29T13:35:00.326Z,175120410032600
"""IAMB @ gjmiQ4-uAW"" checks",2025-06-29T13:34:04.653Z,175120404465300
"Turn: A♣, 3♣, 8♣ [5♥]",2025-06-29T13:33:52.007Z,175120403200700
"""たろす @ _EAr7O2lyX"" checks",2025-06-29T13:33:51.172Z,175120403117200
"""IAMB @ gjmiQ4-uAW"" checks",2025-06-29T13:33:45.900Z,175120402590000
"Flop:  [A♣, 3♣, 8♣]",2025-06-29T13:33:42.253Z,175120402225300
"""IAMB @ gjmiQ4-uAW"" calls 46",2025-06-29T13:33:41.443Z,175120402144300
"""ノガード @ dlzwhIfu_I"" folds",2025-06-29T13:33:29.206Z,175120400920600
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:33:26.983Z,175120400698300
"""たろす @ _EAr7O2lyX"" raises to 46",2025-06-29T13:33:25.951Z,175120400595100
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-29T13:33:19.030Z,175120399903000
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-06-29T13:32:56.562Z,175120397656200
"""arash! @ OkLShdB9P8"" folds",2025-06-29T13:32:55.255Z,175120397525500
"""カイン @ fcHKjLeyz-"" folds",2025-06-29T13:32:54.250Z,175120397425000
"""IAMB @ gjmiQ4-uAW"" posts a big blind of 20",2025-06-29T13:32:51.950Z,175120397195010
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-06-29T13:32:51.950Z,175120397195009
"Your hand is 6♣, 3♦",2025-06-29T13:32:51.950Z,175120397195008
"Player stacks: #1 ""パンドラ @ YWl-be_cZ6"" (3075) | #2 ""たろす @ _EAr7O2lyX"" (2722) | #5 ""らねおか @ XaClitYV1x"" (2485) | #6 ""ノガード @ dlzwhIfu_I"" (3047) | #7 ""IAMB @ gjmiQ4-uAW"" (2962) | #9 ""カイン @ fcHKjLeyz-"" (1900) | #10 ""arash! @ OkLShdB9P8"" (2938)",2025-06-29T13:32:51.950Z,175120397195001
"-- starting hand #201 (id: xc2pqdvqlg2z)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-29T13:32:51.950Z,175120397195000
"-- ending hand #200 --",2025-06-29T13:32:49.010Z,175120396901002
"""arash! @ OkLShdB9P8"" collected 50 from pot",2025-06-29T13:32:49.010Z,175120396901001
"Uncalled bet of 20 returned to ""arash! @ OkLShdB9P8""",2025-06-29T13:32:49.010Z,175120396901000
"""ノガード @ dlzwhIfu_I"" folds",2025-06-29T13:32:48.158Z,175120396815800
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:32:44.865Z,175120396486500
"""たろす @ _EAr7O2lyX"" folds",2025-06-29T13:32:43.866Z,175120396386600
"""パンドラ @ YWl-be_cZ6"" folds",2025-06-29T13:32:42.797Z,175120396279700
