entry,at,order
"The player ""らねおか @ XaClitYV1x"" passed the room ownership to ""とーち @ OCY4-ehNwS"".",2025-06-29T13:43:57.184Z,175120463718400
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:37:51.980Z,175120427198000
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-06-29T13:33:17.116Z,175120399711608
"""Komachi @ jbImK-mYN0"" posts a small blind of 10",2025-06-29T13:33:17.116Z,175120399711607
"Player stacks: #3 ""mo' @ -WgKDrZMvL"" (2997) | #6 ""Ene @ 7kPHYByVxS"" (2783) | #7 ""とーち @ OCY4-ehNwS"" (2205) | #9 ""Komachi @ jbImK-mYN0"" (7512)",2025-06-29T13:33:17.116Z,175120399711602
"-- starting hand #101 (id: 1dhdjosfudd2)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-06-29T13:33:17.116Z,175120399711601
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 0.",2025-06-29T13:33:17.116Z,175120399711600
"""とーち @ OCY4-ehNwS"" shows a 3♣, 10♥.",2025-06-29T13:33:15.518Z,175120399551800
"""Ene @ 7kPHYByVxS"" shows a 8♣.",2025-06-29T13:33:11.145Z,175120399114500
"-- ending hand #100 --",2025-06-29T13:33:10.110Z,175120399011001
"""Komachi @ jbImK-mYN0"" collected 5144 from pot with Flush, Kc High (combination: K♣, J♣, 7♣, 6♣, 5♣, 4♣)",2025-06-29T13:33:10.110Z,175120399011000
"River: 8♦, 4♣, 5♣, 7♣ [6♣]",2025-06-29T13:33:06.078Z,175120398607800
"Turn: 8♦, 4♣, 5♣ [7♣]",2025-06-29T13:33:02.024Z,175120398202400
"""Komachi @ jbImK-mYN0"" shows a K♣, J♣.",2025-06-29T13:32:58.010Z,175120397801001
"""らねおか @ XaClitYV1x"" shows a 6♦, 7♦.",2025-06-29T13:32:58.010Z,175120397801000
"""Komachi @ jbImK-mYN0"" calls 2527",2025-06-29T13:32:57.157Z,175120397715700
"""らねおか @ XaClitYV1x"" raises to 2527 and go all in",2025-06-29T13:32:46.952Z,175120396695200
"""Komachi @ jbImK-mYN0"" raises to 200",2025-06-29T13:32:43.104Z,175120396310400
"""らねおか @ XaClitYV1x"" bets 67",2025-06-29T13:32:37.031Z,175120395703100
"""Komachi @ jbImK-mYN0"" checks",2025-06-29T13:32:25.406Z,175120394540600
"Flop:  [8♦, 4♣, 5♣]",2025-06-29T13:32:23.380Z,175120394338000
"""Komachi @ jbImK-mYN0"" calls 40",2025-06-29T13:32:22.539Z,175120394253900
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:32:20.375Z,175120394037500
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:32:19.338Z,175120393933800
"""mo' @ -WgKDrZMvL"" folds",2025-06-29T13:32:18.207Z,175120393820700
"""らねおか @ XaClitYV1x"" raises to 40",2025-06-29T13:32:16.756Z,175120393675600
"""Komachi @ jbImK-mYN0"" posts a big blind of 20",2025-06-29T13:32:12.255Z,175120393225508
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-06-29T13:32:12.255Z,175120393225507
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2567) | #3 ""mo' @ -WgKDrZMvL"" (2997) | #6 ""Ene @ 7kPHYByVxS"" (2783) | #7 ""とーち @ OCY4-ehNwS"" (2215) | #9 ""Komachi @ jbImK-mYN0"" (4935)",2025-06-29T13:32:12.255Z,175120393225501
"-- starting hand #100 (id: cdyp1bqgowi6)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-06-29T13:32:12.255Z,175120393225500
"-- ending hand #99 --",2025-06-29T13:32:09.330Z,175120392933002
"""Komachi @ jbImK-mYN0"" collected 90 from pot",2025-06-29T13:32:09.330Z,175120392933001
"Uncalled bet of 80 returned to ""Komachi @ jbImK-mYN0""",2025-06-29T13:32:09.330Z,175120392933000
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:32:08.472Z,175120392847200
"""Komachi @ jbImK-mYN0"" bets 80",2025-06-29T13:32:02.709Z,175120392270900
"""とーち @ OCY4-ehNwS"" checks",2025-06-29T13:31:56.466Z,175120391646600
"Turn: 3♦, 5♥, 2♠ [9♠]",2025-06-29T13:31:49.538Z,175120390953800
"""Komachi @ jbImK-mYN0"" checks",2025-06-29T13:31:48.731Z,175120390873100
"""とーち @ OCY4-ehNwS"" checks",2025-06-29T13:31:43.239Z,175120390323900
"Flop:  [3♦, 5♥, 2♠]",2025-06-29T13:31:40.694Z,175120390069400
"""とーち @ OCY4-ehNwS"" calls 40",2025-06-29T13:31:39.891Z,175120389989100
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:31:35.544Z,175120389554400
"""mo' @ -WgKDrZMvL"" folds",2025-06-29T13:31:33.274Z,175120389327400
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:31:32.126Z,175120389212600
"""Komachi @ jbImK-mYN0"" raises to 40",2025-06-29T13:31:30.523Z,175120389052300
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-06-29T13:31:26.916Z,175120388691608
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-06-29T13:31:26.916Z,175120388691607
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2567) | #3 ""mo' @ -WgKDrZMvL"" (2997) | #6 ""Ene @ 7kPHYByVxS"" (2793) | #7 ""とーち @ OCY4-ehNwS"" (2255) | #9 ""Komachi @ jbImK-mYN0"" (4885)",2025-06-29T13:31:26.916Z,175120388691601
"-- starting hand #99 (id: gmo6zf83ffl3)  (No Limit Texas Hold'em) (dealer: ""mo' @ -WgKDrZMvL"") --",2025-06-29T13:31:26.916Z,175120388691600
"""Ene @ 7kPHYByVxS"" shows a 6♠, 6♥.",2025-06-29T13:31:24.510Z,175120388451000
"-- ending hand #98 --",2025-06-29T13:31:23.313Z,175120388331302
"""とーち @ OCY4-ehNwS"" collected 90 from pot",2025-06-29T13:31:23.313Z,175120388331301
"Uncalled bet of 45 returned to ""とーち @ OCY4-ehNwS""",2025-06-29T13:31:23.313Z,175120388331300
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:31:22.490Z,175120388249000
"""とーち @ OCY4-ehNwS"" bets 45",2025-06-29T13:31:19.624Z,175120387962400
"""Ene @ 7kPHYByVxS"" checks",2025-06-29T13:31:14.140Z,175120387414000
"Turn: 8♠, 10♣, 7♣ [Q♣]",2025-06-29T13:31:12.909Z,175120387290900
"""とーち @ OCY4-ehNwS"" checks",2025-06-29T13:31:12.096Z,175120387209600
"""Ene @ 7kPHYByVxS"" checks",2025-06-29T13:30:50.912Z,175120385091200
"Flop:  [8♠, 10♣, 7♣]",2025-06-29T13:30:50.400Z,175120385040000
"""Ene @ 7kPHYByVxS"" calls 40",2025-06-29T13:30:49.544Z,175120384954400
"""mo' @ -WgKDrZMvL"" folds",2025-06-29T13:30:47.139Z,175120384713900
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:30:46.024Z,175120384602400
"""Komachi @ jbImK-mYN0"" folds",2025-06-29T13:30:43.668Z,175120384366800
"""とーち @ OCY4-ehNwS"" raises to 40",2025-06-29T13:30:42.624Z,175120384262400
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-06-29T13:30:36.983Z,175120383698308
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-06-29T13:30:36.983Z,175120383698307
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2567) | #3 ""mo' @ -WgKDrZMvL"" (3007) | #6 ""Ene @ 7kPHYByVxS"" (2833) | #7 ""とーち @ OCY4-ehNwS"" (2205) | #9 ""Komachi @ jbImK-mYN0"" (4885)",2025-06-29T13:30:36.983Z,175120383698301
"-- starting hand #98 (id: 9xopukb7656k)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-06-29T13:30:36.983Z,175120383698300
"""mo' @ -WgKDrZMvL"" shows a 6♠, K♠.",2025-06-29T13:30:35.215Z,175120383521500
"-- ending hand #97 --",2025-06-29T13:30:33.320Z,175120383332002
"""mo' @ -WgKDrZMvL"" collected 360 from pot",2025-06-29T13:30:33.320Z,175120383332001
"Uncalled bet of 500 returned to ""mo' @ -WgKDrZMvL""",2025-06-29T13:30:33.320Z,175120383332000
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:30:32.470Z,175120383247000
"""mo' @ -WgKDrZMvL"" bets 500",2025-06-29T13:30:30.394Z,175120383039400
"""らねおか @ XaClitYV1x"" checks",2025-06-29T13:30:12.332Z,175120381233200
"Turn: 6♦, 9♠, 6♥ [K♣]",2025-06-29T13:30:10.163Z,175120381016300
"""mo' @ -WgKDrZMvL"" checks",2025-06-29T13:30:09.345Z,175120380934500
"""らねおか @ XaClitYV1x"" checks",2025-06-29T13:30:06.032Z,175120380603200
"Flop:  [6♦, 9♠, 6♥]",2025-06-29T13:30:04.274Z,175120380427400
"""らねおか @ XaClitYV1x"" calls 180",2025-06-29T13:30:03.404Z,175120380340400
"""mo' @ -WgKDrZMvL"" raises to 180",2025-06-29T13:30:00.853Z,175120380085300
"""らねおか @ XaClitYV1x"" raises to 60",2025-06-29T13:29:53.135Z,175120379313500
"""Komachi @ jbImK-mYN0"" folds",2025-06-29T13:29:50.503Z,175120379050300
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:29:49.468Z,175120378946800
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:29:47.753Z,175120378775300
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-06-29T13:29:45.718Z,175120378571808
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-06-29T13:29:45.718Z,175120378571807
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2747) | #3 ""mo' @ -WgKDrZMvL"" (2827) | #6 ""Ene @ 7kPHYByVxS"" (2833) | #7 ""とーち @ OCY4-ehNwS"" (2205) | #9 ""Komachi @ jbImK-mYN0"" (4885)",2025-06-29T13:29:45.718Z,175120378571801
"-- starting hand #97 (id: 1byev1uwh0qt)  (No Limit Texas Hold'em) (dealer: ""Komachi @ jbImK-mYN0"") --",2025-06-29T13:29:45.718Z,175120378571800
"-- ending hand #96 --",2025-06-29T13:29:42.816Z,175120378281602
"""らねおか @ XaClitYV1x"" collected 427 from pot",2025-06-29T13:29:42.816Z,175120378281601
"Uncalled bet of 2320 returned to ""らねおか @ XaClitYV1x""",2025-06-29T13:29:42.816Z,175120378281600
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:29:42.007Z,175120378200700
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:29:40.394Z,175120378039400
"""らねおか @ XaClitYV1x"" raises to 2500 and go all in",2025-06-29T13:29:39.278Z,175120377927800
"""Komachi @ jbImK-mYN0"" folds",2025-06-29T13:29:35.863Z,175120377586300
"""とーち @ OCY4-ehNwS"" raises to 180",2025-06-29T13:29:34.824Z,175120377482400
"""Ene @ 7kPHYByVxS"" raises to 57",2025-06-29T13:29:28.031Z,175120376803100
"""mo' @ -WgKDrZMvL"" folds",2025-06-29T13:29:25.088Z,175120376508800
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-06-29T13:29:23.597Z,175120376359708
"""Komachi @ jbImK-mYN0"" posts a small blind of 10",2025-06-29T13:29:23.597Z,175120376359707
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2500) | #3 ""mo' @ -WgKDrZMvL"" (2827) | #6 ""Ene @ 7kPHYByVxS"" (2890) | #7 ""とーち @ OCY4-ehNwS"" (2385) | #9 ""Komachi @ jbImK-mYN0"" (4895)",2025-06-29T13:29:23.597Z,175120376359701
"-- starting hand #96 (id: zegvyxypbnfz)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-06-29T13:29:23.597Z,175120376359700
"-- ending hand #95 --",2025-06-29T13:29:20.655Z,175120376065502
"""mo' @ -WgKDrZMvL"" collected 50 from pot",2025-06-29T13:29:20.655Z,175120376065501
"Uncalled bet of 30 returned to ""mo' @ -WgKDrZMvL""",2025-06-29T13:29:20.655Z,175120376065500
"""Komachi @ jbImK-mYN0"" folds",2025-06-29T13:29:19.840Z,175120375984000
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:29:17.936Z,175120375793600
"""Ene @ 7kPHYByVxS"" folds",2025-06-29T13:29:16.921Z,175120375692100
"""mo' @ -WgKDrZMvL"" raises to 50",2025-06-29T13:29:15.828Z,175120375582800
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:29:11.941Z,175120375194100
"""Komachi @ jbImK-mYN0"" posts a big blind of 20",2025-06-29T13:29:09.452Z,175120374945208
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-06-29T13:29:09.452Z,175120374945207
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2500) | #3 ""mo' @ -WgKDrZMvL"" (2797) | #6 ""Ene @ 7kPHYByVxS"" (2890) | #7 ""とーち @ OCY4-ehNwS"" (2395) | #9 ""Komachi @ jbImK-mYN0"" (4915)",2025-06-29T13:29:09.452Z,175120374945201
"-- starting hand #95 (id: x4evpx1h9xpn)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-06-29T13:29:09.452Z,175120374945200
"-- ending hand #94 --",2025-06-29T13:29:06.534Z,175120374653402
"""Ene @ 7kPHYByVxS"" collected 40 from pot",2025-06-29T13:29:06.534Z,175120374653401
"Uncalled bet of 40 returned to ""Ene @ 7kPHYByVxS""",2025-06-29T13:29:06.534Z,175120374653400
"""とーち @ OCY4-ehNwS"" folds",2025-06-29T13:29:05.695Z,175120374569500
"""Ene @ 7kPHYByVxS"" raises to 60",2025-06-29T13:29:01.761Z,175120374176100
"""mo' @ -WgKDrZMvL"" folds",2025-06-29T13:28:57.895Z,175120373789500
"""らねおか @ XaClitYV1x"" folds",2025-06-29T13:28:55.966Z,175120373596600
"""Komachi @ jbImK-mYN0"" folds",2025-06-29T13:28:54.935Z,175120373493500
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-06-29T13:28:53.446Z,175120373344608
