player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"らねおか",XaClitYV1x,2025-07-07T14:02:16.603Z,2025-07-07T14:02:42.639Z,2500,2500,0,0
"mo'",-WgKDrZMvL,2025-07-07T12:33:43.898Z,,2500,,2245,-255
"とーち",OCY4-ehNwS,2025-07-07T12:30:35.776Z,2025-07-07T13:09:03.557Z,2500,2920,0,420
"RyeBarat麦",LdZ5WDRqVB,2025-07-07T12:29:49.245Z,2025-07-07T13:44:31.298Z,2000,0,0,-2000
"夏狼",MmKxE2jmJi,2025-07-07T12:20:10.983Z,2025-07-07T13:09:18.826Z,2500,2030,0,-470
"shiozuka1121",Zp6HGuC8yK,2025-07-07T12:09:32.439Z,,2500,,3271,771
"らねおか",XaClitYV1x,2025-07-07T11:56:05.176Z,2025-07-07T12:03:58.036Z,2500,2475,0,-25
"sigma",yHZrsG6l5j,2025-07-07T11:16:32.893Z,,7595,5992,1920,317
"パンドラ",pL49LPNYjQ,2025-07-07T11:14:18.178Z,,2500,,2095,-405
"夏狼",MmKxE2jmJi,2025-07-07T11:14:18.176Z,2025-07-07T12:19:17.295Z,2500,0,0,-2500
"るも",7n59-giX1P,2025-07-07T11:10:15.532Z,2025-07-07T12:03:58.031Z,2500,2345,0,-155
"sy",43AKXLrQ21,2025-07-07T11:09:35.436Z,2025-07-07T13:56:55.157Z,2500,2375,0,-125
"megau",gjiEZFeA5n,2025-07-07T11:08:20.817Z,2025-07-07T12:22:22.583Z,2500,2046,0,-454
"とーち",OCY4-ehNwS,2025-07-07T11:02:31.447Z,2025-07-07T12:29:49.241Z,2500,2729,0,229
"ノガード",dlzwhIfu_I,2025-07-07T11:02:31.445Z,2025-07-07T12:03:58.023Z,2500,4420,0,1920
"arash!",OHWoWLqWap,2025-07-07T11:02:31.443Z,,3733,3465,3000,2732
