entry,at,order
"The player ""パンドラ @ pL49LPNYjQ"" stand up with the stack of 2095.",2025-07-07T14:02:45.579Z,175189696557900
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 2500.",2025-07-07T14:02:42.637Z,175189696263700
"-- ending hand #160 --",2025-07-07T14:02:39.342Z,175189695934202
"""パンドラ @ pL49LPNYjQ"" collected 20 from pot",2025-07-07T14:02:39.342Z,175189695934201
"Uncalled bet of 10 returned to ""パンドラ @ pL49LPNYjQ""",2025-07-07T14:02:39.342Z,175189695934200
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-07-07T14:02:38.529Z,175189695852900
"""sigma @ yHZrsG6l5j"" folds",2025-07-07T14:02:28.884Z,175189694888400
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-07T14:02:22.588Z,175189694258800
"""らねおか @ XaClitYV1x"" folds",2025-07-07T14:02:21.928Z,175189694192800
"""arash! @ OHWoWLqWap"" folds",2025-07-07T14:02:20.836Z,175189694083600
"""mo' @ -WgKDrZMvL"" folds",2025-07-07T14:02:18.271Z,175189693827100
"""パンドラ @ pL49LPNYjQ"" posts a big blind of 20",2025-07-07T14:02:16.598Z,175189693659810
"""shiozuka1121 @ Zp6HGuC8yK"" posts a small blind of 10",2025-07-07T14:02:16.598Z,175189693659809
"Your hand is 4♣, 3♥",2025-07-07T14:02:16.598Z,175189693659803
"Player stacks: #1 ""arash! @ OHWoWLqWap"" (3000) | #3 ""らねおか @ XaClitYV1x"" (2500) | #4 ""sigma @ yHZrsG6l5j"" (1920) | #5 ""shiozuka1121 @ Zp6HGuC8yK"" (3281) | #8 ""パンドラ @ pL49LPNYjQ"" (2085) | #9 ""mo' @ -WgKDrZMvL"" (2245)",2025-07-07T14:02:16.598Z,175189693659802
"-- starting hand #160 (id: qrrq2huitjph)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-07-07T14:02:16.598Z,175189693659801
"The player ""らねおか @ XaClitYV1x"" joined the game with a stack of 2500.",2025-07-07T14:02:16.598Z,175189693659800
"-- ending hand #159 --",2025-07-07T14:02:10.577Z,175189693057703
"""shiozuka1121 @ Zp6HGuC8yK"" collected 2120 from pot with Two Pair, A's & 10's (combination: A♠, A♥, 10♦, 10♣, 9♠)",2025-07-07T14:02:10.577Z,175189693057702
"""shiozuka1121 @ Zp6HGuC8yK"" shows a A♠, 10♦.",2025-07-07T14:02:10.577Z,175189693057701
"""sigma @ yHZrsG6l5j"" shows a J♣, K♣.",2025-07-07T14:02:10.577Z,175189693057700
"""shiozuka1121 @ Zp6HGuC8yK"" calls 600",2025-07-07T14:02:09.771Z,175189692977100
"""sigma @ yHZrsG6l5j"" bets 600",2025-07-07T14:01:52.995Z,175189691299500
"The admin ""arash! @ OHWoWLqWap"" canceled the game stop on next hand.",2025-07-07T14:01:37.949Z,175189689794900
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-07T14:01:33.932Z,175189689393200
"River: 9♠, 10♣, 9♦, A♥ [6♥]",2025-07-07T14:01:24.456Z,175189688445600
"""shiozuka1121 @ Zp6HGuC8yK"" checks",2025-07-07T14:01:23.640Z,175189688364000
"""sigma @ yHZrsG6l5j"" checks",2025-07-07T14:00:17.948Z,175189681794800
"Turn: 9♠, 10♣, 9♦ [A♥]",2025-07-07T14:00:15.086Z,175189681508600
"""sigma @ yHZrsG6l5j"" calls 400",2025-07-07T14:00:14.237Z,175189681423700
"""shiozuka1121 @ Zp6HGuC8yK"" raises to 400",2025-07-07T13:59:45.846Z,175189678584600
"""sigma @ yHZrsG6l5j"" raises to 160",2025-07-07T13:58:36.747Z,175189671674700
"""shiozuka1121 @ Zp6HGuC8yK"" bets 40",2025-07-07T13:58:13.030Z,175189669303000
"""sigma @ yHZrsG6l5j"" checks",2025-07-07T13:58:00.755Z,175189668075500
"Flop:  [9♠, 10♣, 9♦]",2025-07-07T13:57:46.404Z,175189666640400
"""shiozuka1121 @ Zp6HGuC8yK"" calls 60",2025-07-07T13:57:45.593Z,175189666559300
"""sigma @ yHZrsG6l5j"" raises to 60",2025-07-07T13:57:42.673Z,175189666267300
