player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Doc",rNZKJiwrNl,2025-07-07T12:33:20.764Z,2025-07-07T14:04:41.018Z,2500,4440,0,1940
"らねおか",XaClitYV1x,2025-07-07T12:13:16.896Z,2025-07-07T14:04:40.714Z,2500,2218,0,-282
"shiozuka1121",Zp6HGuC8yK,2025-07-07T12:10:50.424Z,,2500,1537,790,-173
"sigma",yHZrsG6l5j,2025-07-07T12:10:50.422Z,2025-07-07T13:03:41.954Z,3890,2150,0,-1740
"arash!",OHWoWLqWap,2025-07-07T12:05:30.274Z,2025-07-07T13:03:41.949Z,3000,6200,0,3200
"るも",7n59-giX1P,2025-07-07T12:04:45.803Z,2025-07-07T14:04:46.584Z,3110,3788,0,678
"摩天楼",-R3v9pRB8W,2025-07-07T12:04:45.805Z,,2000,,2052,52
"らねおか",XaClitYV1x,2025-07-07T12:04:45.796Z,2025-07-07T12:12:25.797Z,2500,0,0,-2500
"パンドラ",YWl-be_cZ6,2025-07-07T12:04:45.794Z,,3795,,2580,-1215
"ノガード",dlzwhIfu_I,2025-07-07T12:04:45.799Z,,3600,,3640,40
