player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"arash!",OHWoWLqWap,2025-07-13T13:45:47.013Z,2025-07-13T14:04:04.838Z,3000,0,0,-3000
"らねおか",XaClitYV1x,2025-07-13T13:22:06.244Z,,2500,,2535,35
"夏狼",8psSgSmta4,2025-07-13T12:16:28.155Z,,2500,,4210,1710
"ノガード",dlzwhIfu_I,2025-07-13T12:16:08.839Z,2025-07-13T12:49:46.918Z,2500,3265,0,765
"Doc",rNZKJiwrNl,2025-07-13T11:47:30.567Z,,2500,3670,6060,7230
"とーち",OCY4-ehNwS,2025-07-13T11:43:25.831Z,2025-07-13T14:04:43.928Z,4927,2040,0,-2887
"shiozuka1121",Zp6HGuC8yK,2025-07-13T11:43:25.825Z,,3380,2981,1990,1591
"Hibari",WoUs1vEbz8,2025-07-13T11:43:25.822Z,,3462,,2770,-692
"らねおか",XaClitYV1x,2025-07-13T11:43:25.827Z,2025-07-13T13:20:27.497Z,2923,0,0,-2923
"arash!",OHWoWLqWap,2025-07-13T11:43:25.834Z,2025-07-13T13:42:53.020Z,3000,1171,0,-1829
