entry,at,order
"The player ""とーち @ OCY4-ehNwS"" quits the game with a stack of 2040.",2025-07-13T14:04:43.922Z,175241548392200
"-- ending hand #143 --",2025-07-13T14:04:19.639Z,175241545963902
"""Hibari @ WoUs1vEbz8"" collected 20 from pot",2025-07-13T14:04:19.639Z,175241545963901
"Uncalled bet of 10 returned to ""Hibari @ WoUs1vEbz8""",2025-07-13T14:04:19.639Z,175241545963900
"""らねおか @ XaClitYV1x"" folds",2025-07-13T14:04:18.793Z,175241545879300
"""とーち @ OCY4-ehNwS"" folds",2025-07-13T14:04:17.746Z,175241545774600
"""夏狼 @ 8psSgSmta4"" folds",2025-07-13T14:04:11.180Z,175241545118000
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-07-13T14:04:08.381Z,175241544838100
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-13T14:04:07.676Z,175241544767600
"""Doc @ rNZKJiwrNl"" folds",2025-07-13T14:04:07.374Z,175241544737400
"""Hibari @ WoUs1vEbz8"" posts a big blind of 20",2025-07-13T14:04:04.832Z,175241544483210
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-07-13T14:04:04.832Z,175241544483209
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (2760) | #2 ""Doc @ rNZKJiwrNl"" (6060) | #3 ""shiozuka1121 @ Zp6HGuC8yK"" (1990) | #5 ""夏狼 @ 8psSgSmta4"" (4210) | #7 ""とーち @ OCY4-ehNwS"" (2040) | #9 ""らねおか @ XaClitYV1x"" (2545)",2025-07-13T14:04:04.832Z,175241544483202
"-- starting hand #143 (id: djryl94vug78)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-07-13T14:04:04.832Z,175241544483201
"The player ""arash! @ OHWoWLqWap"" quits the game with a stack of 0.",2025-07-13T14:04:04.832Z,175241544483200
"-- ending hand #142 --",2025-07-13T14:03:58.826Z,175241543882603
"""arash! @ OHWoWLqWap"" shows a A♦, J♥.",2025-07-13T14:03:58.826Z,175241543882602
"""Doc @ rNZKJiwrNl"" collected 6030 from pot with Flush, Ah High (combination: A♥, K♥, 10♥, 5♥, 4♥)",2025-07-13T14:03:58.826Z,175241543882601
"""Doc @ rNZKJiwrNl"" shows a K♥, Q♠.",2025-07-13T14:03:58.826Z,175241543882600
"""arash! @ OHWoWLqWap"" calls 1845 and go all in",2025-07-13T14:03:58.023Z,175241543802300
"""Doc @ rNZKJiwrNl"" bets 1845",2025-07-13T14:03:30.836Z,175241541083600
"River: A♥, 10♥, J♦, 4♥ [5♥]",2025-07-13T14:03:08.922Z,175241538892200
"""arash! @ OHWoWLqWap"" calls 780",2025-07-13T14:03:08.053Z,175241538805300
"""Doc @ rNZKJiwrNl"" bets 780",2025-07-13T14:03:00.232Z,175241538023200
"Turn: A♥, 10♥, J♦ [4♥]",2025-07-13T14:02:30.766Z,175241535076600
"""arash! @ OHWoWLqWap"" calls 255",2025-07-13T14:02:29.948Z,175241534994800
"""Doc @ rNZKJiwrNl"" raises to 255",2025-07-13T14:02:10.065Z,175241533006500
"""arash! @ OHWoWLqWap"" bets 60",2025-07-13T14:01:57.623Z,175241531762300
"""Doc @ rNZKJiwrNl"" checks",2025-07-13T14:01:52.743Z,175241531274300
"Flop:  [A♥, 10♥, J♦]",2025-07-13T14:01:47.044Z,175241530704400
"""Doc @ rNZKJiwrNl"" calls 120",2025-07-13T14:01:46.232Z,175241530623200
"""らねおか @ XaClitYV1x"" folds",2025-07-13T14:01:36.486Z,175241529648600
"""とーち @ OCY4-ehNwS"" folds",2025-07-13T14:01:35.459Z,175241529545900
"""arash! @ OHWoWLqWap"" raises to 120",2025-07-13T14:01:34.445Z,175241529444500
"""夏狼 @ 8psSgSmta4"" folds",2025-07-13T14:01:30.514Z,175241529051400
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-07-13T14:01:29.288Z,175241528928800
"""Doc @ rNZKJiwrNl"" raises to 40",2025-07-13T14:00:26.238Z,175241522623800
"""Hibari @ WoUs1vEbz8"" folds",2025-07-13T14:00:22.575Z,175241522257500
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-07-13T14:00:19.805Z,175241521980510
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-07-13T14:00:19.805Z,175241521980509
"Player stacks: #1 ""Hibari @ WoUs1vEbz8"" (2760) | #2 ""Doc @ rNZKJiwrNl"" (3030) | #3 ""shiozuka1121 @ Zp6HGuC8yK"" (1990) | #5 ""夏狼 @ 8psSgSmta4"" (4210) | #6 ""arash! @ OHWoWLqWap"" (3000) | #7 ""とーち @ OCY4-ehNwS"" (2050) | #9 ""らねおか @ XaClitYV1x"" (2565)",2025-07-13T14:00:19.805Z,175241521980501
"-- starting hand #142 (id: lnhu5xejfj6m)  (No Limit Texas Hold'em) (dealer: ""arash! @ OHWoWLqWap"") --",2025-07-13T14:00:19.805Z,175241521980500
"-- ending hand #141 --",2025-07-13T14:00:16.847Z,175241521684702
"""夏狼 @ 8psSgSmta4"" collected 1020 from pot",2025-07-13T14:00:16.847Z,175241521684701
"Uncalled bet of 765 returned to ""夏狼 @ 8psSgSmta4""",2025-07-13T14:00:16.847Z,175241521684700
"""らねおか @ XaClitYV1x"" folds",2025-07-13T14:00:16.015Z,175241521601500
"""夏狼 @ 8psSgSmta4"" bets 765",2025-07-13T13:59:51.633Z,175241519163300
"""らねおか @ XaClitYV1x"" checks",2025-07-13T13:59:03.383Z,175241514338300
"River: 6♦, Q♣, 5♠, 9♣ [9♦]",2025-07-13T13:59:00.611Z,175241514061100
"""らねおか @ XaClitYV1x"" calls 255",2025-07-13T13:58:59.800Z,175241513980000
"""夏狼 @ 8psSgSmta4"" bets 255",2025-07-13T13:58:25.943Z,175241510594300
"""らねおか @ XaClitYV1x"" checks",2025-07-13T13:56:19.849Z,175241497984900
"Turn: 6♦, Q♣, 5♠ [9♣]",2025-07-13T13:56:18.082Z,175241497808200
"""らねおか @ XaClitYV1x"" calls 100",2025-07-13T13:56:17.254Z,175241497725400
"""夏狼 @ 8psSgSmta4"" bets 100",2025-07-13T13:55:46.302Z,175241494630200
"""らねおか @ XaClitYV1x"" checks",2025-07-13T13:55:07.138Z,175241490713800
"Flop:  [6♦, Q♣, 5♠]",2025-07-13T13:55:05.538Z,175241490553800
"""らねおか @ XaClitYV1x"" calls 140",2025-07-13T13:55:04.703Z,175241490470300
"""とーち @ OCY4-ehNwS"" folds",2025-07-13T13:55:00.143Z,175241490014300
"""arash! @ OHWoWLqWap"" folds",2025-07-13T13:54:47.645Z,175241488764500
"""夏狼 @ 8psSgSmta4"" raises to 140",2025-07-13T13:54:46.593Z,175241488659300
"""shiozuka1121 @ Zp6HGuC8yK"" folds",2025-07-13T13:54:26.312Z,175241486631200
"""Doc @ rNZKJiwrNl"" folds",2025-07-13T13:54:25.253Z,175241486525300
"""Hibari @ WoUs1vEbz8"" folds",2025-07-13T13:54:24.177Z,175241486417700
