player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"megau",gjiEZFeA5n,2025-07-13T12:44:42.153Z,,6645,,2250,-4395
"ノガード",dlzwhIfu_I,2025-07-13T12:37:46.375Z,,2500,,3525,1025
"icchi_tot",RgmC04JThZ,2025-07-13T12:39:40.009Z,,3290,,2220,-1070
"パンドラ",pL49LPNYjQ,2025-07-13T12:22:58.326Z,,2500,3305,3600,4405
"GIL RAIM",Oo-rx1G24B,2025-07-13T11:31:36.866Z,,4685,3570,2300,1185
"tanishi",K39Tra2qGg,2025-07-13T11:31:36.864Z,,3395,5067,1960,3632
"MasatoM",Zvgc3jh8lw,2025-07-13T11:25:42.099Z,2025-07-13T11:28:35.271Z,3000,3105,0,105
"ねくと",ghJwIbOflM,2025-07-13T11:23:35.631Z,,3000,,2612,-388
"Ramune",soKGYfNQsD,2025-07-13T11:11:29.657Z,2025-07-13T11:16:32.164Z,2000,1970,0,-30
"らねおか",XaClitYV1x,2025-07-13T11:05:33.663Z,2025-07-13T11:16:32.161Z,2500,2510,0,10
"さとうき",XvV199EQBF,2025-07-13T11:05:33.661Z,2025-07-13T11:16:32.157Z,2000,1925,0,-75
"こうちゃん",GZ5hCGHCjq,2025-07-13T11:05:33.659Z,2025-07-13T13:05:48.091Z,3784,2910,0,-874
"mo’",Sc5KlYAPzP,2025-07-13T11:05:33.656Z,2025-07-13T11:25:42.095Z,2921,2165,0,-756
"arash!",OkLShdB9P8,2025-07-13T11:02:23.718Z,2025-07-13T11:27:53.364Z,4243,2684,0,-1559
"77",tKAQniNTv7,2025-07-13T11:01:14.796Z,2025-07-13T12:37:03.977Z,2870,2160,0,-710
"やましー",SsAkQq2Oa9,2025-07-13T11:01:14.793Z,2025-07-13T12:58:16.128Z,2000,5896,0,3896
"とーち",OCY4-ehNwS,2025-07-13T11:01:14.799Z,,2500,,2460,-40
"ノガード",dlzwhIfu_I,2025-07-13T11:01:14.789Z,2025-07-13T12:35:09.382Z,4361,0,0,-4361
