entry,at,order
"""tanishi @ K39Tra2qGg"" shows a 7♣, 7♠.",2025-07-13T14:03:12.241Z,175241539224100
"-- ending hand #143 --",2025-07-13T14:03:11.246Z,175241539124602
"""パンドラ @ pL49LPNYjQ"" collected 90 from pot",2025-07-13T14:03:11.246Z,175241539124601
"Uncalled bet of 45 returned to ""パンドラ @ pL49LPNYjQ""",2025-07-13T14:03:11.246Z,175241539124600
"""tanishi @ K39Tra2qGg"" folds",2025-07-13T14:03:10.421Z,175241539042100
"""パンドラ @ pL49LPNYjQ"" bets 45",2025-07-13T14:03:09.145Z,175241538914500
"River: Q♥, 5♥, J♣, 10♣ [2♠]",2025-07-13T14:03:01.837Z,175241538183700
"""tanishi @ K39Tra2qGg"" checks",2025-07-13T14:03:00.965Z,175241538096500
"""パンドラ @ pL49LPNYjQ"" checks",2025-07-13T14:02:58.879Z,175241537887900
"Turn: Q♥, 5♥, J♣ [10♣]",2025-07-13T14:02:51.150Z,175241537115000
"""tanishi @ K39Tra2qGg"" checks",2025-07-13T14:02:50.331Z,175241537033100
"""パンドラ @ pL49LPNYjQ"" checks",2025-07-13T14:02:48.555Z,175241536855500
"Flop:  [Q♥, 5♥, J♣]",2025-07-13T14:02:44.258Z,175241536425800
"""パンドラ @ pL49LPNYjQ"" calls 40",2025-07-13T14:02:43.445Z,175241536344500
"""ねくと @ ghJwIbOflM"" folds",2025-07-13T14:02:41.777Z,175241536177700
"""tanishi @ K39Tra2qGg"" raises to 40",2025-07-13T14:02:40.360Z,175241536036000
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-07-13T14:02:38.553Z,175241535855300
"""megau @ gjiEZFeA5n"" folds",2025-07-13T14:02:37.533Z,175241535753300
"""icchi_tot @ RgmC04JThZ"" folds",2025-07-13T14:02:36.498Z,175241535649800
"""ノガード @ dlzwhIfu_I"" folds",2025-07-13T14:02:35.492Z,175241535549200
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-07-13T14:02:34.072Z,175241535407200
"""パンドラ @ pL49LPNYjQ"" posts a big blind of 20",2025-07-13T14:02:31.767Z,175241535176710
"""ねくと @ ghJwIbOflM"" posts a small blind of 10",2025-07-13T14:02:31.767Z,175241535176709
"Player stacks: #1 ""パンドラ @ pL49LPNYjQ"" (3550) | #2 ""ノガード @ dlzwhIfu_I"" (3525) | #4 ""icchi_tot @ RgmC04JThZ"" (2220) | #5 ""megau @ gjiEZFeA5n"" (2250) | #8 ""GIL RAIM @ Oo-rx1G24B"" (2300) | #9 ""tanishi @ K39Tra2qGg"" (2000) | #10 ""ねくと @ ghJwIbOflM"" (2622)",2025-07-13T14:02:31.767Z,175241535176701
"-- starting hand #143 (id: 8le9tzhbjsnv)  (No Limit Texas Hold'em) (dealer: ""tanishi @ K39Tra2qGg"") --",2025-07-13T14:02:31.767Z,175241535176700
"-- ending hand #142 --",2025-07-13T14:02:28.853Z,175241534885302
"""ねくと @ ghJwIbOflM"" collected 20 from pot",2025-07-13T14:02:28.853Z,175241534885301
"Uncalled bet of 10 returned to ""ねくと @ ghJwIbOflM""",2025-07-13T14:02:28.853Z,175241534885300
"""tanishi @ K39Tra2qGg"" folds",2025-07-13T14:02:27.968Z,175241534796800
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-07-13T14:02:26.957Z,175241534695700
"""megau @ gjiEZFeA5n"" folds",2025-07-13T14:02:25.927Z,175241534592700
"""icchi_tot @ RgmC04JThZ"" folds",2025-07-13T14:02:24.904Z,175241534490400
