player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"るも",7n59-giX1P,2025-07-13T12:55:43.628Z,,2500,,3781,1281
"TP",NEEYDnny4C,2025-07-13T12:48:37.897Z,2025-07-13T13:16:25.671Z,2000,1602,0,-398
"tanishi",K39Tra2qGg,2025-07-13T12:32:38.660Z,,2000,,1481,-519
"夏狼",MmKxE2jmJi,2025-07-13T12:20:51.910Z,,2500,,4741,2241
"MasatoM",Zvgc3jh8lw,2025-07-13T11:34:45.053Z,2025-07-13T12:49:46.809Z,3000,3560,0,560
"夏狼",MmKxE2jmJi,2025-07-13T11:21:41.002Z,2025-07-13T12:19:36.631Z,2500,0,0,-2500
"さとうき",XvV199EQBF,2025-07-13T11:19:02.027Z,,2000,1067,3130,2197
"Ramune",hogTCI3hGT,2025-07-13T11:17:24.304Z,2025-07-13T14:00:42.277Z,3622,2305,0,-1317
"Ramune",hogTCI3hGT,2025-07-13T11:16:02.316Z,2025-07-13T11:16:21.031Z,2000,2000,0,0
"とーち",OCY4-ehNwS,2025-07-13T11:10:40.914Z,2025-07-13T11:43:59.606Z,3585,2200,0,-1385
"らねおか",XaClitYV1x,2025-07-13T11:09:28.632Z,,2500,,3175,675
"shiozuka1121",Zp6HGuC8yK,2025-07-13T11:09:28.627Z,2025-07-13T13:58:30.651Z,3557,0,0,-3557
"やましー",SsAkQq2Oa9,2025-07-13T11:09:28.625Z,2025-07-13T11:27:49.353Z,2000,2176,0,176
"たろす",_EAr7O2lyX,2025-07-13T11:09:28.630Z,,3000,,2214,-786
"arash!",OHWoWLqWap,2025-07-13T11:09:28.633Z,,6900,7352,2880,3332
