entry,at,order
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-13T14:02:15.269Z,175241533526900
"-- ending hand #154 --",2025-07-13T14:02:13.011Z,175241533301102
"""さとうき @ XvV199EQBF"" collected 250 from pot with Full House, 2's over A's (combination: 2♦, 2♠, 2♣, A♦, A♣)",2025-07-13T14:02:13.011Z,175241533301101
"""さとうき @ XvV199EQBF"" shows a A♦, 2♦.",2025-07-13T14:02:13.011Z,175241533301100
"""arash! @ OHWoWLqWap"" calls 50",2025-07-13T14:02:12.171Z,175241533217100
"""さとうき @ XvV199EQBF"" bets 50",2025-07-13T14:01:53.999Z,175241531399900
"The admin ""arash! @ OHWoWLqWap"" canceled the game stop on next hand.",2025-07-13T14:01:49.644Z,175241530964400
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-13T14:01:48.237Z,175241530823700
"""arash! @ OHWoWLqWap"" checks",2025-07-13T14:01:45.901Z,175241530590100
"River: 9♦, 2♠, 2♣, 5♥ [A♣]",2025-07-13T14:01:42.785Z,175241530278500
"""さとうき @ XvV199EQBF"" checks",2025-07-13T14:01:41.958Z,175241530195800
"""arash! @ OHWoWLqWap"" checks",2025-07-13T14:01:21.049Z,175241528104900
"Turn: 9♦, 2♠, 2♣ [5♥]",2025-07-13T14:01:19.765Z,175241527976500
"""arash! @ OHWoWLqWap"" calls 30",2025-07-13T14:01:18.954Z,175241527895400
"""さとうき @ XvV199EQBF"" bets 30",2025-07-13T14:01:15.089Z,175241527508900
"""arash! @ OHWoWLqWap"" checks",2025-07-13T14:01:01.218Z,175241526121800
"Flop:  [9♦, 2♠, 2♣]",2025-07-13T14:01:00.278Z,175241526027800
"""arash! @ OHWoWLqWap"" calls 40",2025-07-13T14:00:59.406Z,175241525940600
"""らねおか @ XaClitYV1x"" folds",2025-07-13T14:00:56.690Z,175241525669000
"""tanishi @ K39Tra2qGg"" folds",2025-07-13T14:00:55.584Z,175241525558400
"""たろす @ _EAr7O2lyX"" folds",2025-07-13T14:00:51.727Z,175241525172700
"""さとうき @ XvV199EQBF"" raises to 40",2025-07-13T14:00:48.297Z,175241524829700
"""るも @ 7n59-giX1P"" folds",2025-07-13T14:00:45.152Z,175241524515200
"""夏狼 @ MmKxE2jmJi"" folds",2025-07-13T14:00:43.963Z,175241524396300
"""arash! @ OHWoWLqWap"" posts a big blind of 20",2025-07-13T14:00:42.273Z,175241524227311
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-07-13T14:00:42.273Z,175241524227310
"Player stacks: #1 ""るも @ 7n59-giX1P"" (3781) | #2 ""さとうき @ XvV199EQBF"" (3000) | #4 ""たろす @ _EAr7O2lyX"" (2214) | #5 ""tanishi @ K39Tra2qGg"" (1481) | #8 ""らねおか @ XaClitYV1x"" (3185) | #9 ""arash! @ OHWoWLqWap"" (3000) | #10 ""夏狼 @ MmKxE2jmJi"" (4741)",2025-07-13T14:00:42.273Z,175241524227302
"-- starting hand #154 (id: dygm92xciz3l)  (No Limit Texas Hold'em) (dead button) --",2025-07-13T14:00:42.273Z,175241524227301
"The player ""Ramune @ hogTCI3hGT"" quits the game with a stack of 2305.",2025-07-13T14:00:42.273Z,175241524227300
"-- ending hand #153 --",2025-07-13T14:00:39.341Z,175241523934102
"""るも @ 7n59-giX1P"" collected 130 from pot",2025-07-13T14:00:39.341Z,175241523934101
"Uncalled bet of 40 returned to ""るも @ 7n59-giX1P""",2025-07-13T14:00:39.341Z,175241523934100
"""tanishi @ K39Tra2qGg"" folds",2025-07-13T14:00:38.528Z,175241523852800
"""るも @ 7n59-giX1P"" bets 40",2025-07-13T14:00:18.846Z,175241521884600
"Flop:  [8♥, K♦, 3♠]",2025-07-13T14:00:08.711Z,175241520871100
"""らねおか @ XaClitYV1x"" folds",2025-07-13T14:00:07.900Z,175241520790000
"""Ramune @ hogTCI3hGT"" folds",2025-07-13T14:00:06.834Z,175241520683400
"""tanishi @ K39Tra2qGg"" calls 50",2025-07-13T14:00:05.506Z,175241520550600
"""たろす @ _EAr7O2lyX"" folds",2025-07-13T14:00:01.498Z,175241520149800
