player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Agu",Figi6mUf2R,2025-07-13T13:30:28.045Z,2025-07-13T13:51:02.830Z,3000,3120,0,120
"konasho",f_d8ebrXPg,2025-07-13T13:07:31.893Z,,2000,,2592,592
"TP",NEEYDnny4C,2025-07-13T12:48:15.161Z,2025-07-13T13:08:20.062Z,2000,1645,0,-355
"megau",gjiEZFeA5n,2025-07-13T12:48:15.157Z,,2500,,2569,69
"やましー",SsAkQq2Oa9,2025-07-13T12:05:16.724Z,2025-07-13T12:57:01.896Z,2000,2850,0,850
"パンドラ",YWl-be_cZ6,2025-07-13T11:51:11.517Z,,3265,1075,2280,90
"mo'",-WgKDrZMvL,2025-07-13T11:30:09.164Z,,2500,,4023,1523
"Hibari",WoUs1vEbz8,2025-07-13T11:30:09.161Z,,2500,1214,3690,2404
"MasatoM",Zvgc3jh8lw,2025-07-13T11:30:09.166Z,2025-07-13T11:46:28.041Z,3600,1941,0,-1659
"らねおか",XaClitYV1x,2025-07-13T11:28:19.127Z,2025-07-13T11:34:18.716Z,2500,2610,0,110
"arash!",OkLShdB9P8,2025-07-13T11:28:19.125Z,,4029,2000,2680,651
"たろす",_EAr7O2lyX,2025-07-13T11:28:19.123Z,,3000,,2083,-917
"shiozuka1121",Zp6HGuC8yK,2025-07-13T11:28:19.115Z,,4405,2000,2092,-313
"tanishi",K39Tra2qGg,2025-07-13T11:28:19.120Z,2025-07-13T12:50:07.474Z,2000,1235,0,-765
"やましー",SsAkQq2Oa9,2025-07-13T11:28:19.117Z,2025-07-13T12:04:37.428Z,2400,0,0,-2400
