player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"夏狼",MmKxE2jmJi,2025-07-21T13:48:57.319Z,2025-07-21T13:59:24.324Z,2000,0,0,-2000
"sigma",yHZrsG6l5j,2025-07-21T13:48:41.236Z,,2500,,2520,20
"IAMB",gjmiQ4-uAW,2025-07-21T12:38:10.966Z,2025-07-21T14:03:18.599Z,2500,3404,0,904
"Takashi",2ioBzArLPg,2025-07-21T12:32:41.589Z,2025-07-21T13:14:56.292Z,4440,2395,0,-2045
"RyeBarat麦",LdZ5WDRqVB,2025-07-21T11:56:32.592Z,2025-07-21T12:38:10.962Z,2000,1237,0,-763
"Hibari",gG60J3OV2j,2025-07-21T11:56:32.588Z,2025-07-21T12:30:18.281Z,3000,2920,0,-80
"夏狼",MmKxE2jmJi,2025-07-21T11:46:51.404Z,2025-07-21T13:48:41.232Z,4504,2214,0,-2290
"Takashi",2ioBzArLPg,2025-07-21T11:41:21.180Z,2025-07-21T12:30:18.278Z,2000,0,0,-2000
"sy",43AKXLrQ21,2025-07-21T11:08:20.763Z,2025-07-21T12:00:49.732Z,3444,2500,0,-944
"パンドラ",YWl-be_cZ6,2025-07-21T11:02:46.033Z,,4000,,2089,-1911
"gatari",mEacMqQQT2,2025-07-21T11:01:37.578Z,2025-07-21T11:11:22.382Z,2000,2080,0,80
"GIL RAIM",Oo-rx1G24B,2025-07-21T11:02:46.030Z,,2000,9345,753,8098
"うみ。",lVD5yytn3g,2025-07-21T11:04:26.710Z,2025-07-21T11:42:47.402Z,2000,3035,0,1035
"るも",7n59-giX1P,2025-07-21T11:00:08.584Z,,3599,,2649,-950
"77",tKAQniNTv7,2025-07-21T11:00:08.570Z,2025-07-21T12:32:41.586Z,3240,3175,0,-65
"Doc",rNZKJiwrNl,2025-07-21T11:00:08.573Z,2025-07-21T11:10:57.074Z,2500,2060,0,-440
"ノガード",dlzwhIfu_I,2025-07-21T11:00:08.581Z,2025-07-21T11:10:57.069Z,2500,2925,0,425
"arash!",OHWoWLqWap,2025-07-21T11:00:08.577Z,,5522,3974,4474,2926
