entry,at,order
"The player ""IAMB @ gjmiQ4-uAW"" quits the game with a stack of 3404.",2025-07-21T14:03:18.596Z,175310659859600
"-- ending hand #159 --",2025-07-21T14:03:12.592Z,175310659259203
"""GIL RAIM @ Oo-rx1G24B"" shows a 10♣, J♠.",2025-07-21T14:03:12.592Z,175310659259202
"""arash! @ OHWoWLqWap"" collected 4474 from pot with Straight, A High (combination: A♣, K♣, Q♣, J♥, 10♥)",2025-07-21T14:03:12.592Z,175310659259201
"""arash! @ OHWoWLqWap"" shows a Q♣, A♣.",2025-07-21T14:03:12.592Z,175310659259200
"""GIL RAIM @ Oo-rx1G24B"" calls 1857",2025-07-21T14:03:11.777Z,175310659177700
"""arash! @ OHWoWLqWap"" raises to 1857 and go all in",2025-07-21T14:02:44.330Z,175310656433000
"""GIL RAIM @ Oo-rx1G24B"" bets 760",2025-07-21T14:01:31.362Z,175310649136200
"River: K♣, 5♦, 10♥, 4♥ [J♥]",2025-07-21T14:01:23.807Z,175310648380700
"""arash! @ OHWoWLqWap"" checks",2025-07-21T14:01:22.964Z,175310648296400
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-07-21T14:01:20.287Z,175310648028700
"Turn: K♣, 5♦, 10♥ [4♥]",2025-07-21T14:01:17.695Z,175310647769500
"""arash! @ OHWoWLqWap"" calls 190",2025-07-21T14:01:16.851Z,175310647685100
"""GIL RAIM @ Oo-rx1G24B"" bets 190",2025-07-21T14:01:11.287Z,175310647128700
"Flop:  [K♣, 5♦, 10♥]",2025-07-21T14:01:01.848Z,175310646184800
"""arash! @ OHWoWLqWap"" calls 180",2025-07-21T14:01:00.995Z,175310646099500
"""IAMB @ gjmiQ4-uAW"" folds",2025-07-21T14:00:54.832Z,175310645483200
"""GIL RAIM @ Oo-rx1G24B"" raises to 180",2025-07-21T14:00:53.787Z,175310645378700
"""るも @ 7n59-giX1P"" folds",2025-07-21T14:00:44.749Z,175310644474900
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-21T14:00:42.444Z,175310644244400
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-21T14:00:37.178Z,175310643717800
"""sigma @ yHZrsG6l5j"" folds",2025-07-21T14:00:36.102Z,175310643610200
"""arash! @ OHWoWLqWap"" raises to 60",2025-07-21T14:00:33.684Z,175310643368400
"""IAMB @ gjmiQ4-uAW"" posts a big blind of 20",2025-07-21T14:00:29.372Z,175310642937209
"""GIL RAIM @ Oo-rx1G24B"" posts a small blind of 10",2025-07-21T14:00:29.372Z,175310642937208
"Player stacks: #1 ""GIL RAIM @ Oo-rx1G24B"" (2980) | #3 ""IAMB @ gjmiQ4-uAW"" (3424) | #6 ""arash! @ OHWoWLqWap"" (2227) | #7 ""sigma @ yHZrsG6l5j"" (2520) | #8 ""パンドラ @ YWl-be_cZ6"" (2089) | #10 ""るも @ 7n59-giX1P"" (2649)",2025-07-21T14:00:29.372Z,175310642937201
"-- starting hand #159 (id: vhfedrkbr4qr)  (No Limit Texas Hold'em) (dealer: ""るも @ 7n59-giX1P"") --",2025-07-21T14:00:29.372Z,175310642937200
"-- ending hand #158 --",2025-07-21T14:00:26.372Z,175310642637202
"""るも @ 7n59-giX1P"" collected 120 from pot",2025-07-21T14:00:26.372Z,175310642637201
"Uncalled bet of 350 returned to ""るも @ 7n59-giX1P""",2025-07-21T14:00:26.372Z,175310642637200
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-21T14:00:25.525Z,175310642552500
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-07-21T14:00:23.977Z,175310642397700
"""るも @ 7n59-giX1P"" raises to 400",2025-07-21T14:00:21.695Z,175310642169500
"""パンドラ @ YWl-be_cZ6"" raises to 50",2025-07-21T14:00:10.400Z,175310641040000
"""sigma @ yHZrsG6l5j"" folds",2025-07-21T14:00:06.567Z,175310640656700
"""arash! @ OHWoWLqWap"" folds",2025-07-21T14:00:04.286Z,175310640428600
"""IAMB @ gjmiQ4-uAW"" folds",2025-07-21T14:00:03.184Z,175310640318400
"""GIL RAIM @ Oo-rx1G24B"" posts a big blind of 20",2025-07-21T13:59:58.089Z,175310639808910
"""るも @ 7n59-giX1P"" posts a small blind of 10",2025-07-21T13:59:58.089Z,175310639808909
"Player stacks: #1 ""GIL RAIM @ Oo-rx1G24B"" (3000) | #3 ""IAMB @ gjmiQ4-uAW"" (3424) | #6 ""arash! @ OHWoWLqWap"" (2227) | #7 ""sigma @ yHZrsG6l5j"" (2520) | #8 ""パンドラ @ YWl-be_cZ6"" (2139) | #10 ""るも @ 7n59-giX1P"" (2579)",2025-07-21T13:59:58.089Z,175310639808902
"-- starting hand #158 (id: mhfvwmrur8qg)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ YWl-be_cZ6"") --",2025-07-21T13:59:58.089Z,175310639808901
"The admin updated the player ""GIL RAIM @ Oo-rx1G24B"" stack from 5184 to 3000.",2025-07-21T13:59:58.089Z,175310639808900
"""sigma @ yHZrsG6l5j"" shows a Q♣, 8♦.",2025-07-21T13:59:55.475Z,175310639547500
"""るも @ 7n59-giX1P"" shows a J♥, J♦.",2025-07-21T13:59:54.713Z,175310639471300
