player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"うみ。",lVD5yytn3g,2025-07-21T12:36:34.599Z,,2786,,2229,-557
"うみ。",lVD5yytn3g,2025-07-21T12:19:03.365Z,2025-07-21T12:34:57.981Z,2000,0,0,-2000
"sy",43AKXLrQ21,2025-07-21T12:00:42.119Z,,3228,2258,3427,2457
"パンドラ",pL49LPNYjQ,2025-07-21T11:47:45.681Z,,3057,1524,2480,947
"Hibari",gG60J3OV2j,2025-07-21T11:16:16.762Z,,3557,3125,3100,2668
"gatari",mEacMqQQT2,2025-07-21T11:12:01.959Z,2025-07-21T12:40:13.868Z,2620,2865,0,245
"るも",Ncu9PASigA,2025-07-21T11:12:01.933Z,2025-07-21T12:40:35.992Z,2500,2041,0,-459
"Doc",rNZKJiwrNl,2025-07-21T11:12:01.913Z,,2500,,2715,215
"パンドラ",pL49LPNYjQ,2025-07-21T11:11:06.481Z,2025-07-21T11:46:21.658Z,3732,0,0,-3732
"とーち",hig4fvwo_m,2025-07-21T11:11:06.477Z,2025-07-21T11:56:06.708Z,5000,1720,0,-3280
"arash!",OkLShdB9P8,2025-07-21T11:11:06.479Z,2025-07-21T12:43:13.917Z,3000,2102,0,-898
"ノガード",dlzwhIfu_I,2025-07-21T11:11:06.474Z,,2500,3400,3494,4394
