entry,at,order
"The player ""Doc @ rNZKJiwrNl"" sit back with the stack of 2715.",2025-07-21T14:04:26.278Z,175310666627800
"The player ""Doc @ rNZKJiwrNl"" stand up with the stack of 2715.",2025-07-21T14:04:22.134Z,175310666213400
"-- ending hand #162 --",2025-07-21T14:04:19.212Z,175310665921202
"""ノガード @ dlzwhIfu_I"" collected 130 from pot",2025-07-21T14:04:19.212Z,175310665921201
"Uncalled bet of 40 returned to ""ノガード @ dlzwhIfu_I""",2025-07-21T14:04:19.212Z,175310665921200
"""Hibari @ gG60J3OV2j"" folds",2025-07-21T14:04:18.391Z,175310665839100
"""ノガード @ dlzwhIfu_I"" bets 40",2025-07-21T14:03:25.053Z,175310660505300
"River: J♣, Q♠, 2♦, K♠ [6♥]",2025-07-21T14:03:09.992Z,175310658999200
"""Hibari @ gG60J3OV2j"" checks",2025-07-21T14:03:09.159Z,175310658915900
"""ノガード @ dlzwhIfu_I"" checks",2025-07-21T14:03:05.508Z,175310658550800
"Turn: J♣, Q♠, 2♦ [K♠]",2025-07-21T14:02:57.317Z,175310657731700
"""Hibari @ gG60J3OV2j"" checks",2025-07-21T14:02:56.436Z,175310657643600
"""ノガード @ dlzwhIfu_I"" checks",2025-07-21T14:02:49.089Z,175310656908900
"Flop:  [J♣, Q♠, 2♦]",2025-07-21T14:02:44.302Z,175310656430200
"""パンドラ @ pL49LPNYjQ"" folds",2025-07-21T14:02:43.491Z,175310656349100
"""sy @ 43AKXLrQ21"" folds",2025-07-21T14:02:42.497Z,175310656249700
"""Hibari @ gG60J3OV2j"" calls 50",2025-07-21T14:02:41.413Z,175310656141300
"""Doc @ rNZKJiwrNl"" folds",2025-07-21T14:02:18.244Z,175310653824400
"""うみ。 @ lVD5yytn3g"" folds",2025-07-21T14:02:17.109Z,175310653710900
"""ノガード @ dlzwhIfu_I"" raises to 50",2025-07-21T14:02:16.094Z,175310653609400
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-07-21T14:02:12.154Z,175310653215400
"""パンドラ @ pL49LPNYjQ"" posts a big blind of 20",2025-07-21T14:02:08.157Z,175310652815709
"""sy @ 43AKXLrQ21"" posts a small blind of 10",2025-07-21T14:02:08.157Z,175310652815708
"Player stacks: #1 ""ノガード @ dlzwhIfu_I"" (3414) | #2 ""うみ。 @ lVD5yytn3g"" (2229) | #3 ""Doc @ rNZKJiwrNl"" (2715) | #4 ""Hibari @ gG60J3OV2j"" (3150) | #7 ""sy @ 43AKXLrQ21"" (3437) | #10 ""パンドラ @ pL49LPNYjQ"" (2500)",2025-07-21T14:02:08.157Z,175310652815701
"-- starting hand #162 (id: d0emzxtrzumr)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2025-07-21T14:02:08.157Z,175310652815700
"-- ending hand #161 --",2025-07-21T14:02:05.228Z,175310652522802
"""ノガード @ dlzwhIfu_I"" collected 830 from pot",2025-07-21T14:02:05.228Z,175310652522801
"Uncalled bet of 715 returned to ""ノガード @ dlzwhIfu_I""",2025-07-21T14:02:05.228Z,175310652522800
"""Doc @ rNZKJiwrNl"" folds",2025-07-21T14:02:04.419Z,175310652441900
