entry,at,order
"The player ""gatari @ mEacMqQQT2"" quits the game with a stack of 1609.",2025-07-21T14:04:15.146Z,175310665514600
"The player ""IAMB @ gjmiQ4-uAW"" quits the game with a stack of 3666.",2025-07-21T14:02:28.480Z,175310654848002
"The player ""とーち @ OCY4-ehNwS"" quits the game with a stack of 3330.",2025-07-21T14:02:28.480Z,175310654848001
"The player ""とーち @ OCY4-ehNwS"" stand up with the stack of 3330.",2025-07-21T14:02:28.480Z,175310654848000
"""Sabosuke @ MVXfdWmNdY"" shows a K♣, A♥.",2025-07-21T14:02:27.425Z,175310654742500
"""gatari @ mEacMqQQT2"" shows a J♠, A♠.",2025-07-21T14:02:25.071Z,175310654507100
"The admin ""Hibari @ gG60J3OV2j"" enqueued the game stop on next hand.",2025-07-21T14:02:24.625Z,175310654462500
"-- ending hand #102 --",2025-07-21T14:02:24.165Z,175310654416502
"""Sabosuke @ MVXfdWmNdY"" collected 270 from pot",2025-07-21T14:02:24.165Z,175310654416501
"Uncalled bet of 1609 returned to ""Sabosuke @ MVXfdWmNdY""",2025-07-21T14:02:24.165Z,175310654416500
"""gatari @ mEacMqQQT2"" folds",2025-07-21T14:02:23.313Z,175310654331300
"""Sabosuke @ MVXfdWmNdY"" raises to 1729",2025-07-21T14:02:18.064Z,175310653806400
"""とーち @ OCY4-ehNwS"" folds",2025-07-21T14:02:10.015Z,175310653001500
"""arash! @ OkLShdB9P8"" folds",2025-07-21T14:02:07.785Z,175310652778500
"""IAMB @ gjmiQ4-uAW"" folds",2025-07-21T14:02:06.761Z,175310652676100
"""Hibari @ gG60J3OV2j"" folds",2025-07-21T14:02:05.672Z,175310652567200
"""gatari @ mEacMqQQT2"" raises to 120",2025-07-21T14:02:04.660Z,175310652466000
"""Sabosuke @ MVXfdWmNdY"" raises to 40",2025-07-21T14:01:55.133Z,175310651513300
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-07-21T14:01:51.836Z,175310651183609
"""arash! @ OkLShdB9P8"" posts a small blind of 10",2025-07-21T14:01:51.836Z,175310651183608
"Your hand is 4♣, 8♥",2025-07-21T14:01:51.836Z,175310651183604
"Player stacks: #1 ""Hibari @ gG60J3OV2j"" (2524) | #2 ""IAMB @ gjmiQ4-uAW"" (3666) | #4 ""arash! @ OkLShdB9P8"" (2785) | #7 ""とーち @ OCY4-ehNwS"" (3350) | #8 ""Sabosuke @ MVXfdWmNdY"" (2445) | #9 ""gatari @ mEacMqQQT2"" (1729)",2025-07-21T14:01:51.836Z,175310651183601
"-- starting hand #102 (id: bwsswvtkr0s2)  (No Limit Texas Hold'em) (dealer: ""IAMB @ gjmiQ4-uAW"") --",2025-07-21T14:01:51.836Z,175310651183600
"-- ending hand #101 --",2025-07-21T14:01:48.913Z,175310650891302
"""gatari @ mEacMqQQT2"" collected 50 from pot",2025-07-21T14:01:48.913Z,175310650891301
"Uncalled bet of 30 returned to ""gatari @ mEacMqQQT2""",2025-07-21T14:01:48.913Z,175310650891300
"""arash! @ OkLShdB9P8"" folds",2025-07-21T14:01:48.108Z,175310650810800
"""IAMB @ gjmiQ4-uAW"" folds",2025-07-21T14:01:44.235Z,175310650423500
"""Hibari @ gG60J3OV2j"" folds",2025-07-21T14:01:42.316Z,175310650231600
"""gatari @ mEacMqQQT2"" raises to 50",2025-07-21T14:01:41.301Z,175310650130100
"""Sabosuke @ MVXfdWmNdY"" folds",2025-07-21T14:01:36.015Z,175310649601500
"""とーち @ OCY4-ehNwS"" folds",2025-07-21T14:01:34.871Z,175310649487100
"""arash! @ OkLShdB9P8"" posts a big blind of 20",2025-07-21T14:01:30.322Z,175310649032210
"""IAMB @ gjmiQ4-uAW"" posts a small blind of 10",2025-07-21T14:01:30.322Z,175310649032209
"Your hand is A♦, 5♠",2025-07-21T14:01:30.322Z,175310649032205
"Player stacks: #1 ""Hibari @ gG60J3OV2j"" (2524) | #2 ""IAMB @ gjmiQ4-uAW"" (3676) | #4 ""arash! @ OkLShdB9P8"" (2805) | #7 ""とーち @ OCY4-ehNwS"" (3350) | #8 ""Sabosuke @ MVXfdWmNdY"" (2445) | #9 ""gatari @ mEacMqQQT2"" (1699)",2025-07-21T14:01:30.322Z,175310649032202
