entry,at,order
"-- ending hand #170 --",2025-07-27T14:02:23.084Z,175362494308402
"""arash! @ OHWoWLqWap"" collected 130 from pot",2025-07-27T14:02:23.084Z,175362494308401
"Uncalled bet of 40 returned to ""arash! @ OHWoWLqWap""",2025-07-27T14:02:23.084Z,175362494308400
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-27T14:02:22.272Z,175362494227200
"""arash! @ OHWoWLqWap"" bets 40",2025-07-27T14:02:19.806Z,175362493980600
"""パンドラ @ YWl-be_cZ6"" checks",2025-07-27T14:02:16.182Z,175362493618200
"Flop:  [9♥, 6♦, A♥]",2025-07-27T14:02:12.477Z,175362493247700
"""パンドラ @ YWl-be_cZ6"" calls 60",2025-07-27T14:02:11.628Z,175362493162800
"""Doc @ rNZKJiwrNl"" folds",2025-07-27T14:02:09.872Z,175362492987200
"""arash! @ OHWoWLqWap"" raises to 60",2025-07-27T14:02:08.806Z,175362492880600
"""ねくと @ ghJwIbOflM"" folds",2025-07-27T14:02:05.334Z,175362492533400
"The admin ""arash! @ OHWoWLqWap"" enqueued the game stop on next hand.",2025-07-27T14:02:04.317Z,175362492431700
"""sigma @ yHZrsG6l5j"" folds",2025-07-27T14:02:04.301Z,175362492430100
"""さとうき @ XvV199EQBF"" folds",2025-07-27T14:02:00.338Z,175362492033800
"""パンドラ @ YWl-be_cZ6"" posts a big blind of 20",2025-07-27T14:01:58.660Z,175362491866009
"""Doc @ rNZKJiwrNl"" posts a small blind of 10",2025-07-27T14:01:58.660Z,175362491866008
"Your hand is 10♠, 5♠",2025-07-27T14:01:58.660Z,175362491866006
"Player stacks: #2 ""パンドラ @ YWl-be_cZ6"" (3000) | #3 ""さとうき @ XvV199EQBF"" (2315) | #4 ""sigma @ yHZrsG6l5j"" (2430) | #5 ""ねくと @ ghJwIbOflM"" (3455) | #9 ""arash! @ OHWoWLqWap"" (2590) | #10 ""Doc @ rNZKJiwrNl"" (2626)",2025-07-27T14:01:58.660Z,175362491866001
"-- starting hand #170 (id: af1ifidkvoj4)  (No Limit Texas Hold'em) (dealer: ""arash! @ OHWoWLqWap"") --",2025-07-27T14:01:58.660Z,175362491866000
"""Doc @ rNZKJiwrNl"" shows a 7♦, 10♦.",2025-07-27T14:01:56.679Z,175362491667900
"-- ending hand #169 --",2025-07-27T14:01:55.041Z,175362491504102
"""Doc @ rNZKJiwrNl"" collected 182 from pot",2025-07-27T14:01:55.041Z,175362491504101
"Uncalled bet of 230 returned to ""Doc @ rNZKJiwrNl""",2025-07-27T14:01:55.041Z,175362491504100
"""sigma @ yHZrsG6l5j"" folds",2025-07-27T14:01:54.193Z,175362491419300
"""Doc @ rNZKJiwrNl"" bets 230",2025-07-27T14:00:56.127Z,175362485612700
"River: J♥, Q♥, 10♣, 9♣ [8♠]",2025-07-27T14:00:26.776Z,175362482677600
"""sigma @ yHZrsG6l5j"" checks",2025-07-27T14:00:25.970Z,175362482597000
"""Doc @ rNZKJiwrNl"" checks",2025-07-27T14:00:08.913Z,175362480891300
"Turn: J♥, Q♥, 10♣ [9♣]",2025-07-27T14:00:05.217Z,175362480521700
"""Doc @ rNZKJiwrNl"" calls 36",2025-07-27T14:00:04.395Z,175362480439500
"""sigma @ yHZrsG6l5j"" bets 36",2025-07-27T13:59:37.497Z,175362477749700
"""Doc @ rNZKJiwrNl"" checks",2025-07-27T13:59:30.835Z,175362477083500
"Flop:  [J♥, Q♥, 10♣]",2025-07-27T13:59:26.910Z,175362476691000
"""Doc @ rNZKJiwrNl"" calls 50",2025-07-27T13:59:26.076Z,175362476607600
"""arash! @ OHWoWLqWap"" folds",2025-07-27T13:59:23.037Z,175362476303700
"""ねくと @ ghJwIbOflM"" folds",2025-07-27T13:59:19.220Z,175362475922000
"""sigma @ yHZrsG6l5j"" raises to 50",2025-07-27T13:59:18.115Z,175362475811500
"""さとうき @ XvV199EQBF"" folds",2025-07-27T13:59:10.447Z,175362475044700
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-27T13:59:09.421Z,175362474942100
"""Doc @ rNZKJiwrNl"" posts a big blind of 20",2025-07-27T13:59:08.084Z,175362474808409
"""arash! @ OHWoWLqWap"" posts a small blind of 10",2025-07-27T13:59:08.084Z,175362474808408
"Your hand is 10♥, K♦",2025-07-27T13:59:08.084Z,175362474808406
"Player stacks: #2 ""パンドラ @ YWl-be_cZ6"" (3000) | #3 ""さとうき @ XvV199EQBF"" (2315) | #4 ""sigma @ yHZrsG6l5j"" (2516) | #5 ""ねくと @ ghJwIbOflM"" (3455) | #9 ""arash! @ OHWoWLqWap"" (2600) | #10 ""Doc @ rNZKJiwrNl"" (2530)",2025-07-27T13:59:08.084Z,175362474808401
"-- starting hand #169 (id: m5k9qh7ezf2q)  (No Limit Texas Hold'em) (dealer: ""ねくと @ ghJwIbOflM"") --",2025-07-27T13:59:08.084Z,175362474808400
"-- ending hand #168 --",2025-07-27T13:59:05.178Z,175362474517802
"""Doc @ rNZKJiwrNl"" collected 50 from pot",2025-07-27T13:59:05.178Z,175362474517801
"Uncalled bet of 20 returned to ""Doc @ rNZKJiwrNl""",2025-07-27T13:59:05.178Z,175362474517800
"""arash! @ OHWoWLqWap"" folds",2025-07-27T13:59:04.373Z,175362474437300
"""ねくと @ ghJwIbOflM"" folds",2025-07-27T13:59:00.268Z,175362474026800
"""sigma @ yHZrsG6l5j"" folds",2025-07-27T13:58:55.764Z,175362473576400
"""さとうき @ XvV199EQBF"" folds",2025-07-27T13:58:54.694Z,175362473469400
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-27T13:58:53.617Z,175362473361700
"""Doc @ rNZKJiwrNl"" raises to 40",2025-07-27T13:58:52.541Z,175362473254100
"""arash! @ OHWoWLqWap"" posts a big blind of 20",2025-07-27T13:58:47.547Z,175362472754711
"""ねくと @ ghJwIbOflM"" posts a small blind of 10",2025-07-27T13:58:47.547Z,175362472754710
"Your hand is A♠, 5♦",2025-07-27T13:58:47.547Z,175362472754708
"Player stacks: #2 ""パンドラ @ YWl-be_cZ6"" (3000) | #3 ""さとうき @ XvV199EQBF"" (2315) | #4 ""sigma @ yHZrsG6l5j"" (2516) | #5 ""ねくと @ ghJwIbOflM"" (3465) | #9 ""arash! @ OHWoWLqWap"" (2620) | #10 ""Doc @ rNZKJiwrNl"" (2500)",2025-07-27T13:58:47.547Z,175362472754703
"-- starting hand #168 (id: laulxfm2xzn5)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-07-27T13:58:47.547Z,175362472754702
"The player ""Doc @ rNZKJiwrNl"" joined the game with a stack of 2500.",2025-07-27T13:58:47.547Z,175362472754701
"The admin updated the player ""パンドラ @ YWl-be_cZ6"" stack from 8785 to 3000.",2025-07-27T13:58:47.547Z,175362472754700
"-- ending hand #167 --",2025-07-27T13:58:44.638Z,175362472463802
"""ねくと @ ghJwIbOflM"" collected 150 from pot",2025-07-27T13:58:44.638Z,175362472463801
"Uncalled bet of 200 returned to ""ねくと @ ghJwIbOflM""",2025-07-27T13:58:44.638Z,175362472463800
"""arash! @ OHWoWLqWap"" folds",2025-07-27T13:58:43.800Z,175362472380000
"""ねくと @ ghJwIbOflM"" bets 200",2025-07-27T13:58:30.086Z,175362471008600
"River: 7♦, 4♦, J♣, Q♦ [9♥]",2025-07-27T13:58:05.515Z,175362468551500
"""arash! @ OHWoWLqWap"" checks",2025-07-27T13:58:04.662Z,175362468466200
"""ねくと @ ghJwIbOflM"" checks",2025-07-27T13:57:50.177Z,175362467017700
"Turn: 7♦, 4♦, J♣ [Q♦]",2025-07-27T13:57:48.646Z,175362466864600
"""ねくと @ ghJwIbOflM"" calls 30",2025-07-27T13:57:47.796Z,175362466779600
"""arash! @ OHWoWLqWap"" bets 30",2025-07-27T13:57:34.999Z,175362465499900
"""ねくと @ ghJwIbOflM"" checks",2025-07-27T13:57:28.352Z,175362464835200
"Flop:  [7♦, 4♦, J♣]",2025-07-27T13:57:17.833Z,175362463783300
"""ねくと @ ghJwIbOflM"" calls 40",2025-07-27T13:57:17.000Z,175362463700000
"The admin approved the player ""Doc @ rNZKJiwrNl"" participation with a stack of 2500.",2025-07-27T13:57:16.712Z,175362463671200
"""sigma @ yHZrsG6l5j"" folds",2025-07-27T13:57:13.872Z,175362463387200
"""さとうき @ XvV199EQBF"" folds",2025-07-27T13:57:12.855Z,175362463285500
"WARNING: the admin queued the stack change for the player ""パンドラ @ YWl-be_cZ6"" reseting to 3000 chips in the next hand.",2025-07-27T13:57:09.047Z,175362462904700
"The player ""Doc @ rNZKJiwrNl"" requested a seat.",2025-07-27T13:57:07.214Z,175362462721400
"""パンドラ @ YWl-be_cZ6"" folds",2025-07-27T13:57:03.530Z,175362462353000
"""arash! @ OHWoWLqWap"" raises to 40",2025-07-27T13:57:00.486Z,175362462048600
"""ねくと @ ghJwIbOflM"" posts a big blind of 20",2025-07-27T13:56:57.843Z,175362461784309
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-07-27T13:56:57.843Z,175362461784308
"Your hand is A♣, J♥",2025-07-27T13:56:57.843Z,175362461784307
"Player stacks: #2 ""パンドラ @ YWl-be_cZ6"" (8785) | #3 ""さとうき @ XvV199EQBF"" (2315) | #4 ""sigma @ yHZrsG6l5j"" (2526) | #5 ""ねくと @ ghJwIbOflM"" (3385) | #9 ""arash! @ OHWoWLqWap"" (2690)",2025-07-27T13:56:57.843Z,175362461784302
"-- starting hand #167 (id: hkslqxoz7rd2)  (No Limit Texas Hold'em) (dealer: ""さとうき @ XvV199EQBF"") --",2025-07-27T13:56:57.843Z,175362461784301
"The player ""Doc @ rNZKJiwrNl"" quits the game with a stack of 0.",2025-07-27T13:56:57.843Z,175362461784300
"-- ending hand #166 --",2025-07-27T13:56:51.821Z,175362461182103
"""パンドラ @ YWl-be_cZ6"" collected 6270 from pot with Two Pair, K's & Q's (combination: K♣, K♠, Q♠, Q♦, A♠)",2025-07-27T13:56:51.821Z,175362461182102
"""パンドラ @ YWl-be_cZ6"" shows a K♣, A♠.",2025-07-27T13:56:51.821Z,175362461182101
"""Doc @ rNZKJiwrNl"" shows a 10♥, 10♠.",2025-07-27T13:56:51.821Z,175362461182100
"""パンドラ @ YWl-be_cZ6"" calls 2360",2025-07-27T13:56:51.017Z,175362461101700
"""Doc @ rNZKJiwrNl"" bets 2360 and go all in",2025-07-27T13:56:20.979Z,175362458097900
"River: Q♠, 7♠, 9♥, K♠ [Q♦]",2025-07-27T13:56:17.788Z,175362457778800
"""パンドラ @ YWl-be_cZ6"" calls 620",2025-07-27T13:56:16.971Z,175362457697100
"""Doc @ rNZKJiwrNl"" bets 620",2025-07-27T13:56:01.035Z,175362456103500
"Turn: Q♠, 7♠, 9♥ [K♠]",2025-07-27T13:55:48.737Z,175362454873700
"""パンドラ @ YWl-be_cZ6"" checks",2025-07-27T13:55:47.932Z,175362454793200
"""Doc @ rNZKJiwrNl"" checks",2025-07-27T13:55:36.383Z,175362453638300
