player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sigma",yHZrsG6l5j,2025-07-27T13:26:39.881Z,,2500,,2773,273
"Teto",Nk2GHhGRWB,2025-07-27T12:45:33.133Z,2025-07-27T13:51:03.707Z,2610,3002,0,392
"mo'",-WgKDrZMvL,2025-07-27T12:26:12.678Z,,6052,,2500,-3552
"GIL RAIM",Oo-rx1G24B,2025-07-27T12:11:37.139Z,2025-07-27T13:21:53.654Z,2500,1868,0,-632
"GIL RAIM",Oo-rx1G24B,2025-07-27T11:24:45.019Z,2025-07-27T11:50:48.060Z,2500,0,0,-2500
"GIL RAIM",Oo-rx1G24B,2025-07-27T11:21:19.554Z,2025-07-27T11:23:35.866Z,2000,0,0,-2000
"Ene",7kPHYByVxS,2025-07-27T11:18:55.150Z,2025-07-27T12:11:55.857Z,3702,5235,0,1533
"sy",43AKXLrQ21,2025-07-27T11:17:56.014Z,,3654,,2500,-1154
"mo'",-WgKDrZMvL,2025-07-27T11:07:59.487Z,2025-07-27T11:44:52.501Z,2500,0,0,-2500
"こうちゃん",4oZPV-yofs,2025-07-27T11:06:26.767Z,2025-07-27T13:22:46.857Z,2500,5210,0,2710
"Hibari",gG60J3OV2j,2025-07-27T11:06:26.764Z,,3000,,3596,596
"パンドラ",pL49LPNYjQ,2025-07-27T11:03:33.285Z,,3000,2330,2885,2215
"るも",7n59-giX1P,2025-07-27T11:00:19.719Z,2025-07-27T11:25:55.080Z,2500,2371,0,-129
"arash!",OkLShdB9P8,2025-07-27T11:00:19.717Z,,3000,6326,2815,6141
"ノガード",dlzwhIfu_I,2025-07-27T11:00:19.713Z,,3950,,2557,-1393
