entry,at,order
"-- ending hand #208 --",2025-07-27T14:02:15.966Z,175362493596602
"""Hibari @ gG60J3OV2j"" collected 50 from pot",2025-07-27T14:02:15.966Z,175362493596601
"Uncalled bet of 20 returned to ""Hibari @ gG60J3OV2j""",2025-07-27T14:02:15.966Z,175362493596600
"""sigma @ yHZrsG6l5j"" folds",2025-07-27T14:02:15.134Z,175362493513400
"""arash! @ OkLShdB9P8"" folds",2025-07-27T14:02:12.441Z,175362493244100
"""mo' @ -WgKDrZMvL"" folds",2025-07-27T14:02:09.847Z,175362492984700
"""ノガード @ dlzwhIfu_I"" folds",2025-07-27T14:02:08.781Z,175362492878100
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-07-27T14:02:08.761Z,175362492876100
"""Hibari @ gG60J3OV2j"" raises to 40",2025-07-27T14:02:07.739Z,175362492773900
"""パンドラ @ pL49LPNYjQ"" folds",2025-07-27T14:02:04.056Z,175362492405600
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-07-27T14:02:01.277Z,175362492127710
"""arash! @ OkLShdB9P8"" posts a small blind of 10",2025-07-27T14:02:01.277Z,175362492127709
"Your hand is J♠, K♥",2025-07-27T14:02:01.277Z,175362492127707
"Player stacks: #1 ""パンドラ @ pL49LPNYjQ"" (2885) | #2 ""Hibari @ gG60J3OV2j"" (3566) | #5 ""ノガード @ dlzwhIfu_I"" (2557) | #7 ""mo' @ -WgKDrZMvL"" (2500) | #9 ""arash! @ OkLShdB9P8"" (2825) | #10 ""sigma @ yHZrsG6l5j"" (2793)",2025-07-27T14:02:01.277Z,175362492127702
"-- starting hand #208 (id: qktmteybhab6)  (No Limit Texas Hold'em) (dealer: ""mo' @ -WgKDrZMvL"") --",2025-07-27T14:02:01.277Z,175362492127701
"The admin updated the player ""mo' @ -WgKDrZMvL"" stack from 1835 to 2500.",2025-07-27T14:02:01.277Z,175362492127700
"-- ending hand #207 --",2025-07-27T14:01:58.351Z,175362491835102
"""sigma @ yHZrsG6l5j"" collected 220 from pot",2025-07-27T14:01:58.351Z,175362491835101
"Uncalled bet of 160 returned to ""sigma @ yHZrsG6l5j""",2025-07-27T14:01:58.351Z,175362491835100
"""arash! @ OkLShdB9P8"" folds",2025-07-27T14:01:57.533Z,175362491753300
"""sigma @ yHZrsG6l5j"" bets 160",2025-07-27T14:01:46.443Z,175362490644300
"""arash! @ OkLShdB9P8"" checks",2025-07-27T14:00:59.511Z,175362485951100
"Turn: 9♦, 5♥, 10♣ [4♣]",2025-07-27T14:00:57.622Z,175362485762200
"""arash! @ OkLShdB9P8"" calls 55",2025-07-27T14:00:56.815Z,175362485681500
"""sigma @ yHZrsG6l5j"" bets 55",2025-07-27T14:00:50.429Z,175362485042900
"""arash! @ OkLShdB9P8"" checks",2025-07-27T14:00:26.977Z,175362482697700
"Flop:  [9♦, 5♥, 10♣]",2025-07-27T14:00:16.927Z,175362481692700
