entry,at,order
"-- ending hand #190 --",2025-08-04T14:00:19.806Z,175431601980602
"""GIL RAIM @ Oo-rx1G24B"" collected 50 from pot",2025-08-04T14:00:19.806Z,175431601980601
"Uncalled bet of 40 returned to ""GIL RAIM @ Oo-rx1G24B""",2025-08-04T14:00:19.806Z,175431601980600
"""パンドラ @ YWl-be_cZ6"" folds",2025-08-04T14:00:18.988Z,175431601898800
"""ノガード @ dlzwhIfu_I"" folds",2025-08-04T14:00:15.880Z,175431601588000
"""konasho @ f_d8ebrXPg"" folds",2025-08-04T14:00:14.837Z,175431601483700
"""Ramune @ QBTw2JRIw5"" folds",2025-08-04T14:00:13.716Z,175431601371600
"""sigma @ yHZrsG6l5j"" folds",2025-08-04T14:00:12.709Z,175431601270900
"""GIL RAIM @ Oo-rx1G24B"" raises to 60",2025-08-04T14:00:10.282Z,175431601028200
"""goto-neo @ DEsmp5YN9f"" folds",2025-08-04T14:00:04.134Z,175431600413400
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-08-04T14:00:03.678Z,175431600367800
"""Hibari @ gG60J3OV2j"" folds",2025-08-04T14:00:03.107Z,175431600310700
"""パンドラ @ YWl-be_cZ6"" posts a big blind of 20",2025-08-04T13:59:59.384Z,175431599938411
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-08-04T13:59:59.384Z,175431599938410
"Your hand is 2♥, 8♥",2025-08-04T13:59:59.384Z,175431599938406
"Player stacks: #1 ""パンドラ @ YWl-be_cZ6"" (1970) | #3 ""Hibari @ gG60J3OV2j"" (2745) | #5 ""goto-neo @ DEsmp5YN9f"" (2465) | #6 ""GIL RAIM @ Oo-rx1G24B"" (2755) | #7 ""sigma @ yHZrsG6l5j"" (2324) | #8 ""Ramune @ QBTw2JRIw5"" (3758) | #9 ""konasho @ f_d8ebrXPg"" (2827) | #10 ""ノガード @ dlzwhIfu_I"" (2480)",2025-08-04T13:59:59.384Z,175431599938401
"-- starting hand #190 (id: wjcmdgojqei4)  (No Limit Texas Hold'em) (dealer: ""konasho @ f_d8ebrXPg"") --",2025-08-04T13:59:59.384Z,175431599938400
"-- ending hand #189 --",2025-08-04T13:59:56.451Z,175431599645102
"""Ramune @ QBTw2JRIw5"" collected 2110 from pot",2025-08-04T13:59:56.451Z,175431599645101
"Uncalled bet of 1648 returned to ""Ramune @ QBTw2JRIw5""",2025-08-04T13:59:56.451Z,175431599645100
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-08-04T13:59:55.638Z,175431599563800
"""Ramune @ QBTw2JRIw5"" bets 1648 and go all in",2025-08-04T13:59:53.703Z,175431599370300
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-08-04T13:59:49.813Z,175431598981300
"River: 8♥, J♣, 10♥, 10♣ [3♦]",2025-08-04T13:59:46.586Z,175431598658600
"""GIL RAIM @ Oo-rx1G24B"" calls 641",2025-08-04T13:59:45.777Z,175431598577700
