player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Doc",rNZKJiwrNl,2025-08-04T12:54:34.720Z,,3761,,3002,-759
"Hibari",gG60J3OV2j,2025-08-04T12:42:23.621Z,,3000,,2049,-951
"RyeBarat麦",LdZ5WDRqVB,2025-08-04T12:36:16.417Z,2025-08-04T13:25:08.025Z,3775,2860,0,-915
"RyeBarat",LdZ5WDRqVB,2025-08-04T12:27:14.464Z,2025-08-04T12:28:05.978Z,3000,3000,0,0
"Hibari",gG60J3OV2j,2025-08-04T12:19:14.413Z,2025-08-04T12:36:16.414Z,3000,0,0,-3000
"るも",7n59-giX1P,2025-08-04T12:15:49.730Z,,2500,2792,2732,3024
"とーち",OCY4-ehNwS,2025-08-04T12:10:24.138Z,,2500,1601,2683,1784
"sigma",yHZrsG6l5j,2025-08-04T12:06:19.763Z,,2500,,2904,404
"こうちゃん",GZ5hCGHCjq,2025-08-04T12:06:19.760Z,2025-08-04T13:23:03.294Z,3291,2530,0,-761
"パンドラ",pL49LPNYjQ,2025-08-04T12:06:19.765Z,,3000,815,3444,1259
"mo'",-WgKDrZMvL,2025-08-04T12:06:19.758Z,,2500,,2415,-85
