entry,at,order
"The player ""とーち @ OCY4-ehNwS"" stand up with the stack of 2683.",2025-08-04T14:01:08.557Z,175431606855700
"-- ending hand #118 --",2025-08-04T14:01:05.654Z,175431606565402
"""sigma @ yHZrsG6l5j"" collected 110 from pot",2025-08-04T14:01:05.654Z,175431606565401
"Uncalled bet of 36 returned to ""sigma @ yHZrsG6l5j""",2025-08-04T14:01:05.654Z,175431606565400
"""Hibari @ gG60J3OV2j"" folds",2025-08-04T14:01:04.825Z,175431606482500
"""sigma @ yHZrsG6l5j"" bets 36",2025-08-04T14:01:00.621Z,175431606062100
"""Hibari @ gG60J3OV2j"" checks",2025-08-04T14:00:53.525Z,175431605352500
"Flop:  [7♣, 6♦, K♠]",2025-08-04T14:00:50.801Z,175431605080100
"""Hibari @ gG60J3OV2j"" calls 50",2025-08-04T14:00:49.998Z,175431604999800
"""mo' @ -WgKDrZMvL"" folds",2025-08-04T14:00:41.133Z,175431604113300
"""とーち @ OCY4-ehNwS"" folds",2025-08-04T14:00:39.819Z,175431603981900
"""るも @ 7n59-giX1P"" folds",2025-08-04T14:00:38.983Z,175431603898300
"""パンドラ @ pL49LPNYjQ"" folds",2025-08-04T14:00:37.796Z,175431603779600
"""Doc @ rNZKJiwrNl"" folds",2025-08-04T14:00:36.463Z,175431603646300
"""sigma @ yHZrsG6l5j"" raises to 50",2025-08-04T14:00:35.224Z,175431603522400
"The admin ""mo' @ -WgKDrZMvL"" enqueued the game stop on next hand.",2025-08-04T14:00:29.745Z,175431602974500
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2025-08-04T14:00:29.011Z,175431602901110
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-08-04T14:00:29.011Z,175431602901109
"Your hand is A♥, 10♥",2025-08-04T14:00:29.011Z,175431602901104
"Player stacks: #1 ""mo' @ -WgKDrZMvL"" (2425) | #2 ""Hibari @ gG60J3OV2j"" (2099) | #4 ""sigma @ yHZrsG6l5j"" (2844) | #6 ""Doc @ rNZKJiwrNl"" (3002) | #7 ""パンドラ @ pL49LPNYjQ"" (3444) | #8 ""るも @ 7n59-giX1P"" (2732) | #9 ""とーち @ OCY4-ehNwS"" (2683)",2025-08-04T14:00:29.011Z,175431602901101
"-- starting hand #118 (id: cbvjpzuklttu)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-08-04T14:00:29.011Z,175431602901100
"-- ending hand #117 --",2025-08-04T14:00:26.070Z,175431602607002
"""とーち @ OCY4-ehNwS"" collected 480 from pot",2025-08-04T14:00:26.070Z,175431602607001
