player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"わた",wX6LJEu-P9,2025-08-11T13:58:40.073Z,,3000,,2970,-30
"arash!",OHWoWLqWap,2025-08-11T13:42:26.603Z,,3000,3020,3100,3120
"Doc",rNZKJiwrNl,2025-08-11T13:25:23.250Z,,2500,,2677,177
"わた",wX6LJEu-P9,2025-08-11T12:38:06.693Z,2025-08-11T13:57:57.634Z,6816,7509,0,693
"77",tKAQniNTv7,2025-08-11T12:31:39.460Z,2025-08-11T13:38:20.146Z,3930,0,0,-3930
"Agu",Figi6mUf2R,2025-08-11T12:18:35.025Z,2025-08-11T13:06:43.827Z,3000,3454,0,454
"RyeBarat麦",LdZ5WDRqVB,2025-08-11T11:58:36.931Z,2025-08-11T12:14:26.506Z,2525,0,0,-2525
"Agu",Figi6mUf2R,2025-08-11T11:36:43.156Z,2025-08-11T11:37:19.608Z,3000,3000,0,0
"Doc",rNZKJiwrNl,2025-08-11T11:17:42.536Z,2025-08-11T13:23:19.323Z,3025,2770,0,-255
"こうちゃん",GZ5hCGHCjq,2025-08-11T11:16:43.218Z,2025-08-11T12:46:03.671Z,4960,2905,0,-2055
"Hibari",W8YavHzibV,2025-08-11T11:15:45.894Z,2025-08-11T11:59:37.254Z,4979,3000,0,-1979
"とーち",OCY4-ehNwS,2025-08-11T11:13:20.293Z,2025-08-11T11:36:43.144Z,2500,2640,0,140
"IAMB",gjmiQ4-uAW,2025-08-11T11:13:20.287Z,,4686,1974,2490,-222
"パンドラ",pL49LPNYjQ,2025-08-11T11:13:20.277Z,,3000,7681,2190,6871
"ノガード",dlzwhIfu_I,2025-08-11T11:13:20.290Z,,3240,,2781,-459
