entry,at,order
"""arash! @ OHWoWLqWap"" shows a Q♣, K♦.",2025-08-11T14:04:41.420Z,175492108142000
"""パンドラ @ pL49LPNYjQ"" shows a 9♥, 2♥.",2025-08-11T14:04:39.374Z,175492107937400
"-- ending hand #207 --",2025-08-11T14:04:38.176Z,175492107817602
"""arash! @ OHWoWLqWap"" collected 710 from pot",2025-08-11T14:04:38.176Z,175492107817601
"Uncalled bet of 532 returned to ""arash! @ OHWoWLqWap""",2025-08-11T14:04:38.176Z,175492107817600
"""パンドラ @ pL49LPNYjQ"" folds",2025-08-11T14:04:37.336Z,175492107733600
"""arash! @ OHWoWLqWap"" bets 532",2025-08-11T14:04:27.975Z,175492106797500
"""パンドラ @ pL49LPNYjQ"" checks",2025-08-11T14:02:09.722Z,175492092972200
"River: 2♣, 8♥, K♠, 9♠ [8♦]",2025-08-11T14:02:02.307Z,175492092230700
"""パンドラ @ pL49LPNYjQ"" calls 250",2025-08-11T14:02:01.455Z,175492092145500
"""arash! @ OHWoWLqWap"" bets 250",2025-08-11T14:01:41.716Z,175492090171600
"""パンドラ @ pL49LPNYjQ"" checks",2025-08-11T14:01:13.736Z,175492087373600
"Turn: 2♣, 8♥, K♠ [9♠]",2025-08-11T14:01:09.217Z,175492086921700
"""パンドラ @ pL49LPNYjQ"" calls 40",2025-08-11T14:01:08.406Z,175492086840600
"""arash! @ OHWoWLqWap"" bets 40",2025-08-11T14:01:01.443Z,175492086144300
"""パンドラ @ pL49LPNYjQ"" checks",2025-08-11T14:00:55.397Z,175492085539700
"Flop:  [2♣, 8♥, K♠]",2025-08-11T14:00:51.609Z,175492085160900
"""パンドラ @ pL49LPNYjQ"" calls 60",2025-08-11T14:00:50.799Z,175492085079900
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-08-11T14:00:48.319Z,175492084831900
"""Doc @ rNZKJiwrNl"" folds",2025-08-11T14:00:45.583Z,175492084558300
"""わた @ wX6LJEu-P9"" folds",2025-08-11T14:00:44.392Z,175492084439200
"""arash! @ OHWoWLqWap"" raises to 60",2025-08-11T14:00:42.815Z,175492084281500
"""ノガード @ dlzwhIfu_I"" folds",2025-08-11T14:00:39.763Z,175492083976300
"""IAMB @ gjmiQ4-uAW"" folds",2025-08-11T14:00:38.614Z,175492083861400
"""パンドラ @ pL49LPNYjQ"" posts a big blind of 20",2025-08-11T14:00:36.992Z,175492083699209
"""Doc @ rNZKJiwrNl"" posts a small blind of 10",2025-08-11T14:00:36.992Z,175492083699208
"Your hand is Q♣, K♦",2025-08-11T14:00:36.992Z,175492083699207
"Player stacks: #1 ""わた @ wX6LJEu-P9"" (2970) | #3 ""Doc @ rNZKJiwrNl"" (2687) | #4 ""パンドラ @ pL49LPNYjQ"" (2540) | #5 ""IAMB @ gjmiQ4-uAW"" (2490) | #6 ""ノガード @ dlzwhIfu_I"" (2781) | #7 ""arash! @ OHWoWLqWap"" (2740)",2025-08-11T14:00:36.992Z,175492083699201
"-- starting hand #207 (id: 0v7xocrrlqgl)  (No Limit Texas Hold'em) (dealer: ""わた @ wX6LJEu-P9"") --",2025-08-11T14:00:36.992Z,175492083699200
"-- ending hand #206 --",2025-08-11T14:00:30.971Z,175492083097103
"""Doc @ rNZKJiwrNl"" collected 260 from pot with Pair, Q's (combination: Q♥, Q♣, K♠, 10♦, 7♥)",2025-08-11T14:00:30.971Z,175492083097102
"""Doc @ rNZKJiwrNl"" shows a Q♥, 7♥.",2025-08-11T14:00:30.971Z,175492083097101
"""ノガード @ dlzwhIfu_I"" shows a 10♥, A♥.",2025-08-11T14:00:30.971Z,175492083097100
"""Doc @ rNZKJiwrNl"" calls 75",2025-08-11T14:00:30.166Z,175492083016600
"""ノガード @ dlzwhIfu_I"" bets 75",2025-08-11T14:00:28.026Z,175492082802600
"""Doc @ rNZKJiwrNl"" checks",2025-08-11T14:00:15.169Z,175492081516900
"River: 10♦, Q♣, K♠, 3♠ [6♦]",2025-08-11T14:00:03.876Z,175492080387600
"""ノガード @ dlzwhIfu_I"" checks",2025-08-11T14:00:02.955Z,175492080295500
"""Doc @ rNZKJiwrNl"" checks",2025-08-11T13:59:55.975Z,175492079597500
"Turn: 10♦, Q♣, K♠ [3♠]",2025-08-11T13:59:46.985Z,175492078698500
"""ノガード @ dlzwhIfu_I"" checks",2025-08-11T13:59:46.178Z,175492078617800
"""Doc @ rNZKJiwrNl"" checks",2025-08-11T13:59:37.069Z,175492077706900
"Flop:  [10♦, Q♣, K♠]",2025-08-11T13:59:34.315Z,175492077431500
