player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sigma",yHZrsG6l5j,2025-08-11T13:32:59.503Z,,2500,1500,3000,2000
"Sabosuke",d0D86iQ5gg,2025-08-11T13:13:22.439Z,,5490,,2990,-2500
"マツケン",eYO1CvV4v9,2025-08-11T11:39:22.751Z,2025-08-11T14:04:26.123Z,3680,2734,0,-946
"IAMB",gjmiQ4-uAW,2025-08-11T11:38:12.853Z,2025-08-11T14:03:35.795Z,2500,5239,0,2739
"るも",7n59-giX1P,2025-08-11T11:38:12.851Z,,4234,1165,2920,-149
"Ramune",soKGYfNQsD,2025-08-11T11:36:45.609Z,2025-08-11T14:03:08.174Z,2820,3821,0,1001
"haruto",G1SKX0jk7u,2025-08-11T11:36:45.613Z,2025-08-11T12:52:11.130Z,2400,2391,0,-9
"とーち",OCY4-ehNwS,2025-08-11T11:36:45.625Z,2025-08-11T14:03:14.028Z,2500,1562,0,-938
"Agu",Figi6mUf2R,2025-08-11T11:36:45.622Z,2025-08-11T13:11:26.549Z,3000,3188,0,188
"arash!",OHWoWLqWap,2025-08-11T11:36:45.618Z,,5438,1022,3030,-1386
