player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"tanishi",K39Tra2qGg,2025-08-18T13:06:40.286Z,2025-08-18T14:01:02.903Z,2000,1530,0,-470
"粗茶",GtqOGZOqIV,2025-08-18T12:50:29.505Z,,3150,,2700,-450
"こうちゃん",4oZPV-yofs,2025-08-18T11:49:43.975Z,2025-08-18T12:59:44.837Z,3000,2110,0,-890
"ノガード",dlzwhIfu_I,2025-08-18T11:30:20.899Z,,3850,,2900,-950
"sigma",yHZrsG6l5j,2025-08-18T11:21:27.150Z,,2500,2045,3050,2595
"Ramune",soKGYfNQsD,2025-08-18T11:11:52.709Z,2025-08-18T11:41:21.224Z,3000,5943,0,2943
"るも",7n59-giX1P,2025-08-18T11:06:38.726Z,2025-08-18T11:36:32.624Z,3000,2942,0,-58
"MasatoM",Zvgc3jh8lw,2025-08-18T11:02:31.288Z,2025-08-18T11:36:12.493Z,3000,3040,0,40
"パンドラ",YWl-be_cZ6,2025-08-18T11:02:31.286Z,,3143,1693,3110,1660
"とーち",hig4fvwo_m,2025-08-18T11:00:47.097Z,,2500,,2220,-280
"tanishi",K39Tra2qGg,2025-08-18T11:00:47.090Z,2025-08-18T12:59:44.833Z,3192,1243,0,-1949
"goto-neo",DEsmp5YN9f,2025-08-18T11:00:47.086Z,,3000,,3309,309
"ノガード",dlzwhIfu_I,2025-08-18T11:00:47.094Z,2025-08-18T11:29:47.533Z,2500,0,0,-2500
