player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"カイン",fcHKjLeyz-,2025-08-25T13:51:50.636Z,2025-08-25T14:01:10.640Z,2000,2050,0,50
"arash!",lSXafQ4XJ9,2025-08-25T12:56:45.331Z,,3000,,3132,132
"Doc",rNZKJiwrNl,2025-08-25T12:56:45.328Z,,3215,,2405,-810
"ばどえあー",cAulXwsuYc,2025-08-25T12:51:32.160Z,2025-08-25T14:01:10.635Z,2597,2460,0,-137
"カイン",fcHKjLeyz-,2025-08-25T12:49:43.139Z,2025-08-25T13:49:38.179Z,2545,0,0,-2545
"うみ。",lVD5yytn3g,2025-08-25T12:19:12.981Z,2025-08-25T12:56:45.322Z,24355,21980,0,-2375
"MasatoM",Zvgc3jh8lw,2025-08-25T12:16:36.122Z,2025-08-25T12:47:02.064Z,3000,3330,0,330
"RyeBarat麦",LdZ5WDRqVB,2025-08-25T12:11:49.391Z,2025-08-25T12:39:24.250Z,2525,2290,0,-235
"Hibari",gG60J3OV2j,2025-08-25T11:28:24.518Z,2025-08-25T12:51:32.156Z,3000,2323,0,-677
"GIL RAIM",Oo-rx1G24B,2025-08-25T11:17:34.850Z,2025-08-25T11:39:30.691Z,2500,0,0,-2500
"はなよ",BLqiwZIuc4,2025-08-25T11:11:19.874Z,,3000,5555,3495,6050
"konasho",f_d8ebrXPg,2025-08-25T11:07:30.619Z,2025-08-25T11:39:30.703Z,2000,2430,0,430
"arash!",lSXafQ4XJ9,2025-08-25T11:02:59.587Z,2025-08-25T11:05:48.195Z,3000,3360,0,360
"こうちゃん",GZ5hCGHCjq,2025-08-25T11:02:59.584Z,2025-08-25T11:17:34.846Z,2500,2770,0,270
"パンドラ",YWl-be_cZ6,2025-08-25T11:02:02.983Z,2025-08-25T11:39:30.696Z,3000,2220,0,-780
"じゃがいもはかせ",YoNdtID7lh,2025-08-25T11:02:02.981Z,2025-08-25T12:23:34.091Z,5333,2350,0,-2983
"とーち",OCY4-ehNwS,2025-08-25T11:02:02.978Z,2025-08-25T11:08:48.798Z,2500,2470,0,-30
"77",tKAQniNTv7,2025-08-25T11:00:03.897Z,2025-08-25T12:49:43.136Z,3300,4490,0,1190
"mo'",-WgKDrZMvL,2025-08-25T11:00:03.890Z,2025-08-25T11:08:48.796Z,2000,2490,0,490
"goto-neo",DEsmp5YN9f,2025-08-25T11:00:03.865Z,2025-08-25T11:08:48.793Z,3000,2970,0,-30
"tanishi",K39Tra2qGg,2025-08-25T11:00:03.883Z,2025-08-25T14:01:14.301Z,2400,5929,0,3529
"ノガード",dlzwhIfu_I,2025-08-25T11:00:03.848Z,,3070,,3341,271
