player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Shingo",Q0mo0HjOtt,2025-08-25T13:30:16.044Z,,3557,,2490,-1067
"tanishi",K39Tra2qGg,2025-08-25T13:09:31.678Z,2025-08-25T14:00:49.914Z,2000,2482,0,482
"るも",7n59-giX1P,2025-08-25T12:56:15.140Z,,3000,1105,3130,1235
"パンドラ",pL49LPNYjQ,2025-08-25T12:10:57.448Z,,3000,1360,3086,1446
"sigma",yHZrsG6l5j,2025-08-25T11:40:28.935Z,,2500,4550,2660,4710
"Shingo",Q0mo0HjOtt,2025-08-25T11:35:26.317Z,2025-08-25T13:27:44.154Z,4228,0,0,-4228
"こうちゃん",4oZPV-yofs,2025-08-25T11:13:25.051Z,2025-08-25T11:35:17.518Z,2500,0,0,-2500
"konasho",f_d8ebrXPg,2025-08-25T11:12:09.990Z,,3172,,3040,-132
"ラプラス",JmbpFBkkjH,2025-08-25T11:09:20.075Z,,2625,,3592,967
"goto-neo",DEsmp5YN9f,2025-08-25T11:09:20.068Z,2025-08-25T11:14:23.235Z,3000,3155,0,155
"mo'",-WgKDrZMvL,2025-08-25T11:09:20.071Z,2025-08-25T11:13:57.367Z,2500,2490,0,-10
"tanishi",K39Tra2qGg,2025-08-25T11:09:20.078Z,2025-08-25T13:08:31.054Z,3542,0,0,-3542
"とーち",OCY4-ehNwS,2025-08-25T11:09:20.073Z,,3240,3325,2399,2484
