entry,at,order
"The player ""tanishi @ K39Tra2qGg"" quits the game with a stack of 2482.",2025-08-25T14:00:49.908Z,175613044990800
"-- ending hand #203 --",2025-08-25T14:00:46.996Z,175613044699602
"""るも @ 7n59-giX1P"" collected 130 from pot",2025-08-25T14:00:46.996Z,175613044699601
"Uncalled bet of 100 returned to ""るも @ 7n59-giX1P""",2025-08-25T14:00:46.996Z,175613044699600
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-08-25T14:00:46.918Z,175613044691800
"""パンドラ @ pL49LPNYjQ"" folds",2025-08-25T14:00:46.193Z,175613044619300
"""ラプラス @ JmbpFBkkjH"" folds",2025-08-25T14:00:30.474Z,175613043047400
"""とーち @ OCY4-ehNwS"" folds",2025-08-25T14:00:29.391Z,175613042939100
"""るも @ 7n59-giX1P"" raises to 150",2025-08-25T14:00:25.169Z,175613042516900
"""パンドラ @ pL49LPNYjQ"" raises to 50",2025-08-25T14:00:15.899Z,175613041589900
"""Shingo @ Q0mo0HjOtt"" folds",2025-08-25T14:00:12.036Z,175613041203600
"""sigma @ yHZrsG6l5j"" folds",2025-08-25T14:00:11.016Z,175613041101600
"""konasho @ f_d8ebrXPg"" folds",2025-08-25T14:00:09.938Z,175613040993800
"""tanishi @ K39Tra2qGg"" folds",2025-08-25T14:00:08.774Z,175613040877400
"""ラプラス @ JmbpFBkkjH"" posts a big blind of 20",2025-08-25T14:00:04.889Z,175613040488911
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-08-25T14:00:04.889Z,175613040488910
"Your hand is 10♦, 7♥",2025-08-25T14:00:04.889Z,175613040488902
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2660) | #2 ""Shingo @ Q0mo0HjOtt"" (2490) | #3 ""パンドラ @ pL49LPNYjQ"" (3136) | #4 ""るも @ 7n59-giX1P"" (3050) | #6 ""とーち @ OCY4-ehNwS"" (2409) | #7 ""ラプラス @ JmbpFBkkjH"" (3612) | #8 ""tanishi @ K39Tra2qGg"" (2482) | #9 ""konasho @ f_d8ebrXPg"" (3040)",2025-08-25T14:00:04.889Z,175613040488901
"-- starting hand #203 (id: 04yhfwolfzzu)  (No Limit Texas Hold'em) (dealer: ""るも @ 7n59-giX1P"") --",2025-08-25T14:00:04.889Z,175613040488900
"-- ending hand #202 --",2025-08-25T14:00:01.929Z,175613040192902
"""ラプラス @ JmbpFBkkjH"" collected 50 from pot",2025-08-25T14:00:01.929Z,175613040192901
"Uncalled bet of 30 returned to ""ラプラス @ JmbpFBkkjH""",2025-08-25T14:00:01.929Z,175613040192900
"""とーち @ OCY4-ehNwS"" folds",2025-08-25T14:00:00.961Z,175613040096100
"""るも @ 7n59-giX1P"" folds",2025-08-25T13:59:50.624Z,175613039062400
"""パンドラ @ pL49LPNYjQ"" folds",2025-08-25T13:59:49.595Z,175613038959500
"""Shingo @ Q0mo0HjOtt"" folds",2025-08-25T13:59:48.550Z,175613038855000
"""sigma @ yHZrsG6l5j"" folds",2025-08-25T13:59:47.531Z,175613038753100
"""konasho @ f_d8ebrXPg"" folds",2025-08-25T13:59:46.489Z,175613038648900
"""tanishi @ K39Tra2qGg"" folds",2025-08-25T13:59:45.426Z,175613038542600
"""ラプラス @ JmbpFBkkjH"" raises to 50",2025-08-25T13:59:40.866Z,175613038086600
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-08-25T13:59:35.994Z,175613037599411
"""るも @ 7n59-giX1P"" posts a small blind of 10",2025-08-25T13:59:35.994Z,175613037599410
"Your hand is J♣, 8♥",2025-08-25T13:59:35.994Z,175613037599402
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2660) | #2 ""Shingo @ Q0mo0HjOtt"" (2490) | #3 ""パンドラ @ pL49LPNYjQ"" (3136) | #4 ""るも @ 7n59-giX1P"" (3060) | #6 ""とーち @ OCY4-ehNwS"" (2429) | #7 ""ラプラス @ JmbpFBkkjH"" (3582) | #8 ""tanishi @ K39Tra2qGg"" (2482) | #9 ""konasho @ f_d8ebrXPg"" (3040)",2025-08-25T13:59:35.994Z,175613037599401
"-- starting hand #202 (id: kl2aqbpimd3s)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ pL49LPNYjQ"") --",2025-08-25T13:59:35.994Z,175613037599400
"-- ending hand #201 --",2025-08-25T13:59:33.066Z,175613037306602
"""とーち @ OCY4-ehNwS"" collected 330 from pot",2025-08-25T13:59:33.066Z,175613037306601
"Uncalled bet of 200 returned to ""とーち @ OCY4-ehNwS""",2025-08-25T13:59:33.066Z,175613037306600
"""sigma @ yHZrsG6l5j"" folds",2025-08-25T13:59:32.262Z,175613037226200
"""とーち @ OCY4-ehNwS"" raises to 350",2025-08-25T13:58:31.958Z,175613031195800
"""るも @ 7n59-giX1P"" folds",2025-08-25T13:58:15.732Z,175613029573200
"""パンドラ @ pL49LPNYjQ"" folds",2025-08-25T13:58:13.809Z,175613029380900
"""Shingo @ Q0mo0HjOtt"" folds",2025-08-25T13:58:12.707Z,175613029270700
"""sigma @ yHZrsG6l5j"" raises to 150",2025-08-25T13:58:11.600Z,175613029160000
"""konasho @ f_d8ebrXPg"" folds",2025-08-25T13:58:03.084Z,175613028308400
