entry,at,order
"The player ""MasatoM @ Zvgc3jh8lw"" quits the game with a stack of 1685.",2025-08-25T14:02:49.373Z,175613056937302
"The player ""goto-neo @ DEsmp5YN9f"" quits the game with a stack of 2870.",2025-08-25T14:02:49.373Z,175613056937301
"The player ""パンドラ @ YWl-be_cZ6"" stand up with the stack of 3018.",2025-08-25T14:02:49.373Z,175613056937300
"""Amu @ Noig3n81r2"" shows a 8♦, Q♥.",2025-08-25T14:02:47.169Z,175613056716900
"""Hibari @ gG60J3OV2j"" shows a A♠, 2♠.",2025-08-25T14:02:46.134Z,175613056613400
"-- ending hand #245 --",2025-08-25T14:02:45.025Z,175613056502502
"""Amu @ Noig3n81r2"" collected 200 from pot",2025-08-25T14:02:45.025Z,175613056502501
"Uncalled bet of 250 returned to ""Amu @ Noig3n81r2""",2025-08-25T14:02:45.025Z,175613056502500
"""Hibari @ gG60J3OV2j"" folds",2025-08-25T14:02:44.195Z,175613056419500
"""Amu @ Noig3n81r2"" bets 250",2025-08-25T14:02:26.810Z,175613054681000
"River: 3♥, 2♥, 8♥, 10♣ [10♥]",2025-08-25T14:01:36.894Z,175613049689400
"""Hibari @ gG60J3OV2j"" checks",2025-08-25T14:01:36.068Z,175613049606800
"""Amu @ Noig3n81r2"" checks",2025-08-25T14:01:22.125Z,175613048212500
"Turn: 3♥, 2♥, 8♥ [10♣]",2025-08-25T14:01:18.643Z,175613047864300
"""Amu @ Noig3n81r2"" calls 40",2025-08-25T14:01:17.801Z,175613047780100
"""Hibari @ gG60J3OV2j"" bets 40",2025-08-25T14:00:53.663Z,175613045366300
"The admin ""mo' @ -WgKDrZMvL"" enqueued the game stop on next hand.",2025-08-25T14:00:38.200Z,175613043820000
"""Amu @ Noig3n81r2"" checks",2025-08-25T14:00:23.546Z,175613042354600
"Flop:  [3♥, 2♥, 8♥]",2025-08-25T14:00:09.223Z,175613040922300
"""Hibari @ gG60J3OV2j"" calls 60",2025-08-25T14:00:08.371Z,175613040837100
"""Amu @ Noig3n81r2"" raises to 60",2025-08-25T13:59:54.733Z,175613039473300
"""MasatoM @ Zvgc3jh8lw"" folds",2025-08-25T13:59:49.311Z,175613038931100
"""goto-neo @ DEsmp5YN9f"" folds",2025-08-25T13:59:44.646Z,175613038464600
"""mo' @ -WgKDrZMvL"" folds",2025-08-25T13:59:43.610Z,175613038361000
"""パンドラ @ YWl-be_cZ6"" folds",2025-08-25T13:59:42.553Z,175613038255300
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2025-08-25T13:59:40.875Z,175613038087509
"""Amu @ Noig3n81r2"" posts a small blind of 10",2025-08-25T13:59:40.875Z,175613038087508
"Player stacks: #1 ""Amu @ Noig3n81r2"" (2877) | #3 ""Hibari @ gG60J3OV2j"" (3289) | #5 ""パンドラ @ YWl-be_cZ6"" (3018) | #6 ""mo' @ -WgKDrZMvL"" (1899) | #7 ""goto-neo @ DEsmp5YN9f"" (2870) | #8 ""MasatoM @ Zvgc3jh8lw"" (1685)",2025-08-25T13:59:40.875Z,175613038087501
"-- starting hand #245 (id: nkyrdpvl0b0u)  (No Limit Texas Hold'em) (dealer: ""MasatoM @ Zvgc3jh8lw"") --",2025-08-25T13:59:40.875Z,175613038087500
"-- ending hand #244 --",2025-08-25T13:59:37.958Z,175613037795802
"""パンドラ @ YWl-be_cZ6"" collected 50 from pot",2025-08-25T13:59:37.958Z,175613037795801
"Uncalled bet of 30 returned to ""パンドラ @ YWl-be_cZ6""",2025-08-25T13:59:37.958Z,175613037795800
"""Amu @ Noig3n81r2"" folds",2025-08-25T13:59:37.137Z,175613037713700
"""MasatoM @ Zvgc3jh8lw"" folds",2025-08-25T13:59:33.369Z,175613037336900
"""goto-neo @ DEsmp5YN9f"" folds",2025-08-25T13:59:32.348Z,175613037234800
"""mo' @ -WgKDrZMvL"" folds",2025-08-25T13:59:31.342Z,175613037134200
"""パンドラ @ YWl-be_cZ6"" raises to 50",2025-08-25T13:59:30.324Z,175613037032400
"""Hibari @ gG60J3OV2j"" folds",2025-08-25T13:59:24.278Z,175613036427800
"""Amu @ Noig3n81r2"" posts a big blind of 20",2025-08-25T13:59:22.378Z,175613036237809
"""MasatoM @ Zvgc3jh8lw"" posts a small blind of 10",2025-08-25T13:59:22.378Z,175613036237808
"Player stacks: #1 ""Amu @ Noig3n81r2"" (2897) | #3 ""Hibari @ gG60J3OV2j"" (3289) | #5 ""パンドラ @ YWl-be_cZ6"" (2988) | #6 ""mo' @ -WgKDrZMvL"" (1899) | #7 ""goto-neo @ DEsmp5YN9f"" (2870) | #8 ""MasatoM @ Zvgc3jh8lw"" (1695)",2025-08-25T13:59:22.378Z,175613036237801
"-- starting hand #244 (id: nm9jfz4cbr1e)  (No Limit Texas Hold'em) (dealer: ""goto-neo @ DEsmp5YN9f"") --",2025-08-25T13:59:22.378Z,175613036237800
"-- ending hand #243 --",2025-08-25T13:59:19.422Z,175613035942202
"""MasatoM @ Zvgc3jh8lw"" collected 20 from pot",2025-08-25T13:59:19.422Z,175613035942201
"Uncalled bet of 10 returned to ""MasatoM @ Zvgc3jh8lw""",2025-08-25T13:59:19.422Z,175613035942200
"""goto-neo @ DEsmp5YN9f"" folds",2025-08-25T13:59:18.615Z,175613035861500
"""mo' @ -WgKDrZMvL"" folds",2025-08-25T13:59:17.574Z,175613035757400
"""パンドラ @ YWl-be_cZ6"" folds",2025-08-25T13:59:16.550Z,175613035655000
"""Hibari @ gG60J3OV2j"" folds",2025-08-25T13:59:15.181Z,175613035518100
"""Amu @ Noig3n81r2"" folds",2025-08-25T13:59:14.118Z,175613035411800
"""MasatoM @ Zvgc3jh8lw"" posts a big blind of 20",2025-08-25T13:59:12.616Z,175613035261609
"""goto-neo @ DEsmp5YN9f"" posts a small blind of 10",2025-08-25T13:59:12.616Z,175613035261608
"Player stacks: #1 ""Amu @ Noig3n81r2"" (2897) | #3 ""Hibari @ gG60J3OV2j"" (3289) | #5 ""パンドラ @ YWl-be_cZ6"" (2988) | #6 ""mo' @ -WgKDrZMvL"" (1899) | #7 ""goto-neo @ DEsmp5YN9f"" (2880) | #8 ""MasatoM @ Zvgc3jh8lw"" (1685)",2025-08-25T13:59:12.616Z,175613035261601
"-- starting hand #243 (id: nl01zwes2g1e)  (No Limit Texas Hold'em) (dealer: ""mo' @ -WgKDrZMvL"") --",2025-08-25T13:59:12.616Z,175613035261600
"-- ending hand #242 --",2025-08-25T13:59:09.694Z,175613034969402
"""MasatoM @ Zvgc3jh8lw"" collected 50 from pot",2025-08-25T13:59:09.694Z,175613034969401
"Uncalled bet of 40 returned to ""MasatoM @ Zvgc3jh8lw""",2025-08-25T13:59:09.694Z,175613034969400
"""goto-neo @ DEsmp5YN9f"" folds",2025-08-25T13:59:08.861Z,175613034886100
"""mo' @ -WgKDrZMvL"" folds",2025-08-25T13:59:07.851Z,175613034785100
"""パンドラ @ YWl-be_cZ6"" folds",2025-08-25T13:59:06.769Z,175613034676900
"""Hibari @ gG60J3OV2j"" folds",2025-08-25T13:59:04.829Z,175613034482900
"""Amu @ Noig3n81r2"" folds",2025-08-25T13:59:03.576Z,175613034357600
"""MasatoM @ Zvgc3jh8lw"" raises to 60",2025-08-25T13:59:02.400Z,175613034240000
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-08-25T13:58:51.194Z,175613033119409
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-08-25T13:58:51.194Z,175613033119408
"Player stacks: #1 ""Amu @ Noig3n81r2"" (2897) | #3 ""Hibari @ gG60J3OV2j"" (3289) | #5 ""パンドラ @ YWl-be_cZ6"" (2988) | #6 ""mo' @ -WgKDrZMvL"" (1909) | #7 ""goto-neo @ DEsmp5YN9f"" (2900) | #8 ""MasatoM @ Zvgc3jh8lw"" (1655)",2025-08-25T13:58:51.194Z,175613033119401
"-- starting hand #242 (id: vwayf4gmkdhv)  (No Limit Texas Hold'em) (dealer: ""パンドラ @ YWl-be_cZ6"") --",2025-08-25T13:58:51.194Z,175613033119400
"-- ending hand #241 --",2025-08-25T13:58:45.192Z,175613032519202
