player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ノガード",dlzwhIfu_I,2025-09-01T13:51:56.264Z,,2500,,2477,-23
"るも",7n59-giX1P,2025-09-01T13:27:53.778Z,2025-09-01T13:46:31.296Z,2250,2500,0,250
"GIL RAIM",Oo-rx1G24B,2025-09-01T13:09:45.167Z,,4425,4430,2690,2695
"arash!",lSXafQ4XJ9,2025-09-01T13:09:45.162Z,,5068,,3804,-1264
"るも",7n59-giX1P,2025-09-01T13:09:45.159Z,2025-09-01T13:27:13.756Z,2500,0,0,-2500
"らねおか",XaClitYV1x,2025-09-01T12:51:11.220Z,2025-09-01T14:03:11.374Z,3450,2330,0,-1120
"Ene",7kPHYByVxS,2025-09-01T12:35:36.928Z,2025-09-01T12:44:43.179Z,2500,0,0,-2500
"パンドラ",YWl-be_cZ6,2025-09-01T12:35:36.926Z,,3000,11280,2850,11130
"こうちゃん",4oZPV-yofs,2025-09-01T11:58:42.492Z,2025-09-01T14:03:13.001Z,3000,3175,0,175
"らねおか",XaClitYV1x,2025-09-01T11:50:59.219Z,2025-09-01T12:48:18.970Z,2500,3035,0,535
"はなよ",FEJiL4ZWA6,2025-09-01T11:49:15.196Z,2025-09-01T14:03:20.918Z,3000,2349,0,-651
"はなよ",FEJiL4ZWA6,,2025-09-01T11:47:16.418Z,3000,3000,0,0
"摩天楼",-R3v9pRB8W,2025-09-01T11:39:59.546Z,2025-09-01T12:49:52.875Z,2000,2316,0,316
"とーち",OCY4-ehNwS,2025-09-01T11:25:04.527Z,2025-09-01T11:29:39.472Z,2500,2500,0,0
"Ramune",QBTw2JRIw5,2025-09-01T11:29:39.474Z,2025-09-01T11:30:27.301Z,2000,2000,0,0
"ラプラス",JmbpFBkkjH,2025-09-01T11:23:06.150Z,2025-09-01T12:49:52.870Z,3017,2730,0,-287
"TP",NEEYDnny4C,2025-09-01T11:19:23.603Z,2025-09-01T11:54:08.851Z,30000,30045,0,45
"konasho",f_d8ebrXPg,2025-09-01T11:03:35.425Z,2025-09-01T11:30:27.297Z,2000,2585,0,585
"TP",NEEYDnny4C,2025-09-01T11:03:35.422Z,2025-09-01T11:18:03.501Z,3000,1045,0,-1955
"とーち",OCY4-ehNwS,2025-09-01T11:02:53.957Z,2025-09-01T11:23:06.146Z,2500,0,0,-2500
"GIL RAIM",Oo-rx1G24B,2025-09-01T11:00:41.010Z,2025-09-01T13:06:36.918Z,5147,2550,0,-2597
"mo'",-WgKDrZMvL,2025-09-01T11:00:03.378Z,2025-09-01T11:29:39.469Z,2500,3250,0,750
"粗茶",GtqOGZOqIV,2025-09-01T11:00:03.421Z,2025-09-01T12:10:38.329Z,2000,2267,0,267
"goto-neo",DEsmp5YN9f,2025-09-01T11:00:03.448Z,2025-09-01T11:29:39.465Z,3000,3000,0,0
"ノガード",dlzwhIfu_I,2025-09-01T11:00:03.393Z,2025-09-01T13:50:36.912Z,3167,1816,0,-1351
