entry,at,order
"The player ""はなよ @ FEJiL4ZWA6"" quits the game with a stack of 2349.",2025-09-01T14:03:20.913Z,175673540091300
"The player ""こうちゃん @ 4oZPV-yofs"" quits the game with a stack of 3175.",2025-09-01T14:03:12.997Z,175673539299700
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 2330.",2025-09-01T14:03:11.370Z,175673539137000
"-- ending hand #182 --",2025-09-01T14:03:05.317Z,175673538531702
"""ノガード @ dlzwhIfu_I"" collected 574 from pot with Pair, A's (combination: A♠, A♦, J♠, 10♦, 6♥)",2025-09-01T14:03:05.317Z,175673538531701
"""ノガード @ dlzwhIfu_I"" shows a A♠, J♠.",2025-09-01T14:03:05.317Z,175673538531700
"""こうちゃん @ 4oZPV-yofs"" calls 172",2025-09-01T14:03:04.479Z,175673538447900
"""ノガード @ dlzwhIfu_I"" bets 172",2025-09-01T14:02:32.061Z,175673535206100
"""こうちゃん @ 4oZPV-yofs"" checks",2025-09-01T14:02:27.481Z,175673534748100
"River: A♦, 2♥, 6♥, 4♣ [10♦]",2025-09-01T14:02:20.391Z,175673534039100
"""こうちゃん @ 4oZPV-yofs"" calls 35",2025-09-01T14:02:19.563Z,175673533956300
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-01T14:02:04.549Z,175673532454900
"""ノガード @ dlzwhIfu_I"" bets 35",2025-09-01T14:02:00.959Z,175673532095900
"""こうちゃん @ 4oZPV-yofs"" checks",2025-09-01T14:01:42.985Z,175673530298500
"""はなよ @ FEJiL4ZWA6"" checks",2025-09-01T14:01:30.387Z,175673529038700
"Turn: A♦, 2♥, 6♥ [4♣]",2025-09-01T14:01:26.736Z,175673528673600
"""ノガード @ dlzwhIfu_I"" checks",2025-09-01T14:01:25.932Z,175673528593200
"""こうちゃん @ 4oZPV-yofs"" checks",2025-09-01T14:01:16.216Z,175673527621600
"""はなよ @ FEJiL4ZWA6"" checks",2025-09-01T14:01:02.779Z,175673526277900
"Flop:  [A♦, 2♥, 6♥]",2025-09-01T14:01:00.418Z,175673526041800
"""はなよ @ FEJiL4ZWA6"" calls 50",2025-09-01T14:00:59.510Z,175673525951000
"""arash! @ lSXafQ4XJ9"" folds",2025-09-01T14:00:58.017Z,175673525801700
"""ノガード @ dlzwhIfu_I"" calls 50",2025-09-01T14:00:49.644Z,175673524964400
"""らねおか @ XaClitYV1x"" folds",2025-09-01T14:00:41.835Z,175673524183500
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-09-01T14:00:40.638Z,175673524063800
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-09-01T14:00:39.121Z,175673523912100
"""パンドラ @ YWl-be_cZ6"" folds",2025-09-01T14:00:34.636Z,175673523463600
"""こうちゃん @ 4oZPV-yofs"" raises to 50",2025-09-01T14:00:33.380Z,175673523338000
"""はなよ @ FEJiL4ZWA6"" posts a big blind of 20",2025-09-01T14:00:29.477Z,175673522947710
"""arash! @ lSXafQ4XJ9"" posts a small blind of 10",2025-09-01T14:00:29.477Z,175673522947709
"Your hand is 8♥, J♣",2025-09-01T14:00:29.477Z,175673522947705
"Player stacks: #1 ""GIL RAIM @ Oo-rx1G24B"" (2690) | #2 ""らねおか @ XaClitYV1x"" (2330) | #5 ""ノガード @ dlzwhIfu_I"" (2160) | #7 ""arash! @ lSXafQ4XJ9"" (3814) | #8 ""はなよ @ FEJiL4ZWA6"" (2399) | #9 ""こうちゃん @ 4oZPV-yofs"" (3432) | #10 ""パンドラ @ YWl-be_cZ6"" (2850)",2025-09-01T14:00:29.477Z,175673522947701
"-- starting hand #182 (id: pl9l09lzo4ai)  (No Limit Texas Hold'em) (dealer: ""ノガード @ dlzwhIfu_I"") --",2025-09-01T14:00:29.477Z,175673522947700
"-- ending hand #181 --",2025-09-01T14:00:23.473Z,175673522347303
"""arash! @ lSXafQ4XJ9"" collected 680 from pot with Two Pair, 8's & 5's (combination: 8♠, 8♦, 5♦, 5♣, A♦)",2025-09-01T14:00:23.473Z,175673522347302
"""arash! @ lSXafQ4XJ9"" shows a 2♣, A♦.",2025-09-01T14:00:23.473Z,175673522347301
"""ノガード @ dlzwhIfu_I"" shows a 4♥, 4♣.",2025-09-01T14:00:23.473Z,175673522347300
"""arash! @ lSXafQ4XJ9"" checks",2025-09-01T14:00:22.663Z,175673522266300
"""ノガード @ dlzwhIfu_I"" checks",2025-09-01T14:00:21.441Z,175673522144100
"River: 8♠, 8♦, 2♠, 5♦ [5♣]",2025-09-01T14:00:17.552Z,175673521755200
"""ノガード @ dlzwhIfu_I"" calls 140",2025-09-01T14:00:16.729Z,175673521672900
"""arash! @ lSXafQ4XJ9"" bets 140",2025-09-01T14:00:10.820Z,175673521082000
"""ノガード @ dlzwhIfu_I"" checks",2025-09-01T14:00:06.335Z,175673520633500
"Turn: 8♠, 8♦, 2♠ [5♦]",2025-09-01T14:00:02.485Z,175673520248500
"""ノガード @ dlzwhIfu_I"" calls 100",2025-09-01T14:00:01.432Z,175673520143200
"""arash! @ lSXafQ4XJ9"" bets 100",2025-09-01T13:59:55.753Z,175673519575300
"""ノガード @ dlzwhIfu_I"" checks",2025-09-01T13:59:51.091Z,175673519109100
"Flop:  [8♠, 8♦, 2♠]",2025-09-01T13:59:49.127Z,175673518912700
"""ノガード @ dlzwhIfu_I"" calls 100",2025-09-01T13:59:48.249Z,175673518824900
"""arash! @ lSXafQ4XJ9"" raises to 100",2025-09-01T13:59:43.803Z,175673518380300
"""ノガード @ dlzwhIfu_I"" calls 20",2025-09-01T13:59:38.861Z,175673517886100
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:59:25.878Z,175673516587800
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-09-01T13:59:24.667Z,175673516466700
"""パンドラ @ YWl-be_cZ6"" folds",2025-09-01T13:59:21.523Z,175673516152300
"""こうちゃん @ 4oZPV-yofs"" folds",2025-09-01T13:59:20.337Z,175673516033700
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-01T13:59:18.937Z,175673515893700
"""arash! @ lSXafQ4XJ9"" posts a big blind of 20",2025-09-01T13:59:15.702Z,175673515570210
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-09-01T13:59:15.702Z,175673515570209
"Your hand is 2♣, A♦",2025-09-01T13:59:15.702Z,175673515570205
"Player stacks: #1 ""GIL RAIM @ Oo-rx1G24B"" (2690) | #2 ""らねおか @ XaClitYV1x"" (2330) | #5 ""ノガード @ dlzwhIfu_I"" (2500) | #7 ""arash! @ lSXafQ4XJ9"" (3474) | #8 ""はなよ @ FEJiL4ZWA6"" (2399) | #9 ""こうちゃん @ 4oZPV-yofs"" (3432) | #10 ""パンドラ @ YWl-be_cZ6"" (2850)",2025-09-01T13:59:15.702Z,175673515570201
"-- starting hand #181 (id: yem5vilkbny7)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-09-01T13:59:15.702Z,175673515570200
"""GIL RAIM @ Oo-rx1G24B"" shows a K♠, Q♠.",2025-09-01T13:59:14.031Z,175673515403100
