player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"パンドラ",pL49LPNYjQ,2025-09-01T13:31:54.062Z,,3000,,3332,332
"meisei",ofYDapRcOx,2025-09-01T13:26:15.176Z,,3200,,2725,-475
"ばどえあー",cAulXwsuYc,2025-09-01T13:25:02.184Z,,2000,,2610,610
"tatsu",6bgsUOKu84,2025-09-01T13:16:24.534Z,2025-09-01T13:22:07.432Z,2000,0,0,-2000
"arash!",lSXafQ4XJ9,2025-09-01T13:12:28.818Z,,3000,,2815,-185
"Doc",rNZKJiwrNl,2025-09-01T12:41:06.022Z,,2500,,2600,100
"ばどえあー",cAulXwsuYc,2025-09-01T12:32:31.671Z,2025-09-01T13:24:24.819Z,2000,0,0,-2000
"konasho",f_d8ebrXPg,2025-09-01T11:58:38.096Z,,3530,,1870,-1660
"うみ。",lVD5yytn3g,2025-09-01T11:54:10.924Z,,2200,,2633,433
"らねおか",XaClitYV1x,2025-09-01T11:52:40.351Z,2025-09-01T14:02:37.823Z,2500,4596,0,2096
"konasho",f_d8ebrXPg,2025-09-01T11:30:39.467Z,2025-09-01T11:57:27.118Z,2245,0,0,-2245
"goto-neo",DEsmp5YN9f,2025-09-01T11:30:39.470Z,2025-09-01T12:47:47.429Z,3000,5019,0,2019
"Ramune",QBTw2JRIw5,2025-09-01T11:30:39.465Z,2025-09-01T12:47:47.422Z,4691,3042,0,-1649
"mo'",-WgKDrZMvL,2025-09-01T11:30:39.472Z,2025-09-01T12:47:47.418Z,2500,4316,0,1816
"とーち",OCY4-ehNwS,2025-09-01T11:30:39.474Z,2025-09-01T14:02:56.088Z,4015,6823,0,2808
